source,target,key,n_lines,n_tokens,edge_index,edge_type
#ATTENDANTS.1_Cym,1.01.0001,0,3,24,1,active
1.01.0001,#ATTENDANTS.2_Cym,0,3,24,1,passive
#ATTENDANTS.2_Cym,1.01.0001,0,1,4,2,active
1.01.0001,#ATTENDANTS.1_Cym,0,1,4,2,passive
#ATTENDANTS.1_Cym,1.01.0001,1,7,52,3,active
1.01.0001,#ATTENDANTS.2_Cym,1,7,52,3,passive
#ATTENDANTS.2_Cym,1.01.0001,1,1,4,4,active
1.01.0001,#ATTENDANTS.1_Cym,1,1,4,4,passive
#ATTENDANTS.1_Cym,1.01.0001,2,5,44,5,active
1.01.0001,#ATTENDANTS.2_Cym,2,5,44,5,passive
#ATTENDANTS.2_Cym,1.01.0001,2,1,3,6,active
1.01.0001,#ATTENDANTS.1_Cym,2,1,3,6,passive
#ATTENDANTS.1_Cym,1.01.0001,3,9,74,7,active
1.01.0001,#ATTENDANTS.2_Cym,3,9,74,7,passive
#ATTENDANTS.2_Cym,1.01.0001,3,1,4,8,active
1.01.0001,#ATTENDANTS.1_Cym,3,1,4,8,passive
#ATTENDANTS.1_Cym,1.01.0001,4,3,16,9,active
1.01.0001,#ATTENDANTS.2_Cym,4,3,16,9,passive
#ATTENDANTS.2_Cym,1.01.0001,4,1,5,10,active
1.01.0001,#ATTENDANTS.1_Cym,4,1,5,10,passive
#ATTENDANTS.1_Cym,1.01.0001,5,28,219,11,active
1.01.0001,#ATTENDANTS.2_Cym,5,28,219,11,passive
#ATTENDANTS.2_Cym,1.01.0001,5,3,20,12,active
1.01.0001,#ATTENDANTS.1_Cym,5,3,20,12,passive
#ATTENDANTS.1_Cym,1.01.0001,6,6,46,13,active
1.01.0001,#ATTENDANTS.2_Cym,6,6,46,13,passive
#ATTENDANTS.2_Cym,1.01.0001,6,1,5,14,active
1.01.0001,#ATTENDANTS.1_Cym,6,1,5,14,passive
#ATTENDANTS.1_Cym,1.01.0001,7,1,3,15,active
1.01.0001,#ATTENDANTS.2_Cym,7,1,3,15,passive
#ATTENDANTS.2_Cym,1.01.0001,7,3,21,16,active
1.01.0001,#ATTENDANTS.1_Cym,7,3,21,16,passive
#ATTENDANTS.1_Cym,1.01.0001,8,3,17,17,active
1.01.0001,#ATTENDANTS.2_Cym,8,3,17,17,passive
#ATTENDANTS.2_Cym,1.01.0001,8,1,5,18,active
1.01.0001,#ATTENDANTS.1_Cym,8,1,5,18,passive
#ATTENDANTS.1_Cym,1.01.0001,9,2,11,19,active
1.01.0001,#ATTENDANTS.2_Cym,9,2,11,19,passive
#Queen_Cym,1.01.0002,0,10,77,20,active
1.01.0002,#Imogen_Cym,0,10,77,20,passive
1.01.0002,#Posthumus_Cym,0,10,77,20,passive
#Posthumus_Cym,1.01.0002,0,2,8,21,active
1.01.0002,#Imogen_Cym,1,2,8,21,passive
1.01.0002,#Queen_Cym,0,2,8,21,passive
#Queen_Cym,1.01.0002,1,4,27,22,active
1.01.0002,#Imogen_Cym,2,4,27,22,passive
1.01.0002,#Posthumus_Cym,1,4,27,22,passive
#Imogen_Cym,1.01.0003,0,10,68,23,active
1.01.0003,#Posthumus_Cym,0,10,68,23,passive
#Posthumus_Cym,1.01.0003,0,10,75,24,active
1.01.0003,#Imogen_Cym,0,10,75,24,passive
