node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Barnardo_Ham,#Francisco_Ham,0,1,1,1,73,14,1
#Barnardo_Ham,#Francisco_Ham,1,1,1,2,39,7,2
#Barnardo_Ham,#Horatio_Ham,0,1,1,2,39,7,2
#Barnardo_Ham,#Marcellus_Ham,0,1,1,2,39,7,2
#Francisco_Ham,#Horatio_Ham,0,1,1,2,39,7,2
#Francisco_Ham,#Marcellus_Ham,0,1,1,2,39,7,2
#Horatio_Ham,#Marcellus_Ham,0,1,1,2,39,7,2
#Barnardo_Ham,#Horatio_Ham,1,1,1,3,156,25,3
#Barnardo_Ham,#Marcellus_Ham,1,1,1,3,156,25,3
#Horatio_Ham,#Marcellus_Ham,1,1,1,3,156,25,3
#Barnardo_Ham,#Ghost_Ham,0,1,1,4,99,15,4
#Barnardo_Ham,#Horatio_Ham,2,1,1,4,99,15,4
#Barnardo_Ham,#Marcellus_Ham,2,1,1,4,99,15,4
#Horatio_Ham,#Ghost_Ham,0,1,1,4,99,15,4
#Horatio_Ham,#Marcellus_Ham,2,1,1,4,99,15,4
#Marcellus_Ham,#Ghost_Ham,0,1,1,4,99,15,4
#Barnardo_Ham,#Horatio_Ham,3,1,1,5,577,76,5
#Barnardo_Ham,#Marcellus_Ham,3,1,1,5,577,76,5
#Horatio_Ham,#Marcellus_Ham,3,1,1,5,577,76,5
#Barnardo_Ham,#Ghost_Ham,1,1,1,6,117,19,6
#Barnardo_Ham,#Horatio_Ham,4,1,1,6,117,19,6
#Barnardo_Ham,#Marcellus_Ham,4,1,1,6,117,19,6
#Horatio_Ham,#Ghost_Ham,1,1,1,6,117,19,6
#Horatio_Ham,#Marcellus_Ham,4,1,1,6,117,19,6
#Marcellus_Ham,#Ghost_Ham,1,1,1,6,117,19,6
#Barnardo_Ham,#Horatio_Ham,5,1,1,7,264,34,7
#Barnardo_Ham,#Marcellus_Ham,5,1,1,7,264,34,7
#Horatio_Ham,#Marcellus_Ham,5,1,1,7,264,34,7
#Claudius_Ham,#Cornelius_Ham,0,1,2,8,315,41,8
#Claudius_Ham,#Gertrude_Ham,0,1,2,8,315,41,8
#Claudius_Ham,#Hamlet_Ham,0,1,2,8,315,41,8
#Claudius_Ham,#Laertes_Ham,0,1,2,8,315,41,8
#Claudius_Ham,#Polonius_Ham,0,1,2,8,315,41,8
#Claudius_Ham,#Voltemand_Ham,0,1,2,8,315,41,8
#Cornelius_Ham,#Gertrude_Ham,0,1,2,8,315,41,8
#Cornelius_Ham,#Hamlet_Ham,0,1,2,8,315,41,8
#Cornelius_Ham,#Laertes_Ham,0,1,2,8,315,41,8
#Cornelius_Ham,#Polonius_Ham,0,1,2,8,315,41,8
#Cornelius_Ham,#Voltemand_Ham,0,1,2,8,315,41,8
