act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#HenryIV_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,247,33
1,1,1,2,#Westmoreland_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,93,13
1,1,1,3,#HenryIV_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,17,2
1,1,1,4,#Westmoreland_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,91,13
1,1,1,5,#HenryIV_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,102,14
1,1,1,6,#Westmoreland_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,12,1
1,1,1,7,#HenryIV_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,146,18
1,1,1,8,#Westmoreland_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,29,4
1,1,1,9,#HenryIV_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,62,8
1,1,1,10,#Westmoreland_1H4,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,4,1
1,2,2,11,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,9,1
1,2,2,12,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,96,12
1,2,2,13,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,54,6
1,2,2,14,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,2,1
1,2,2,15,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,18,2
1,2,2,16,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,6,1
1,2,2,17,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,67,8
1,2,2,18,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,93,10
1,2,2,19,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,19,2
1,2,2,20,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,23,3
1,2,2,21,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,24,3
1,2,2,22,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,14,2
1,2,2,23,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,13,2
1,2,2,24,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,10,1
1,2,2,25,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,11,2
1,2,2,26,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,20,3
1,2,2,27,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,59,7
1,2,2,28,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,3,1
1,2,2,29,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,12,2
1,2,2,30,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,20,3
1,2,2,31,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,23,3
1,2,2,32,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,4,1
1,2,2,33,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,25,3
1,2,2,34,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,8,1
1,2,2,35,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,8,1
1,2,2,36,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,11,2
1,2,2,37,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,87,10
1,2,2,38,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,15,2
1,2,2,39,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,84,9
1,2,2,40,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,8,1
1,2,2,41,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,18,2
1,2,2,42,#HenryV_H5,#Falstaff_1H4 #HenryV_H5,13,2
1,2,2,43,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5,17,2
1,2,3,44,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,43,5
1,2,3,45,#HenryV_H5,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,3,1
1,2,3,46,#Poins_1H4,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,41,5
1,2,3,47,#HenryV_H5,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,28,3
1,2,3,48,#Poins_1H4,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,11,2
1,2,3,49,#HenryV_H5,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,9,2
1,2,3,50,#Poins_1H4,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,85,10
1,2,3,51,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,16,2
1,2,3,52,#Poins_1H4,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,3,1
1,2,3,53,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,5,1
1,2,3,54,#HenryV_H5,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,11,1
1,2,3,55,#Falstaff_1H4,#Falstaff_1H4 #HenryV_H5 #Poins_1H4,25,4
