act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
0,0,#Chorus_2H4,297,42,297,42
1,1,#LordBardolph_2H4,300,42,1750,235
1,1,#Morton_2H4,633,83,1281,167
1,1,#Northumberland_R2,677,91,1700,227
1,1,#Porter_2H4,28,4,48,8
1,1,#Travers_2H4,112,15,1526,202
1,2,#ChiefJustice_2H4,416,59,1455,178
1,2,#Falstaff_1H4,1574,172,2164,257
1,2,#SERVANTS.CHIEFJUSTICE.1_2H4,85,12,1455,178
1,2,#SERVANTS.FALSTAFF.1_2H4,89,14,2104,250
1,3,#Archbishop_1H4,253,36,846,116
1,3,#Hastings_2H4,203,28,846,116
1,3,#LordBardolph_2H4,343,46,846,116
1,3,#Mowbray_2H4,47,6,846,116
2,1,#ChiefJustice_2H4,289,43,1064,141
2,1,#Falstaff_1H4,384,53,1185,161
2,1,#MESSENGERS.Gower_2H4,56,8,427,64
2,1,#MistressQuickly_1H4,708,84,1331,171
2,1,#OFFICERS.Fang_2H4,53,9,1331,171
2,1,#OFFICERS.Snare_2H4,19,4,1331,171
2,1,#SERVANTS.FALSTAFF.1_2H4,11,2,1000,130
2,2,#Bardolph_1H4,62,11,683,98
2,2,#HenryV_H5,775,101,1345,178
2,2,#Poins_1H4,403,52,1345,178
2,2,#SERVANTS.FALSTAFF.1_2H4,105,14,683,98
2,3,#LadyNorthumberland_2H4,38,5,552,71
2,3,#LadyPercy_1H4,372,46,552,71
2,3,#Northumberland_R2,142,20,552,71
2,4,#Bardolph_1H4,57,11,1980,279
2,4,#DRAWERS.1_2H4,68,8,161,21
2,4,#DRAWERS.Francis_1H4,60,9,1123,154
2,4,#DRAWERS.Will_2H4,33,4,149,20
2,4,#DRAWERS.X_2H4,9,2,264,33
2,4,#DollTearsheet_2H4,550,71,2731,379
2,4,#Falstaff_1H4,836,118,2593,358
2,4,#HenryV_H5,257,37,998,138
2,4,#MistressQuickly_1H4,642,84,2731,379
2,4,#Peto_1H4,44,6,96,14
2,4,#Pistol_2H4,259,38,685,99
2,4,#Poins_1H4,71,11,998,138
2,4,#SERVANTS.FALSTAFF.1_2H4,9,2,1994,280
3,1,#HenryIV_1H4,610,81,830,112
3,1,#Warwick_2H4,220,31,587,81
3,2,#Bardolph_1H4,147,21,1824,253
3,2,#Bullcalf_2H4,109,14,1063,158
3,2,#Falstaff_1H4,1032,135,1751,238
3,2,#Feeble_2H4,95,13,1457,207
3,2,#Mouldy_2H4,95,13,1063,158
3,2,#Shadow_2H4,6,2,1457,207
3,2,#Shallow_2H4,1017,129,2061,287
3,2,#Silence_2H4,82,16,2061,287
3,2,#Wart_2H4,4,2,1457,207
4,1,#Archbishop_1H4,841,120,2741,380
4,1,#Bedford_H5,507,72,989,142
4,1,#Hastings_2H4,212,30,2705,375
4,1,#MESSENGERS.1_2H4,33,4,2611,361
4,1,#Mowbray_2H4,387,52,2741,380
4,1,#Westmoreland_1H4,761,102,2190,302
4,2,#Bardolph_1H4,7,1,45,7
4,2,#Bedford_H5,161,25,514,65
4,2,#Colevile_2H4,64,9,624,76
4,2,#Falstaff_1H4,888,100,1126,136
4,2,#Westmoreland_1H4,6,1,132,19
4,3,#Bedford_H5,8,1,122,17
4,3,#Clarence_2H4,144,20,1519,212
4,3,#Gloucester_2H4,85,14,1519,212
4,3,#Harcourt_2H4,64,8,471,66
4,3,#HenryIV_1H4,1671,227,2942,401
4,3,#HenryV_H5,631,84,1534,204
4,3,#Warwick_2H4,255,36,1461,202
