act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
0,0,1,#Chorus_2H4,#Chorus_2H4,297,42
1,1,2,#LordBardolph_2H4,#LordBardolph_2H4,6,1
1,1,3,#LordBardolph_2H4,#LordBardolph_2H4 #Porter_2H4,16,3
1,1,3,#Porter_2H4,#LordBardolph_2H4 #Porter_2H4,28,4
1,1,4,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2 #Porter_2H4,4,1
1,1,5,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2,118,16
1,1,5,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2,52,8
1,1,6,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,77,11
1,1,6,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,56,9
1,1,6,#Travers_2H4,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,112,15
1,1,7,#LordBardolph_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,79,10
1,1,7,#Morton_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,633,83
1,1,7,#Northumberland_R2,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,569,74
1,2,8,#Falstaff_1H4,#Falstaff_1H4 #SERVANTS.FALSTAFF.1_2H4,456,47
1,2,8,#SERVANTS.FALSTAFF.1_2H4,#Falstaff_1H4 #SERVANTS.FALSTAFF.1_2H4,61,8
1,2,9,#ChiefJustice_2H4,#ChiefJustice_2H4 #Falstaff_1H4 #SERVANTS.CHIEFJUSTICE.1_2H4 #SERVANTS.FALSTAFF.1_2H4,416,59
1,2,9,#Falstaff_1H4,#ChiefJustice_2H4 #Falstaff_1H4 #SERVANTS.CHIEFJUSTICE.1_2H4 #SERVANTS.FALSTAFF.1_2H4,932,103
1,2,9,#SERVANTS.CHIEFJUSTICE.1_2H4,#ChiefJustice_2H4 #Falstaff_1H4 #SERVANTS.CHIEFJUSTICE.1_2H4 #SERVANTS.FALSTAFF.1_2H4,85,12
1,2,9,#SERVANTS.FALSTAFF.1_2H4,#ChiefJustice_2H4 #Falstaff_1H4 #SERVANTS.CHIEFJUSTICE.1_2H4 #SERVANTS.FALSTAFF.1_2H4,22,4
1,2,10,#Falstaff_1H4,#Falstaff_1H4 #SERVANTS.FALSTAFF.1_2H4,126,15
1,2,10,#SERVANTS.FALSTAFF.1_2H4,#Falstaff_1H4 #SERVANTS.FALSTAFF.1_2H4,6,2
1,2,11,#Falstaff_1H4,#Falstaff_1H4,60,7
1,3,12,#Archbishop_1H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #Mowbray_2H4,253,36
1,3,12,#Hastings_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #Mowbray_2H4,203,28
1,3,12,#LordBardolph_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #Mowbray_2H4,343,46
1,3,12,#Mowbray_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #Mowbray_2H4,47,6
2,1,13,#MistressQuickly_1H4,#MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4,278,32
2,1,13,#OFFICERS.Fang_2H4,#MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4,38,6
2,1,13,#OFFICERS.Snare_2H4,#MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4,15,3
2,1,14,#Falstaff_1H4,#Bardolph_1H4 #Falstaff_1H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #SERVANTS.FALSTAFF.1_2H4,28,6
2,1,14,#MistressQuickly_1H4,#Bardolph_1H4 #Falstaff_1H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #SERVANTS.FALSTAFF.1_2H4,67,9
2,1,14,#OFFICERS.Fang_2H4,#Bardolph_1H4 #Falstaff_1H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #SERVANTS.FALSTAFF.1_2H4,11,2
2,1,14,#OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4,#Bardolph_1H4 #Falstaff_1H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #SERVANTS.FALSTAFF.1_2H4,4,1
2,1,14,#SERVANTS.FALSTAFF.1_2H4,#Bardolph_1H4 #Falstaff_1H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #SERVANTS.FALSTAFF.1_2H4,11,2
2,1,15,#ChiefJustice_2H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,213,29
2,1,15,#Falstaff_1H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,143,17
2,1,15,#MistressQuickly_1H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,281,31
2,1,16,#ChiefJustice_2H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,5,1
2,1,16,#Falstaff_1H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,137,18
2,1,16,#MESSENGERS.Gower_2H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,18,2
2,1,16,#MistressQuickly_1H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,82,12
