node,node_type
#ATTENDANTS_2H4,character
#Archbishop_1H4,character
#BEADLES.0.1_2H4,character
#BEADLES_2H4,character
#Bardolph_1H4,character
#Bedford_H5,character
#Blunt_2H4,character
#Bullcalf_2H4,character
#ChiefJustice_2H4,character
#Chorus_2H4,character
#Clarence_2H4,character
#Colevile_2H4,character
#DRAWERS.1_2H4,character
#DRAWERS.Francis_1H4,character
#DRAWERS.Will_2H4,character
#DRAWERS.X_2H4,character
#Davy_2H4,character
#DollTearsheet_2H4,character
#Epilogue_2H4,character
#Falstaff_1H4,character
#Feeble_2H4,character
#GROOMS.1_2H4,character
#GROOMS.2_2H4,character
#Gloucester_2H4,character
#Harcourt_2H4,character
#Hastings_2H4,character
#HenryIV_1H4,character
#HenryV_H5,character
#LadyNorthumberland_2H4,character
#LadyPercy_1H4,character
#LordBardolph_2H4,character
#MESSENGERS.1_2H4,character
#MESSENGERS.Gower_2H4,character
#MUSICIANS_2H4,character
#Man_2H4,character
#MistressQuickly_1H4,character
#Morton_2H4,character
#Mouldy_2H4,character
#Mowbray_2H4,character
#Northumberland_R2,character
#OFFICERS.Fang_2H4,character
#OFFICERS.Snare_2H4,character
#OFFICERS_2H4,character
#Peto_1H4,character
#Pistol_2H4,character
#Poins_1H4,character
#Porter_2H4,character
#SERVANTS.CHIEFJUSTICE.1_2H4,character
#SERVANTS.FALSTAFF.1_2H4,character
#SERVANTS.HENRY_2H4,character
#SOLDIERS.HENRY_2H4,character
#SOLDIERS.REBEL_2H4,character
#Shadow_2H4,character
#Shallow_2H4,character
#Silence_2H4,character
#Surrey_2H4,character
#Travers_2H4,character
#Wart_2H4,character
#Warwick_2H4,character
#Westmoreland_1H4,character
0.00.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.01.0005,text_unit
1.01.0006,text_unit
1.01.0007,text_unit
1.02.0008,text_unit
1.02.0009,text_unit
1.02.0010,text_unit
1.02.0011,text_unit
1.03.0012,text_unit
2.01.0013,text_unit
2.01.0014,text_unit
2.01.0015,text_unit
2.01.0016,text_unit
2.01.0017,text_unit
2.02.0018,text_unit
2.02.0019,text_unit
2.02.0020,text_unit
2.03.0021,text_unit
2.04.0022,text_unit
2.04.0023,text_unit
2.04.0024,text_unit
2.04.0025,text_unit
2.04.0026,text_unit
2.04.0027,text_unit
2.04.0028,text_unit
2.04.0029,text_unit
2.04.0030,text_unit
2.04.0031,text_unit
2.04.0032,text_unit
2.04.0033,text_unit
2.04.0034,text_unit
2.04.0035,text_unit
2.04.0036,text_unit
2.04.0037,text_unit
2.04.0038,text_unit
2.04.0039,text_unit
3.01.0040,text_unit
3.01.0041,text_unit
3.01.0042,text_unit
3.02.0043,text_unit
3.02.0044,text_unit
3.02.0045,text_unit
3.02.0046,text_unit
3.02.0047,text_unit
3.02.0048,text_unit
3.02.0049,text_unit
3.02.0050,text_unit
3.02.0051,text_unit
4.01.0052,text_unit
4.01.0053,text_unit
4.01.0054,text_unit
4.01.0055,text_unit
4.01.0056,text_unit
4.01.0057,text_unit
4.01.0058,text_unit
4.01.0059,text_unit
4.01.0060,text_unit
4.01.0061,text_unit
4.02.0062,text_unit
4.02.0063,text_unit
4.02.0064,text_unit
4.02.0065,text_unit
4.02.0066,text_unit
4.02.0067,text_unit
4.02.0068,text_unit
4.03.0069,text_unit
4.03.0070,text_unit
4.03.0071,text_unit
4.03.0072,text_unit
4.03.0073,text_unit
4.03.0074,text_unit
4.03.0075,text_unit
4.03.0076,text_unit
4.03.0077,text_unit
4.03.0078,text_unit
4.03.0079,text_unit
4.03.0080,text_unit
4.03.0081,text_unit
5.01.0082,text_unit
5.01.0083,text_unit
5.01.0084,text_unit
5.01.0085,text_unit
5.01.0086,text_unit
5.01.0087,text_unit
5.02.0088,text_unit
5.02.0089,text_unit
5.02.0090,text_unit
5.03.0091,text_unit
5.03.0092,text_unit
5.03.0093,text_unit
5.03.0094,text_unit
5.03.0095,text_unit
5.03.0096,text_unit
5.04.0097,text_unit
5.04.0098,text_unit
5.05.0099,text_unit
5.05.0100,text_unit
5.05.0101,text_unit
5.05.0102,text_unit
5.05.0103,text_unit
5.05.0104,text_unit
6.00.0105,text_unit
