node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#BishopOfCanterbury_H5,#BishopOfEly_H5,0,1,1,2,732,103,2
#ATTENDANTS.ENGLISH_H5,#Bedford_H5,0,1,2,3,49,7,3
#ATTENDANTS.ENGLISH_H5,#Clarence_2H4,0,1,2,3,49,7,3
#ATTENDANTS.ENGLISH_H5,#Exeter_H5,0,1,2,3,49,7,3
#ATTENDANTS.ENGLISH_H5,#Gloucester_2H4,0,1,2,3,49,7,3
#ATTENDANTS.ENGLISH_H5,#HenryV_H5,0,1,2,3,49,7,3
#ATTENDANTS.ENGLISH_H5,#Warwick_2H4,0,1,2,3,49,7,3
#ATTENDANTS.ENGLISH_H5,#Westmoreland_1H4,0,1,2,3,49,7,3
#Bedford_H5,#Clarence_2H4,0,1,2,3,49,7,3
#Bedford_H5,#Exeter_H5,0,1,2,3,49,7,3
#Bedford_H5,#Gloucester_2H4,0,1,2,3,49,7,3
#Bedford_H5,#HenryV_H5,0,1,2,3,49,7,3
#Bedford_H5,#Warwick_2H4,0,1,2,3,49,7,3
#Bedford_H5,#Westmoreland_1H4,0,1,2,3,49,7,3
#Clarence_2H4,#Exeter_H5,0,1,2,3,49,7,3
#Clarence_2H4,#Gloucester_2H4,0,1,2,3,49,7,3
#Clarence_2H4,#HenryV_H5,0,1,2,3,49,7,3
#Clarence_2H4,#Warwick_2H4,0,1,2,3,49,7,3
#Clarence_2H4,#Westmoreland_1H4,0,1,2,3,49,7,3
#Exeter_H5,#Gloucester_2H4,0,1,2,3,49,7,3
#Exeter_H5,#HenryV_H5,0,1,2,3,49,7,3
#Exeter_H5,#Warwick_2H4,0,1,2,3,49,7,3
#Exeter_H5,#Westmoreland_1H4,0,1,2,3,49,7,3
#Gloucester_2H4,#HenryV_H5,0,1,2,3,49,7,3
#Gloucester_2H4,#Warwick_2H4,0,1,2,3,49,7,3
#Gloucester_2H4,#Westmoreland_1H4,0,1,2,3,49,7,3
#HenryV_H5,#Warwick_2H4,0,1,2,3,49,7,3
#HenryV_H5,#Westmoreland_1H4,0,1,2,3,49,7,3
#Warwick_2H4,#Westmoreland_1H4,0,1,2,3,49,7,3
#ATTENDANTS.ENGLISH_H5,#Bedford_H5,1,1,2,4,1718,234,4
#ATTENDANTS.ENGLISH_H5,#Clarence_2H4,1,1,2,4,1718,234,4
#ATTENDANTS.ENGLISH_H5,#Exeter_H5,1,1,2,4,1718,234,4
#ATTENDANTS.ENGLISH_H5,#Gloucester_2H4,1,1,2,4,1718,234,4
#ATTENDANTS.ENGLISH_H5,#HenryV_H5,1,1,2,4,1718,234,4
#ATTENDANTS.ENGLISH_H5,#Warwick_2H4,1,1,2,4,1718,234,4
#ATTENDANTS.ENGLISH_H5,#Westmoreland_1H4,1,1,2,4,1718,234,4
#Bedford_H5,#Clarence_2H4,1,1,2,4,1718,234,4
#Bedford_H5,#Exeter_H5,1,1,2,4,1718,234,4
#Bedford_H5,#Gloucester_2H4,1,1,2,4,1718,234,4
#Bedford_H5,#HenryV_H5,1,1,2,4,1718,234,4
#Bedford_H5,#Warwick_2H4,1,1,2,4,1718,234,4
#Bedford_H5,#Westmoreland_1H4,1,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#ATTENDANTS.ENGLISH_H5,0,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#Bedford_H5,0,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#BishopOfEly_H5,1,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#Clarence_2H4,0,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#Exeter_H5,0,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#Gloucester_2H4,0,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#HenryV_H5,0,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#Warwick_2H4,0,1,2,4,1718,234,4
#BishopOfCanterbury_H5,#Westmoreland_1H4,0,1,2,4,1718,234,4
#BishopOfEly_H5,#ATTENDANTS.ENGLISH_H5,0,1,2,4,1718,234,4
#BishopOfEly_H5,#Bedford_H5,0,1,2,4,1718,234,4
#BishopOfEly_H5,#Clarence_2H4,0,1,2,4,1718,234,4
#BishopOfEly_H5,#Exeter_H5,0,1,2,4,1718,234,4
#BishopOfEly_H5,#Gloucester_2H4,0,1,2,4,1718,234,4
#BishopOfEly_H5,#HenryV_H5,0,1,2,4,1718,234,4
#BishopOfEly_H5,#Warwick_2H4,0,1,2,4,1718,234,4
