act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
0,0,1,1,#Chorus_H5,#Chorus_H5,244,36
1,1,2,2,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,42,5
1,1,2,3,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,9,1
1,1,2,4,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,103,13
1,1,2,5,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,4,1
1,1,2,6,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,6,2
1,1,2,7,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,3,1
1,1,2,8,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,9,1
1,1,2,9,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,8,1
1,1,2,10,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,95,14
1,1,2,11,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,6,1
1,1,2,12,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,162,22
1,1,2,13,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,48,7
1,1,2,14,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,20,3
1,1,2,15,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,23,4
1,1,2,16,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,68,10
1,1,2,17,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,8,1
1,1,2,18,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,51,7
1,1,2,19,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,8,1
1,1,2,20,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,23,3
1,1,2,21,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,2,1
1,1,2,22,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,24,3
1,1,2,23,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,10,1
1,2,3,24,#HenryV_H5,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,7,1
1,2,3,25,#Exeter_H5,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,4,1
