node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#AMBASSADORS.0.1_H5,618,132,79,17
#AMBASSADORS_H5,543,0,69,0
#ATTENDANTS.ENGLISH.0_H5,543,0,69,0
#ATTENDANTS.ENGLISH.Huntington_H5,727,0,100,0
#ATTENDANTS.ENGLISH_H5,5524,1,745,1
#ATTENDANTS.FRENCH_H5,3540,0,487,0
#Alice_H5,3459,164,446,29
#Bardolph_1H4,1609,224,215,35
#Beaumont_H5,480,0,64,0
#Bedford_H5,6676,77,896,10
#Berri_H5,1125,0,155,0
#BishopOfCanterbury_H5,3094,1652,419,226
#BishopOfEly_H5,3094,240,419,35
#Bourbon_H5,1222,74,161,9
#Boy_H5,1496,626,202,75
#Brittany_H5,1645,65,226,9
#Burgundy_H5,1453,512,195,70
#Cambridge_H5,1305,107,178,15
#Chorus_H5,1668,1668,230,230
#Clarence_2H4,2411,0,323,0
#Constable_H5,3441,922,470,125
#Dauphin_H5,3000,905,406,120
#Erpingham_H5,1281,53,169,7
#Exeter_H5,9847,965,1311,132
#Fluellen_H5,5280,2501,670,301
#Gloucester_2H4,7121,28,939,5
#Governor_H5,59,56,8,7
#Gower_H5,4934,507,623,72
#Grandpre_H5,203,137,26,18
#Grey_H5,1305,86,178,12
#HERALDS.1_H5,405,8,56,1
#HERALDS_H5,528,0,69,0
#HenryV_H5,13925,8332,1813,1073
#Jamy_H5,575,98,68,11
#Katherine_H5,3459,441,446,67
#KingOfFrance_H5,3098,699,421,99
#MESSENGERS.X.1_H5,21,12,4,2
#MESSENGERS.X.2_H5,247,17,35,3
#MESSENGERS.X.3_H5,394,7,51,1
#MacMorris_H5,575,205,68,20
#MistressQuickly_1H4,1030,360,135,43
#Montjoy_H5,1291,399,169,54
#Nym_H5,1609,386,215,47
#Orleans_H5,1829,312,250,48
#Pistol_2H4,2884,1118,400,155
#QueenOfFrance_H5,1453,188,195,24
#Rambures_H5,1829,66,250,10
#SOLDIERS.ENGLISH.Bates_H5,1251,167,150,20
#SOLDIERS.ENGLISH.Court_H5,1251,11,150,2
#SOLDIERS.ENGLISH.Williams_H5,2506,621,316,74
#SOLDIERS.ENGLISH_H5,2533,0,328,0
#SOLDIERS.FRENCH.LeFer_H5,426,98,66,19
#SOLDIERS.FRENCH_H5,1340,0,175,0
#Salisbury_H5,653,75,86,9
#Scroop_H5,1305,93,178,13
#Warwick_2H4,5038,7,672,1
#Westmoreland_1H4,6431,144,860,21
#York_H5,30,14,5,2
