node1,node2,n_lines,n_tokens
#ATTENDANTS.ENGLISH_1H6,1.01,180,1349
#Bedford_H5,1.01,180,1349
#CardinalBeaufort_1H6,1.01,180,1349
#Exeter_H5,1.01,180,1349
#Gloucester_2H4,1.01,180,1349
#HERALDS.ENGLISH_1H6,1.01,180,1349
#MESSENGERS.ENGLISH.1_1H6,1.01,180,1349
#MESSENGERS.ENGLISH.2_1H6,1.01,180,1349
#MESSENGERS.ENGLISH.3_1H6,1.01,180,1349
#Somerset_1H6,1.01,180,1349
#Warwick_2H4,1.01,180,1349
#Alanson_1H6,1.02,153,1179
#Bastard_1H6,1.02,153,1179
#Charles_1H6,1.02,153,1179
#Pucelle_1H6,1.02,153,1179
#Reignier_1H6,1.02,153,1179
#SOLDIERS.FRENCH_1H6,1.02,153,1179
#CardinalBeaufort_1H6,1.03,92,714
#Gloucester_2H4,1.03,92,714
#Mayor_1H6,1.03,92,714
#OFFICERS.0.1_1H6,1.03,92,714
#OFFICERS_1H6,1.03,92,714
#SERVANTS.GLOUCESTER.0.1_1H6,1.03,92,714
#SERVANTS.GLOUCESTER_1H6,1.03,92,714
#SERVANTS.WINCHESTER_1H6,1.03,92,714
#WARDERS.1_1H6,1.03,92,714
#WARDERS.2_1H6,1.03,92,714
#Woodville_1H6,1.03,92,714
#ATTENDANTS.ENGLISH_1H6,1.04,111,866
#Boy_1H6,1.04,111,866
#Gargrave_1H6,1.04,111,866
#Glansdale_1H6,1.04,111,866
#MESSENGERS.ENGLISH.X.1_1H6,1.04,111,866
#MasterGunner_1H6,1.04,111,866
#Salisbury_1H6,1.04,111,866
#Talbot_1H6,1.04,111,866
#Pucelle_1H6,1.05,39,314
#SOLDIERS.ENGLISH_1H6,1.05,39,314
#SOLDIERS.FRENCH_1H6,1.05,39,314
#Talbot_1H6,1.05,39,314
#Alanson_1H6,1.06,31,229
#Charles_1H6,1.06,31,229
#Pucelle_1H6,1.06,31,229
#Reignier_1H6,1.06,31,229
#SOLDIERS.FRENCH_1H6,1.06,31,229
#Alanson_1H6,2.01,85,626
#Bastard_1H6,2.01,85,626
#Bedford_H5,2.01,85,626
#Burgundy_1H6,2.01,85,626
#Charles_1H6,2.01,85,626
#Pucelle_1H6,2.01,85,626
#Reignier_1H6,2.01,85,626
#SOLDIERS.ENGLISH.1_1H6,2.01,85,626
#SOLDIERS.FRENCH.Sergeant_1H6,2.01,85,626
#Talbot_1H6,2.01,85,626
#WATCHMEN.1_1H6,2.01,85,626
#WATCHMEN.2_1H6,2.01,85,626
#Bedford_H5,2.02,61,459
#Burgundy_1H6,2.02,61,459
#MESSENGERS.FRENCH.1_1H6,2.02,61,459
#SOLDIERS.ENGLISH.0.1_1H6,2.02,61,459
#SOLDIERS.ENGLISH.0_1H6,2.02,61,459
#SOLDIERS.ENGLISH_1H6,2.02,61,459
#Salisbury_1H6,2.02,61,459
#Talbot_1H6,2.02,61,459
#Countess_1H6,2.03,84,621
#MESSENGERS.FRENCH.1_1H6,2.03,84,621
#Porter_1H6,2.03,84,621
#SOLDIERS.ENGLISH_1H6,2.03,84,621
#Talbot_1H6,2.03,84,621
#Lawyer_1H6,2.04,135,1058
#Somerset_1H6,2.04,135,1058
#Suffolk_1H6,2.04,135,1058
#Vernon_1H6,2.04,135,1058
#Warwick_2H4,2.04,135,1058
#York_1H6,2.04,135,1058
#JAILERS.0.1_1H6,2.05,129,956
#JAILERS_1H6,2.05,129,956
#Mortimer_1H4,2.05,129,956
#York_1H6,2.05,129,956
#CardinalBeaufort_1H6,3.01,210,1514
#Exeter_H5,3.01,210,1514
#Gloucester_2H4,3.01,210,1514
#HenryVI_1H6,3.01,210,1514
#Mayor_1H6,3.01,210,1514
#SERVANTS.1_1H6,3.01,210,1514
#SERVANTS.2_1H6,3.01,210,1514
#SERVANTS.3_1H6,3.01,210,1514
#SERVANTS.GLOUCESTER.0.1_1H6,3.01,210,1514
#SERVANTS.GLOUCESTER.0.2_1H6,3.01,210,1514
#SERVANTS.GLOUCESTER_1H6,3.01,210,1514
#SERVANTS.WINCHESTER.0.1_1H6,3.01,210,1514
#SERVANTS.WINCHESTER_1H6,3.01,210,1514
#Somerset_1H6,3.01,210,1514
#Suffolk_1H6,3.01,210,1514
#Warwick_2H4,3.01,210,1514
#York_1H6,3.01,210,1514
#ATTENDANTS.ENGLISH_1H6,3.02,139,1044
#Alanson_1H6,3.02,139,1044
#Bastard_1H6,3.02,139,1044
#Bedford_H5,3.02,139,1044
#Burgundy_1H6,3.02,139,1044
#Charles_1H6,3.02,139,1044
#Fastolf_1H6,3.02,139,1044
#Pucelle_1H6,3.02,139,1044
#Reignier_1H6,3.02,139,1044
#SOLDIERS.ENGLISH.Captain_1H6,3.02,139,1044
#SOLDIERS.ENGLISH_1H6,3.02,139,1044
#SOLDIERS.FRENCH.PUCELLE.0.1_1H6,3.02,139,1044
#SOLDIERS.FRENCH.PUCELLE_1H6,3.02,139,1044
#SOLDIERS.FRENCH_1H6,3.02,139,1044
#Talbot_1H6,3.02,139,1044
#Watchman_1H6,3.02,139,1044
#Alanson_1H6,3.03,91,704
#Bastard_1H6,3.03,91,704
#Burgundy_1H6,3.03,91,704
#Charles_1H6,3.03,91,704
#Pucelle_1H6,3.03,91,704
#SOLDIERS.FRENCH_1H6,3.03,91,704
#Basset_1H6,3.04,45,348
#CardinalBeaufort_1H6,3.04,45,348
#Exeter_H5,3.04,45,348
#Gloucester_2H4,3.04,45,348
#HenryVI_1H6,3.04,45,348
#SOLDIERS.ENGLISH_1H6,3.04,45,348
#Somerset_1H6,3.04,45,348
#Suffolk_1H6,3.04,45,348
#Talbot_1H6,3.04,45,348
#Vernon_1H6,3.04,45,348
#Warwick_2H4,3.04,45,348
#York_1H6,3.04,45,348
#Basset_1H6,4.01,195,1468
#CardinalBeaufort_1H6,4.01,195,1468
#Exeter_H5,4.01,195,1468
#Fastolf_1H6,4.01,195,1468
#Gloucester_2H4,4.01,195,1468
#Governor_1H6,4.01,195,1468
#HenryVI_1H6,4.01,195,1468
#Somerset_1H6,4.01,195,1468
#Suffolk_1H6,4.01,195,1468
#Talbot_1H6,4.01,195,1468
#Vernon_1H6,4.01,195,1468
#Warwick_2H4,4.01,195,1468
#York_1H6,4.01,195,1468
#General_1H6,4.02,56,423
#SOLDIERS.ENGLISH_1H6,4.02,56,423
#SOLDIERS.FRENCH_1H6,4.02,56,423
#Talbot_1H6,4.02,56,423
#Lucy_1H6,4.03,54,402
#MESSENGERS.ENGLISH.X.2_1H6,4.03,54,402
#SOLDIERS.ENGLISH.YORK_1H6,4.03,54,402
#York_1H6,4.03,54,402
#Lucy_1H6,4.04,46,354
#SOLDIERS.ENGLISH.SOMERSET.0.1_1H6,4.04,46,354
#SOLDIERS.ENGLISH.SOMERSET_1H6,4.04,46,354
#Somerset_1H6,4.04,46,354
#JohnTalbot_1H6,4.05,55,458
#Talbot_1H6,4.05,55,458
#JohnTalbot_1H6,4.06,57,466
#Talbot_1H6,4.06,57,466
#ATTENDANTS.ENGLISH_1H6,4.07,99,750
#Alanson_1H6,4.07,99,750
#Bastard_1H6,4.07,99,750
#Burgundy_1H6,4.07,99,750
#Charles_1H6,4.07,99,750
#HERALDS.FRENCH.1_1H6,4.07,99,750
#JohnTalbot_1H6,4.07,99,750
#Lucy_1H6,4.07,99,750
#Pucelle_1H6,4.07,99,750
#SERVANTS.TALBOT.1_1H6,4.07,99,750
#SOLDIERS.ENGLISH_1H6,4.07,99,750
#SOLDIERS.FRENCH_1H6,4.07,99,750
#Talbot_1H6,4.07,99,750
#AMBASSADORS.ARMAGNAC.1_1H6,5.01,62,449
#AMBASSADORS.EMPEROR.1_1H6,5.01,62,449
#ATTENDANTS.ENGLISH_1H6,5.01,62,449
#CardinalBeaufort_1H6,5.01,62,449
#Exeter_H5,5.01,62,449
#Gloucester_2H4,5.01,62,449
#HenryVI_1H6,5.01,62,449
#Legate_1H6,5.01,62,449
#Alanson_1H6,5.02,21,158
#Bastard_1H6,5.02,21,158
#Burgundy_1H6,5.02,21,158
#Charles_1H6,5.02,21,158
#Pucelle_1H6,5.02,21,158
#Reignier_1H6,5.02,21,158
#SOLDIERS.FRENCH.Scout_1H6,5.02,21,158
#SOLDIERS.FRENCH_1H6,5.02,21,158
#Pucelle_1H6,5.03,200,1479
#QueenMargaret_1H6,5.03,200,1479
#Reignier_1H6,5.03,200,1479
#SOLDIERS.ENGLISH.0_1H6,5.03,200,1479
#SOLDIERS.ENGLISH_1H6,5.03,200,1479
#SPIRITS_1H6,5.03,200,1479
#Suffolk_1H6,5.03,200,1479
#York_1H6,5.03,200,1479
#ATTENDANTS.FRENCH_1H6,5.04,175,1295
#Alanson_1H6,5.04,175,1295
#Bastard_1H6,5.04,175,1295
#CardinalBeaufort_1H6,5.04,175,1295
#Charles_1H6,5.04,175,1295
#OFFICERS_1H6,5.04,175,1295
#Pucelle_1H6,5.04,175,1295
#Reignier_1H6,5.04,175,1295
#Shepherd_1H6,5.04,175,1295
#Warwick_2H4,5.04,175,1295
#York_1H6,5.04,175,1295
#ATTENDANTS.ENGLISH_1H6,5.05,108,810
#Exeter_H5,5.05,108,810
#Gloucester_2H4,5.05,108,810
#HenryVI_1H6,5.05,108,810
#Suffolk_1H6,5.05,108,810
