act,scene,stagegroup,n_tokens,n_lines,onstage
1,1,1,547,79,#Buckingham_2H6 #CardinalBeaufort_1H6 #Gloucester_2H4 #HenryVI_1H6 #QueenMargaret_1H6 #Salisbury_2H6 #Somerset_1H6 #Suffolk_1H6 #Warwick_2H6 #York_1H6
1,1,2,537,74,#Buckingham_2H6 #CardinalBeaufort_1H6 #Gloucester_2H4 #Salisbury_2H6 #Somerset_1H6 #Warwick_2H6 #York_1H6
1,1,3,191,26,#Buckingham_2H6 #CardinalBeaufort_1H6 #Salisbury_2H6 #Somerset_1H6 #Warwick_2H6 #York_1H6
1,1,4,56,8,#Buckingham_2H6 #Salisbury_2H6 #Somerset_1H6 #Warwick_2H6 #York_1H6
1,1,5,268,35,#Salisbury_2H6 #Warwick_2H6 #York_1H6
1,1,6,377,49,#York_1H6
1,2,7,435,57,#DuchessOfGloucester_2H6 #Gloucester_2H4
1,2,8,40,5,#DuchessOfGloucester_2H6 #Gloucester_2H4 #MESSENGERS.X.1_2H6
1,2,9,75,9,#DuchessOfGloucester_2H6
1,2,10,125,18,#DuchessOfGloucester_2H6 #Hume_2H6
1,2,11,173,21,#Hume_2H6
1,3,12,25,3,#PETITIONERS.0.1_2H6 #PETITIONERS_2H6 #Thump_2H6
1,3,13,13,2,#PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #PETITIONERS_2H6 #Thump_2H6
1,3,14,185,30,#PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #PETITIONERS_2H6 #QueenMargaret_1H6 #Suffolk_1H6 #Thump_2H6
1,3,15,22,3,#PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #PETITIONERS_2H6 #QueenMargaret_1H6 #SERVANTS.SUFFOLK_2H6 #Suffolk_1H6 #Thump_2H6
1,3,16,35,5,#PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #PETITIONERS_2H6 #QueenMargaret_1H6 #Suffolk_1H6
1,3,17,468,60,#PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #QueenMargaret_1H6 #Suffolk_1H6
1,3,18,281,37,#Buckingham_2H6 #CardinalBeaufort_1H6 #DuchessOfGloucester_2H6 #Gloucester_2H4 #HenryVI_1H6 #PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #QueenMargaret_1H6 #Salisbury_2H6 #Somerset_1H6 #Suffolk_1H6 #Warwick_2H6 #York_1H6
1,3,19,86,11,#Buckingham_2H6 #CardinalBeaufort_1H6 #DuchessOfGloucester_2H6 #HenryVI_1H6 #PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #QueenMargaret_1H6 #Salisbury_2H6 #Somerset_1H6 #Suffolk_1H6 #Warwick_2H6 #York_1H6
1,3,20,28,4,#Buckingham_2H6 #CardinalBeaufort_1H6 #HenryVI_1H6 #PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #QueenMargaret_1H6 #Salisbury_2H6 #Somerset_1H6 #Suffolk_1H6 #Warwick_2H6 #York_1H6
1,3,21,188,25,#CardinalBeaufort_1H6 #Gloucester_2H4 #HenryVI_1H6 #PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #QueenMargaret_1H6 #Salisbury_2H6 #Somerset_1H6 #Suffolk_1H6 #Warwick_2H6 #York_1H6
1,3,22,364,46,#CardinalBeaufort_1H6 #Gloucester_2H4 #HenryVI_1H6 #Horner_2H6 #OFFICERS_2H6 #PETITIONERS.0.1_2H6 #PETITIONERS.0.2_2H6 #QueenMargaret_1H6 #Salisbury_2H6 #Somerset_1H6 #Suffolk_1H6 #Thump_2H6 #Warwick_2H6 #York_1H6
1,4,23,78,11,#Bolingbroke_2H6 #Hume_2H6 #Jourdain_2H6 #Southwell_2H6
1,4,24,20,3,#Bolingbroke_2H6 #Jourdain_2H6 #Southwell_2H6
1,4,25,85,10,#Bolingbroke_2H6 #DuchessOfGloucester_2H6 #Hume_2H6 #Jourdain_2H6 #Southwell_2H6
1,4,26,121,18,#Bolingbroke_2H6 #DuchessOfGloucester_2H6 #Hume_2H6 #Jourdain_2H6 #Southwell_2H6 #Spirit_2H6
1,4,27,97,14,#Bolingbroke_2H6 #Buckingham_2H6 #DuchessOfGloucester_2H6 #Hume_2H6 #Jourdain_2H6 #OFFICERS_2H6 #Southwell_2H6 #Stafford_2H6 #York_1H6
1,4,28,9,2,#Bolingbroke_2H6 #Buckingham_2H6 #DuchessOfGloucester_2H6 #Hume_2H6 #Jourdain_2H6 #OFFICERS_2H6 #Southwell_2H6 #York_1H6
1,4,29,172,25,#Buckingham_2H6 #York_1H6
1,4,30,4,1,#York_1H6
1,4,31,14,2,#SERVANTS.YORK.1_2H6 #York_1H6
2,1,32,450,65,#ATTENDANTS_2H6 #CardinalBeaufort_1H6 #FALCONERS_2H6 #Gloucester_2H4 #HenryVI_1H6 #QueenMargaret_1H6 #Suffolk_1H6
2,1,33,63,9,#ATTENDANTS_2H6 #CITIZENS.STALBANS.0.1_2H6 #CardinalBeaufort_1H6 #FALCONERS_2H6 #Gloucester_2H4 #HenryVI_1H6 #QueenMargaret_1H6 #Suffolk_1H6
2,1,34,588,85,#ATTENDANTS_2H6 #CITIZENS.STALBANS.0.1_2H6 #CITIZENS.STALBANS_2H6 #CardinalBeaufort_1H6 #FALCONERS_2H6 #Gloucester_2H4 #HenryVI_1H6 #MayorOfStAlbans_2H6 #QueenMargaret_1H6 #SimpcoxWife_2H6 #Simpcox_2H6 #Suffolk_1H6
2,1,35,44,7,#ATTENDANTS_2H6 #Beadle_2H6 #CITIZENS.STALBANS.0.1_2H6 #CITIZENS.STALBANS_2H6 #CardinalBeaufort_1H6 #FALCONERS_2H6 #Gloucester_2H4 #HenryVI_1H6 #MayorOfStAlbans_2H6 #QueenMargaret_1H6 #SimpcoxWife_2H6 #Simpcox_2H6 #Suffolk_1H6
