source,target,key,n_lines,n_tokens,edge_index,edge_type
#Suffolk_1H6,1.01.0001,0,18,119,1,active
1.01.0001,#Buckingham_2H6,0,18,119,1,passive
1.01.0001,#CardinalBeaufort_1H6,0,18,119,1,passive
1.01.0001,#Gloucester_2H4,0,18,119,1,passive
1.01.0001,#HenryVI_1H6,0,18,119,1,passive
1.01.0001,#QueenMargaret_1H6,0,18,119,1,passive
1.01.0001,#Salisbury_2H6,0,18,119,1,passive
1.01.0001,#Somerset_1H6,0,18,119,1,passive
1.01.0001,#Warwick_2H6,0,18,119,1,passive
1.01.0001,#York_1H6,0,18,119,1,passive
#HenryVI_1H6,1.01.0001,0,8,54,2,active
1.01.0001,#Buckingham_2H6,1,8,54,2,passive
1.01.0001,#CardinalBeaufort_1H6,1,8,54,2,passive
1.01.0001,#Gloucester_2H4,1,8,54,2,passive
1.01.0001,#QueenMargaret_1H6,1,8,54,2,passive
1.01.0001,#Salisbury_2H6,1,8,54,2,passive
1.01.0001,#Somerset_1H6,1,8,54,2,passive
1.01.0001,#Suffolk_1H6,0,8,54,2,passive
1.01.0001,#Warwick_2H6,1,8,54,2,passive
1.01.0001,#York_1H6,1,8,54,2,passive
#QueenMargaret_1H6,1.01.0001,0,8,59,3,active
1.01.0001,#Buckingham_2H6,2,8,59,3,passive
1.01.0001,#CardinalBeaufort_1H6,2,8,59,3,passive
1.01.0001,#Gloucester_2H4,2,8,59,3,passive
1.01.0001,#HenryVI_1H6,1,8,59,3,passive
1.01.0001,#Salisbury_2H6,2,8,59,3,passive
1.01.0001,#Somerset_1H6,2,8,59,3,passive
1.01.0001,#Suffolk_1H6,1,8,59,3,passive
1.01.0001,#Warwick_2H6,2,8,59,3,passive
1.01.0001,#York_1H6,2,8,59,3,passive
#HenryVI_1H6,1.01.0001,1,5,39,4,active
1.01.0001,#Buckingham_2H6,3,5,39,4,passive
1.01.0001,#CardinalBeaufort_1H6,3,5,39,4,passive
1.01.0001,#Gloucester_2H4,3,5,39,4,passive
1.01.0001,#QueenMargaret_1H6,2,5,39,4,passive
1.01.0001,#Salisbury_2H6,3,5,39,4,passive
1.01.0001,#Somerset_1H6,3,5,39,4,passive
1.01.0001,#Suffolk_1H6,2,5,39,4,passive
1.01.0001,#Warwick_2H6,3,5,39,4,passive
1.01.0001,#York_1H6,3,5,39,4,passive
#Buckingham_2H6,1.01.0001,0,1,6,5,active
#CardinalBeaufort_1H6,1.01.0001,0,1,6,5,active
#Gloucester_2H4,1.01.0001,0,1,6,5,active
#Salisbury_2H6,1.01.0001,0,1,6,5,active
#Somerset_1H6,1.01.0001,0,1,6,5,active
#Suffolk_1H6,1.01.0001,1,1,6,5,active
#Warwick_2H6,1.01.0001,0,1,6,5,active
#York_1H6,1.01.0001,0,1,6,5,active
1.01.0001,#HenryVI_1H6,2,1,6,5,passive
1.01.0001,#QueenMargaret_1H6,3,1,6,5,passive
#QueenMargaret_1H6,1.01.0001,1,1,4,6,active
1.01.0001,#Buckingham_2H6,4,1,4,6,passive
1.01.0001,#CardinalBeaufort_1H6,4,1,4,6,passive
1.01.0001,#Gloucester_2H4,4,1,4,6,passive
1.01.0001,#HenryVI_1H6,3,1,4,6,passive
1.01.0001,#Salisbury_2H6,4,1,4,6,passive
1.01.0001,#Somerset_1H6,4,1,4,6,passive
1.01.0001,#Suffolk_1H6,3,1,4,6,passive
1.01.0001,#Warwick_2H6,4,1,4,6,passive
1.01.0001,#York_1H6,4,1,4,6,passive
