node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#EdwardIV_3H6,#Montague_3H6,0,1,1,1,272,34,1
#EdwardIV_3H6,#Norfolk_3H6,0,1,1,1,272,34,1
#EdwardIV_3H6,#RichardIII_R3,0,1,1,1,272,34,1
#EdwardIV_3H6,#SOLDIERS.YORK_3H6,0,1,1,1,272,34,1
#EdwardIV_3H6,#Warwick_2H6,0,1,1,1,272,34,1
#EdwardIV_3H6,#York_1H6,0,1,1,1,272,34,1
#Montague_3H6,#Norfolk_3H6,0,1,1,1,272,34,1
#Montague_3H6,#RichardIII_R3,0,1,1,1,272,34,1
#Montague_3H6,#SOLDIERS.YORK_3H6,0,1,1,1,272,34,1
#Montague_3H6,#Warwick_2H6,0,1,1,1,272,34,1
#Montague_3H6,#York_1H6,0,1,1,1,272,34,1
#Norfolk_3H6,#RichardIII_R3,0,1,1,1,272,34,1
#Norfolk_3H6,#SOLDIERS.YORK_3H6,0,1,1,1,272,34,1
#Norfolk_3H6,#Warwick_2H6,0,1,1,1,272,34,1
#Norfolk_3H6,#York_1H6,0,1,1,1,272,34,1
#RichardIII_R3,#SOLDIERS.YORK_3H6,0,1,1,1,272,34,1
#RichardIII_R3,#Warwick_2H6,0,1,1,1,272,34,1
#RichardIII_R3,#York_1H6,0,1,1,1,272,34,1
#SOLDIERS.YORK_3H6,#Warwick_2H6,0,1,1,1,272,34,1
#SOLDIERS.YORK_3H6,#York_1H6,0,1,1,1,272,34,1
#Warwick_2H6,#York_1H6,0,1,1,1,272,34,1
#EdwardIV_3H6,#Montague_3H6,1,1,1,2,119,15,2
#EdwardIV_3H6,#Norfolk_3H6,1,1,1,2,119,15,2
#EdwardIV_3H6,#RichardIII_R3,1,1,1,2,119,15,2
#EdwardIV_3H6,#Warwick_2H6,1,1,1,2,119,15,2
#EdwardIV_3H6,#York_1H6,1,1,1,2,119,15,2
#Montague_3H6,#Norfolk_3H6,1,1,1,2,119,15,2
#Montague_3H6,#RichardIII_R3,1,1,1,2,119,15,2
#Montague_3H6,#Warwick_2H6,1,1,1,2,119,15,2
#Montague_3H6,#York_1H6,1,1,1,2,119,15,2
#Norfolk_3H6,#RichardIII_R3,1,1,1,2,119,15,2
#Norfolk_3H6,#Warwick_2H6,1,1,1,2,119,15,2
#Norfolk_3H6,#York_1H6,1,1,1,2,119,15,2
#RichardIII_R3,#Warwick_2H6,1,1,1,2,119,15,2
#RichardIII_R3,#York_1H6,1,1,1,2,119,15,2
#Warwick_2H6,#York_1H6,1,1,1,2,119,15,2
#Clifford_3H6,#Exeter_3H6,0,1,1,3,972,124,3
#Clifford_3H6,#HenryVI_1H6,0,1,1,3,972,124,3
#Clifford_3H6,#Northumberland_3H6,0,1,1,3,972,124,3
#Clifford_3H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#Clifford_3H6,#Westmorland_3H6,0,1,1,3,972,124,3
#EdwardIV_3H6,#Clifford_3H6,0,1,1,3,972,124,3
#EdwardIV_3H6,#Exeter_3H6,0,1,1,3,972,124,3
#EdwardIV_3H6,#HenryVI_1H6,0,1,1,3,972,124,3
#EdwardIV_3H6,#Montague_3H6,2,1,1,3,972,124,3
#EdwardIV_3H6,#Norfolk_3H6,2,1,1,3,972,124,3
#EdwardIV_3H6,#Northumberland_3H6,0,1,1,3,972,124,3
#EdwardIV_3H6,#RichardIII_R3,2,1,1,3,972,124,3
#EdwardIV_3H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#EdwardIV_3H6,#Warwick_2H6,2,1,1,3,972,124,3
#EdwardIV_3H6,#Westmorland_3H6,0,1,1,3,972,124,3
#EdwardIV_3H6,#York_1H6,2,1,1,3,972,124,3
#Exeter_3H6,#HenryVI_1H6,0,1,1,3,972,124,3
#Exeter_3H6,#Northumberland_3H6,0,1,1,3,972,124,3
#Exeter_3H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#Exeter_3H6,#Westmorland_3H6,0,1,1,3,972,124,3
#HenryVI_1H6,#Northumberland_3H6,0,1,1,3,972,124,3
#HenryVI_1H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#HenryVI_1H6,#Westmorland_3H6,0,1,1,3,972,124,3
#Montague_3H6,#Clifford_3H6,0,1,1,3,972,124,3
#Montague_3H6,#Exeter_3H6,0,1,1,3,972,124,3
#Montague_3H6,#HenryVI_1H6,0,1,1,3,972,124,3
#Montague_3H6,#Norfolk_3H6,2,1,1,3,972,124,3
#Montague_3H6,#Northumberland_3H6,0,1,1,3,972,124,3
#Montague_3H6,#RichardIII_R3,2,1,1,3,972,124,3
#Montague_3H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#Montague_3H6,#Warwick_2H6,2,1,1,3,972,124,3
#Montague_3H6,#Westmorland_3H6,0,1,1,3,972,124,3
#Montague_3H6,#York_1H6,2,1,1,3,972,124,3
#Norfolk_3H6,#Clifford_3H6,0,1,1,3,972,124,3
#Norfolk_3H6,#Exeter_3H6,0,1,1,3,972,124,3
#Norfolk_3H6,#HenryVI_1H6,0,1,1,3,972,124,3
#Norfolk_3H6,#Northumberland_3H6,0,1,1,3,972,124,3
#Norfolk_3H6,#RichardIII_R3,2,1,1,3,972,124,3
#Norfolk_3H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#Norfolk_3H6,#Warwick_2H6,2,1,1,3,972,124,3
#Norfolk_3H6,#Westmorland_3H6,0,1,1,3,972,124,3
#Norfolk_3H6,#York_1H6,2,1,1,3,972,124,3
#Northumberland_3H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#Northumberland_3H6,#Westmorland_3H6,0,1,1,3,972,124,3
#RichardIII_R3,#Clifford_3H6,0,1,1,3,972,124,3
#RichardIII_R3,#Exeter_3H6,0,1,1,3,972,124,3
#RichardIII_R3,#HenryVI_1H6,0,1,1,3,972,124,3
#RichardIII_R3,#Northumberland_3H6,0,1,1,3,972,124,3
#RichardIII_R3,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#RichardIII_R3,#Warwick_2H6,2,1,1,3,972,124,3
#RichardIII_R3,#Westmorland_3H6,0,1,1,3,972,124,3
#RichardIII_R3,#York_1H6,2,1,1,3,972,124,3
#SOLDIERS.LANCASTER_3H6,#Westmorland_3H6,0,1,1,3,972,124,3
#Warwick_2H6,#Clifford_3H6,0,1,1,3,972,124,3
#Warwick_2H6,#Exeter_3H6,0,1,1,3,972,124,3
#Warwick_2H6,#HenryVI_1H6,0,1,1,3,972,124,3
#Warwick_2H6,#Northumberland_3H6,0,1,1,3,972,124,3
#Warwick_2H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#Warwick_2H6,#Westmorland_3H6,0,1,1,3,972,124,3
#Warwick_2H6,#York_1H6,2,1,1,3,972,124,3
#York_1H6,#Clifford_3H6,0,1,1,3,972,124,3
#York_1H6,#Exeter_3H6,0,1,1,3,972,124,3
#York_1H6,#HenryVI_1H6,0,1,1,3,972,124,3
#York_1H6,#Northumberland_3H6,0,1,1,3,972,124,3
#York_1H6,#SOLDIERS.LANCASTER_3H6,0,1,1,3,972,124,3
#York_1H6,#Westmorland_3H6,0,1,1,3,972,124,3
#Clifford_3H6,#Exeter_3H6,1,1,1,4,139,19,4
#Clifford_3H6,#HenryVI_1H6,1,1,1,4,139,19,4
#Clifford_3H6,#Northumberland_3H6,1,1,1,4,139,19,4
#Clifford_3H6,#SOLDIERS.LANCASTER_3H6,1,1,1,4,139,19,4
#Clifford_3H6,#Westmorland_3H6,1,1,1,4,139,19,4
#EdwardIV_3H6,#Clifford_3H6,1,1,1,4,139,19,4
#EdwardIV_3H6,#Exeter_3H6,1,1,1,4,139,19,4
#EdwardIV_3H6,#HenryVI_1H6,1,1,1,4,139,19,4
#EdwardIV_3H6,#Montague_3H6,3,1,1,4,139,19,4
#EdwardIV_3H6,#Norfolk_3H6,3,1,1,4,139,19,4
#EdwardIV_3H6,#Northumberland_3H6,1,1,1,4,139,19,4
#EdwardIV_3H6,#RichardIII_R3,3,1,1,4,139,19,4
#EdwardIV_3H6,#SOLDIERS.LANCASTER_3H6,1,1,1,4,139,19,4
#EdwardIV_3H6,#SOLDIERS.YORK_3H6,1,1,1,4,139,19,4
#EdwardIV_3H6,#Warwick_2H6,3,1,1,4,139,19,4
#EdwardIV_3H6,#Westmorland_3H6,1,1,1,4,139,19,4
#EdwardIV_3H6,#York_1H6,3,1,1,4,139,19,4
#Exeter_3H6,#HenryVI_1H6,1,1,1,4,139,19,4
#Exeter_3H6,#Northumberland_3H6,1,1,1,4,139,19,4
#Exeter_3H6,#SOLDIERS.LANCASTER_3H6,1,1,1,4,139,19,4
#Exeter_3H6,#Westmorland_3H6,1,1,1,4,139,19,4
#HenryVI_1H6,#Northumberland_3H6,1,1,1,4,139,19,4
#HenryVI_1H6,#SOLDIERS.LANCASTER_3H6,1,1,1,4,139,19,4
#HenryVI_1H6,#Westmorland_3H6,1,1,1,4,139,19,4
#Montague_3H6,#Clifford_3H6,1,1,1,4,139,19,4
#Montague_3H6,#Exeter_3H6,1,1,1,4,139,19,4
#Montague_3H6,#HenryVI_1H6,1,1,1,4,139,19,4
#Montague_3H6,#Norfolk_3H6,3,1,1,4,139,19,4
#Montague_3H6,#Northumberland_3H6,1,1,1,4,139,19,4
#Montague_3H6,#RichardIII_R3,3,1,1,4,139,19,4
#Montague_3H6,#SOLDIERS.LANCASTER_3H6,1,1,1,4,139,19,4
#Montague_3H6,#SOLDIERS.YORK_3H6,1,1,1,4,139,19,4
#Montague_3H6,#Warwick_2H6,3,1,1,4,139,19,4
#Montague_3H6,#Westmorland_3H6,1,1,1,4,139,19,4
#Montague_3H6,#York_1H6,3,1,1,4,139,19,4
#Norfolk_3H6,#Clifford_3H6,1,1,1,4,139,19,4
#Norfolk_3H6,#Exeter_3H6,1,1,1,4,139,19,4
#Norfolk_3H6,#HenryVI_1H6,1,1,1,4,139,19,4
#Norfolk_3H6,#Northumberland_3H6,1,1,1,4,139,19,4
#Norfolk_3H6,#RichardIII_R3,3,1,1,4,139,19,4
#Norfolk_3H6,#SOLDIERS.LANCASTER_3H6,1,1,1,4,139,19,4
#Norfolk_3H6,#SOLDIERS.YORK_3H6,1,1,1,4,139,19,4
