node1,node2,count
#ALDERMEN_3H6,#MayorOfYork_3H6,4
#ALDERMEN_3H6,#Montgomery_3H6,2
#ALDERMEN_3H6,#SOLDIERS.MONTGOMERY_3H6,2
#ALDERMEN_3H6,#SOLDIERS.YORK.0.1_3H6,1
#ATTENDANTS.EDWARD_3H6,#ATTENDANTS.EDWARD.1_3H6,1
#ATTENDANTS.EDWARD_3H6,#EdwardV.Infant_3H6,1
#ATTENDANTS.EDWARD_3H6,#Hastings_3H6,5
#ATTENDANTS.EDWARD_3H6,#MESSENGERS.Post_3H6,3
#ATTENDANTS.EDWARD_3H6,#Nurse_3H6,1
#ATTENDANTS.EDWARD_3H6,#Pembroke_3H6,3
#ATTENDANTS.EDWARD_3H6,#QueenElizabeth_3H6,8
#ATTENDANTS.EDWARD_3H6,#Somerset_3H6,2
#ATTENDANTS.EDWARD_3H6,#Stafford_3H6,3
#Bourbon_3H6,#KingLewis_3H6,4
#Bourbon_3H6,#LadyBona_3H6,4
#Clarence_3H6,#ATTENDANTS.EDWARD.1_3H6,1
#Clarence_3H6,#ATTENDANTS.EDWARD_3H6,6
#Clarence_3H6,#EdwardV.Infant_3H6,1
#Clarence_3H6,#Hastings_3H6,3
#Clarence_3H6,#HenryVII_R3,2
#Clarence_3H6,#Lieutenant_3H6,2
#Clarence_3H6,#MESSENGERS.Post_3H6,2
#Clarence_3H6,#MayorOfCoventry_3H6,2
#Clarence_3H6,#Nurse_3H6,1
#Clarence_3H6,#Oxford_3H6,11
#Clarence_3H6,#Pembroke_3H6,2
#Clarence_3H6,#PrinceEdward_3H6,4
#Clarence_3H6,#QueenElizabeth_3H6,6
#Clarence_3H6,#QueenMargaret_1H6,6
#Clarence_3H6,#SOLDIERS.CLARENCE_3H6,2
#Clarence_3H6,#SOLDIERS.FRENCH_3H6,3
#Clarence_3H6,#SOLDIERS.YORK.0.2_3H6,3
#Clarence_3H6,#Somerset_3H6,10
#Clarence_3H6,#Somerville_3H6,2
#Clarence_3H6,#Stafford_3H6,2
#Clarence_3H6,#WATCHMEN.1_3H6,1
#Clarence_3H6,#WATCHMEN.2_3H6,1
#Clarence_3H6,#WATCHMEN.3_3H6,1
#Clifford_3H6,#Clarence_3H6,2
#Clifford_3H6,#Exeter_3H6,2
#Clifford_3H6,#HenryVI_1H6,6
#Clifford_3H6,#MESSENGERS.X.4_3H6,1
#Clifford_3H6,#Northumberland_3H6,7
#Clifford_3H6,#PrinceEdward_3H6,5
#Clifford_3H6,#QueenMargaret_1H6,5
#Clifford_3H6,#Rutland_3H6,2
#Clifford_3H6,#SOLDIERS.LANCASTER_3H6,5
#Clifford_3H6,#Tutor_3H6,1
#Clifford_3H6,#Westmorland_3H6,2
#EdwardIV_3H6,#ALDERMEN_3H6,4
#EdwardIV_3H6,#ATTENDANTS.EDWARD.1_3H6,1
#EdwardIV_3H6,#ATTENDANTS.EDWARD_3H6,8
#EdwardIV_3H6,#Clarence_3H6,20
#EdwardIV_3H6,#Clifford_3H6,4
#EdwardIV_3H6,#EdwardV.Infant_3H6,1
#EdwardIV_3H6,#Exeter_3H6,4
#EdwardIV_3H6,#Hastings_3H6,12
#EdwardIV_3H6,#HenryVI_1H6,5
#EdwardIV_3H6,#HughMortimer_3H6,1
#EdwardIV_3H6,#Huntsman_3H6,1
#EdwardIV_3H6,#JohnMortimer_3H6,1
#EdwardIV_3H6,#MESSENGERS.Post_3H6,3
#EdwardIV_3H6,#MESSENGERS.X.1_3H6,1
#EdwardIV_3H6,#MESSENGERS.X.2_3H6,1
#EdwardIV_3H6,#MESSENGERS.X.3_3H6,1
#EdwardIV_3H6,#MayorOfCoventry_3H6,9
#EdwardIV_3H6,#MayorOfYork_3H6,4
#EdwardIV_3H6,#Montague_3H6,18
#EdwardIV_3H6,#Montgomery_3H6,2
#EdwardIV_3H6,#Norfolk_3H6,6
#EdwardIV_3H6,#Northumberland_3H6,3
#EdwardIV_3H6,#Nurse_3H6,1
#EdwardIV_3H6,#Oxford_3H6,10
#EdwardIV_3H6,#Pembroke_3H6,3
#EdwardIV_3H6,#PrinceEdward_3H6,4
#EdwardIV_3H6,#QueenElizabeth_3H6,8
#EdwardIV_3H6,#QueenMargaret_1H6,6
#EdwardIV_3H6,#RichardIII_R3,49
#EdwardIV_3H6,#SOLDIERS.CLARENCE_3H6,2
#EdwardIV_3H6,#SOLDIERS.FRENCH_3H6,1
#EdwardIV_3H6,#SOLDIERS.LANCASTER_3H6,3
#EdwardIV_3H6,#SOLDIERS.MONTAGUE_3H6,1
#EdwardIV_3H6,#SOLDIERS.MONTGOMERY_3H6,2
#EdwardIV_3H6,#SOLDIERS.OXFORD_3H6,1
