act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#EdwardIV_3H6,28,4,272,34
1,1,1,#Montague_3H6,15,2,272,34
1,1,1,#Norfolk_3H6,19,2,272,34
1,1,1,#RichardIII_R3,19,2,272,34
1,1,1,#Warwick_2H6,82,10,272,34
1,1,1,#York_1H6,109,14,272,34
1,1,2,#RichardIII_R3,9,1,119,15
1,1,2,#Warwick_2H6,67,9,119,15
1,1,2,#York_1H6,43,5,119,15
1,1,3,#Clifford_3H6,104,13,972,124
1,1,3,#EdwardIV_3H6,9,1,972,124
1,1,3,#Exeter_3H6,61,8,972,124
1,1,3,#HenryVI_1H6,363,45,972,124
1,1,3,#Montague_3H6,17,2,972,124
1,1,3,#Northumberland_3H6,82,10,972,124
1,1,3,#RichardIII_R3,27,4,972,124
1,1,3,#Warwick_2H6,165,21,972,124
1,1,3,#Westmorland_3H6,59,7,972,124
1,1,3,#York_1H6,85,13,972,124
1,1,4,#Clifford_3H6,40,5,139,19
1,1,4,#HenryVI_1H6,28,4,139,19
1,1,4,#Northumberland_3H6,19,3,139,19
1,1,4,#Warwick_2H6,8,1,139,19
1,1,4,#Westmorland_3H6,26,4,139,19
1,1,4,#York_1H6,18,2,139,19
1,1,5,#Exeter_3H6,17,2,164,22
1,1,5,#HenryVI_1H6,81,11,164,22
1,1,5,#Montague_3H6,9,1,164,22
1,1,5,#Norfolk_3H6,7,1,164,22
1,1,5,#Warwick_2H6,28,4,164,22
1,1,5,#York_1H6,22,3,164,22
1,1,6,#HenryVI_1H6,9,1,9,1
1,1,7,#Exeter_3H6,12,3,428,56
1,1,7,#HenryVI_1H6,43,6,428,56
1,1,7,#PrinceEdward_3H6,31,4,428,56
1,1,7,#QueenMargaret_1H6,342,43,428,56
1,1,8,#Exeter_3H6,8,1,84,10
1,1,8,#HenryVI_1H6,76,9,84,10
1,2,9,#EdwardIV_3H6,7,1,22,3
1,2,9,#Montague_3H6,7,1,22,3
1,2,9,#RichardIII_R3,8,1,22,3
1,2,10,#EdwardIV_3H6,50,6,344,44
1,2,10,#RichardIII_R3,146,18,344,44
1,2,10,#York_1H6,148,20,344,44
1,2,11,#MESSENGERS.X.1_3H6,32,4,42,5
1,2,11,#York_1H6,10,1,42,5
1,2,12,#Montague_3H6,18,2,72,10
1,2,12,#York_1H6,54,8,72,10
1,2,13,#EdwardIV_3H6,18,2,115,14
1,2,13,#JohnMortimer_3H6,10,1,115,14
1,2,13,#RichardIII_R3,15,2,115,14
1,2,13,#York_1H6,72,9,115,14
1,3,14,#Rutland_3H6,9,1,9,1
1,3,15,#Clifford_3H6,27,4,58,8
1,3,15,#Rutland_3H6,7,1,58,8
1,3,15,#Tutor_3H6,24,3,58,8
1,3,16,#Clifford_3H6,162,22,342,44
1,3,16,#Rutland_3H6,180,22,342,44
1,4,17,#York_1H6,213,26,213,26
1,4,18,#Clifford_3H6,105,13,1256,160
1,4,18,#Northumberland_3H6,127,15,1256,160
1,4,18,#QueenMargaret_1H6,440,54,1256,160
1,4,18,#York_1H6,584,78,1256,160
2,1,19,#EdwardIV_3H6,134,17,333,42
2,1,19,#RichardIII_R3,199,25,333,42
2,1,20,#EdwardIV_3H6,10,1,197,25
2,1,20,#MESSENGERS.X.2_3H6,162,21,197,25
2,1,20,#RichardIII_R3,25,3,197,25
2,1,21,#EdwardIV_3H6,108,13,226,29
2,1,21,#RichardIII_R3,118,16,226,29
2,1,22,#EdwardIV_3H6,72,9,879,110
2,1,22,#RichardIII_R3,195,23,879,110
2,1,22,#Warwick_2H6,612,78,879,110
2,1,23,#MESSENGERS.X.3_3H6,24,3,36,5
2,1,23,#Warwick_2H6,12,2,36,5
2,2,24,#Clifford_3H6,276,35,520,66
2,2,24,#HenryVI_1H6,153,19,520,66
2,2,24,#PrinceEdward_3H6,24,3,520,66
2,2,24,#QueenMargaret_1H6,67,9,520,66
2,2,25,#MESSENGERS.X.4_3H6,46,6,46,6
2,2,26,#Clifford_3H6,17,2,65,9
2,2,26,#HenryVI_1H6,8,1,65,9
2,2,26,#Northumberland_3H6,7,1,65,9
2,2,26,#PrinceEdward_3H6,23,4,65,9
2,2,26,#QueenMargaret_1H6,10,1,65,9
2,2,27,#Clarence_3H6,59,7,775,100
2,2,27,#Clifford_3H6,70,9,775,100
2,2,27,#EdwardIV_3H6,309,38,775,100
2,2,27,#HenryVI_1H6,26,4,775,100
2,2,27,#Northumberland_3H6,9,1,775,100
2,2,27,#PrinceEdward_3H6,17,2,775,100
2,2,27,#QueenMargaret_1H6,88,13,775,100
2,2,27,#RichardIII_R3,154,21,775,100
2,2,27,#Warwick_2H6,43,5,775,100
2,3,28,#Warwick_2H6,41,5,41,5
2,3,29,#EdwardIV_3H6,16,2,16,2
2,3,30,#Clarence_3H6,25,3,51,6
2,3,30,#EdwardIV_3H6,16,2,51,6
2,3,30,#Warwick_2H6,10,1,51,6
2,3,31,#Clarence_3H6,65,8,349,43
2,3,31,#EdwardIV_3H6,97,11,349,43
2,3,31,#RichardIII_R3,101,13,349,43
2,3,31,#Warwick_2H6,86,11,349,43
2,4,32,#Clifford_3H6,56,7,87,11
2,4,32,#RichardIII_R3,31,4,87,11
2,4,33,#RichardIII_R3,16,2,16,2
2,5,34,#HenryVI_1H6,428,54,428,54
2,5,35,#HenryVI_1H6,47,6,203,24
2,5,35,#Son_3H6,156,18,203,24
2,5,36,#Father_3H6,142,18,279,35
2,5,36,#HenryVI_1H6,103,13,279,35
2,5,36,#Son_3H6,34,4,279,35
2,5,37,#Father_3H6,76,9,76,9
2,5,38,#HenryVI_1H6,15,2,15,2
2,5,39,#Exeter_3H6,21,3,115,15
2,5,39,#HenryVI_1H6,24,3,115,15
2,5,39,#PrinceEdward_3H6,24,3,115,15
2,5,39,#QueenMargaret_1H6,46,6,115,15
2,6,40,#Clifford_3H6,235,29,235,29
2,6,41,#Clarence_3H6,24,3,643,82
2,6,41,#EdwardIV_3H6,177,22,643,82
2,6,41,#RichardIII_R3,200,25,643,82
2,6,41,#Warwick_2H6,242,32,643,82
3,1,42,#GAMEKEEPERS.1_3H6,87,10,106,12
3,1,42,#GAMEKEEPERS.2_3H6,19,2,106,12
3,1,43,#GAMEKEEPERS.1_3H6,60,7,747,88
3,1,43,#GAMEKEEPERS.2_3H6,104,12,747,88
3,1,43,#HenryVI_1H6,583,69,747,88
3,2,44,#Clarence_3H6,67,8,992,119
3,2,44,#EdwardIV_3H6,450,53,992,119
3,2,44,#QueenElizabeth_3H6,301,37,992,119
3,2,44,#RichardIII_R3,174,21,992,119
3,2,45,#ATTENDANTS.EDWARD.1_3H6,16,2,24,3
3,2,45,#EdwardIV_3H6,8,1,24,3
3,2,46,#EdwardIV_3H6,23,3,23,3
3,2,47,#RichardIII_R3,574,72,574,72
3,3,48,#KingLewis_3H6,109,16,340,45
3,3,48,#QueenMargaret_1H6,231,29,340,45
3,3,49,#KingLewis_3H6,208,27,921,125
3,3,49,#LadyBona_3H6,31,5,921,125
3,3,49,#Oxford_3H6,132,17,921,125
3,3,49,#PrinceEdward_3H6,12,2,921,125
3,3,49,#QueenMargaret_1H6,214,30,921,125
3,3,49,#Warwick_2H6,324,44,921,125
3,3,50,#KingLewis_3H6,109,14,570,73
3,3,50,#LadyBona_3H6,40,5,570,73
3,3,50,#MESSENGERS.Post_3H6,31,5,570,73
3,3,50,#Oxford_3H6,19,2,570,73
3,3,50,#PrinceEdward_3H6,15,2,570,73
3,3,50,#QueenMargaret_1H6,87,11,570,73
3,3,50,#Warwick_2H6,269,34,570,73
3,3,51,#KingLewis_3H6,90,12,177,23
3,3,51,#PrinceEdward_3H6,19,2,177,23
3,3,51,#QueenMargaret_1H6,38,5,177,23
3,3,51,#Warwick_2H6,30,4,177,23
3,3,52,#Warwick_2H6,81,10,81,10
4,1,53,#Clarence_3H6,26,3,63,8
4,1,53,#RichardIII_R3,28,4,63,8
4,1,53,#Somerset_3H6,9,1,63,8
4,1,54,#Clarence_3H6,125,15,599,76
4,1,54,#EdwardIV_3H6,217,27,599,76
4,1,54,#Hastings_3H6,53,7,599,76
4,1,54,#Montague_3H6,31,5,599,76
4,1,54,#QueenElizabeth_3H6,66,8,599,76
4,1,54,#RichardIII_R3,107,14,599,76
4,1,55,#Clarence_3H6,48,6,319,43
4,1,55,#EdwardIV_3H6,128,16,319,43
4,1,55,#MESSENGERS.Post_3H6,143,21,319,43
4,1,56,#EdwardIV_3H6,54,7,74,9
4,1,56,#RichardIII_R3,20,2,74,9
4,1,57,#EdwardIV_3H6,108,13,132,16
4,1,57,#Hastings_3H6,7,1,132,16
4,1,57,#Montague_3H6,8,1,132,16
4,1,57,#RichardIII_R3,9,1,132,16
4,2,58,#Warwick_2H6,16,2,16,2
4,2,59,#Clarence_3H6,5,1,206,28
4,2,59,#Warwick_2H6,201,27,206,28
4,3,60,#WATCHMEN.1_3H6,59,7,177,22
4,3,60,#WATCHMEN.2_3H6,44,6,177,22
4,3,60,#WATCHMEN.3_3H6,74,9,177,22
4,3,61,#WATCHMEN.1_3H6,3,1,32,5
4,3,61,#WATCHMEN.2_3H6,4,1,32,5
4,3,61,#Warwick_2H6,25,3,32,5
4,3,62,#EdwardIV_3H6,80,11,246,34
4,3,62,#Somerset_3H6,6,1,246,34
4,3,62,#Warwick_2H6,160,22,246,34
4,3,63,#Oxford_3H6,16,2,40,5
4,3,63,#Warwick_2H6,24,3,40,5
4,4,64,#QueenElizabeth_3H6,227,29,281,36
4,4,64,#Rivers_3H6,54,7,281,36
4,5,65,#RichardIII_R3,104,13,104,13
4,5,66,#EdwardIV_3H6,61,9,130,18
4,5,66,#Hastings_3H6,10,2,130,18
4,5,66,#Huntsman_3H6,18,2,130,18
4,5,66,#RichardIII_R3,41,5,130,18
4,6,67,#Clarence_3H6,69,9,590,78
4,6,67,#HenryVI_1H6,359,48,590,78
4,6,67,#Lieutenant_3H6,21,3,590,78
4,6,67,#Somerset_3H6,9,1,590,78
4,6,67,#Warwick_2H6,132,17,590,78
4,6,68,#MESSENGERS.Post_3H6,50,7,85,12
4,6,68,#Warwick_2H6,35,5,85,12
4,6,69,#Oxford_3H6,16,2,111,15
4,6,69,#Somerset_3H6,95,13,111,15
4,7,70,#EdwardIV_3H6,93,12,126,16
4,7,70,#Hastings_3H6,9,1,126,16
4,7,70,#RichardIII_R3,24,3,126,16
4,7,71,#EdwardIV_3H6,32,4,111,13
4,7,71,#Hastings_3H6,17,2,111,13
4,7,71,#MayorOfYork_3H6,43,5,111,13
4,7,71,#RichardIII_R3,19,2,111,13
4,7,72,#Hastings_3H6,36,4,43,5
4,7,72,#RichardIII_R3,7,1,43,5
4,7,73,#EdwardIV_3H6,46,5,46,5
4,7,74,#EdwardIV_3H6,84,10,249,31
4,7,74,#Hastings_3H6,21,3,249,31
4,7,74,#Montgomery_3H6,100,12,249,31
4,7,74,#RichardIII_R3,44,6,249,31
4,7,75,#ALDERMEN_3H6,5,1,136,18
4,7,75,#EdwardIV_3H6,99,12,136,18
4,7,75,#Hastings_3H6,5,1,136,18
4,7,75,#MayorOfYork_3H6,5,1,136,18
4,7,75,#Montgomery_3H6,19,3,136,18
4,7,75,#RichardIII_R3,5,1,136,18
4,7,75,#SOLDIERS.MONTGOMERY_3H6,5,1,136,18
4,7,75,#SOLDIERS.YORK.0.1_3H6,18,3,136,18
4,7,75,#SOLDIERS.YORK_3H6,5,1,136,18
4,8,76,#Clarence_3H6,22,3,235,32
4,8,76,#HenryVI_1H6,36,5,235,32
4,8,76,#Montague_3H6,9,1,235,32
4,8,76,#Oxford_3H6,9,1,235,32
4,8,76,#Warwick_2H6,159,22,235,32
4,8,77,#Exeter_3H6,17,2,150,19
4,8,77,#HenryVI_1H6,133,17,150,19
4,8,78,#EdwardIV_3H6,55,6,55,6
4,8,79,#EdwardIV_3H6,29,4,47,7
4,8,79,#RichardIII_R3,18,3,47,7
5,1,80,#MESSENGERS.1_3H6,6,1,24,3
5,1,80,#Warwick_2H6,18,2,24,3
5,1,81,#MESSENGERS.2_3H6,8,1,23,3
5,1,81,#Warwick_2H6,15,2,23,3
5,1,82,#Somerville_3H6,44,5,76,9
5,1,82,#Warwick_2H6,32,4,76,9
5,1,83,#EdwardIV_3H6,124,15,357,43
5,1,83,#RichardIII_R3,106,13,357,43
5,1,83,#Warwick_2H6,127,15,357,43
5,1,84,#Oxford_3H6,4,1,11,2
5,1,84,#Warwick_2H6,7,1,11,2
5,1,85,#EdwardIV_3H6,42,5,50,6
5,1,85,#RichardIII_R3,8,1,50,6
5,1,86,#Warwick_2H6,8,1,8,1
5,1,87,#Montague_3H6,4,1,21,3
5,1,87,#RichardIII_R3,17,2,21,3
5,1,88,#EdwardIV_3H6,13,2,13,2
5,1,89,#RichardIII_R3,27,3,31,4
5,1,89,#Somerset_3H6,4,1,31,4
5,1,90,#Clarence_3H6,167,22,283,37
5,1,90,#EdwardIV_3H6,42,5,283,37
5,1,90,#RichardIII_R3,6,1,283,37
5,1,90,#Warwick_2H6,68,9,283,37
5,1,91,#EdwardIV_3H6,8,1,8,1
5,2,92,#EdwardIV_3H6,34,4,34,4
5,2,93,#Warwick_2H6,208,25,208,25
5,2,94,#Oxford_3H6,8,1,182,23
5,2,94,#Somerset_3H6,95,13,182,23
5,2,94,#Warwick_2H6,79,9,182,23
5,3,95,#Clarence_3H6,33,4,191,24
5,3,95,#EdwardIV_3H6,126,16,191,24
5,3,95,#RichardIII_R3,32,4,191,24
5,4,96,#Oxford_3H6,39,5,480,59
5,4,96,#PrinceEdward_3H6,93,12,480,59
5,4,96,#QueenMargaret_1H6,320,39,480,59
5,4,96,#Somerset_3H6,28,3,480,59
5,4,97,#MESSENGERS.X.5_3H6,14,2,14,2
5,4,98,#Oxford_3H6,25,3,40,5
5,4,98,#QueenMargaret_1H6,8,1,40,5
5,4,98,#Somerset_3H6,7,1,40,5
5,4,99,#EdwardIV_3H6,53,6,134,16
5,4,99,#QueenMargaret_1H6,81,10,134,16
5,5,100,#EdwardIV_3H6,31,4,64,8
5,5,100,#Oxford_3H6,9,1,64,8
5,5,100,#QueenMargaret_1H6,15,2,64,8
5,5,100,#Somerset_3H6,9,1,64,8
5,5,101,#EdwardIV_3H6,16,2,24,3
5,5,101,#RichardIII_R3,8,1,24,3
5,5,102,#Clarence_3H6,15,3,297,39
5,5,102,#EdwardIV_3H6,76,9,297,39
5,5,102,#PrinceEdward_3H6,100,13,297,39
5,5,102,#QueenMargaret_1H6,22,3,297,39
5,5,102,#RichardIII_R3,84,11,297,39
5,5,103,#Clarence_3H6,21,2,275,34
5,5,103,#EdwardIV_3H6,17,3,275,34
5,5,103,#QueenMargaret_1H6,237,29,275,34
5,5,104,#Clarence_3H6,17,2,65,8
5,5,104,#EdwardIV_3H6,48,6,65,8
5,6,105,#HenryVI_1H6,32,4,50,6
5,6,105,#RichardIII_R3,18,2,50,6
5,6,106,#HenryVI_1H6,357,46,707,88
5,6,106,#RichardIII_R3,350,42,707,88
5,7,107,#Clarence_3H6,48,6,364,47
5,7,107,#EdwardIV_3H6,235,32,364,47
5,7,107,#RichardIII_R3,81,9,364,47
1,1,1,#SOLDIERS.YORK_3H6,0,0,272,34
1,1,2,#EdwardIV_3H6,0,0,119,15
1,1,2,#Montague_3H6,0,0,119,15
1,1,2,#Norfolk_3H6,0,0,119,15
1,1,3,#Norfolk_3H6,0,0,972,124
1,1,3,#SOLDIERS.LANCASTER_3H6,0,0,972,124
1,1,4,#EdwardIV_3H6,0,0,139,19
1,1,4,#Exeter_3H6,0,0,139,19
1,1,4,#Montague_3H6,0,0,139,19
1,1,4,#Norfolk_3H6,0,0,139,19
1,1,4,#RichardIII_R3,0,0,139,19
1,1,4,#SOLDIERS.LANCASTER_3H6,0,0,139,19
1,1,4,#SOLDIERS.YORK_3H6,0,0,139,19
1,1,5,#EdwardIV_3H6,0,0,164,22
1,1,5,#RichardIII_R3,0,0,164,22
1,1,5,#SOLDIERS.YORK_3H6,0,0,164,22
1,1,6,#Exeter_3H6,0,0,9,1
1,2,10,#Montague_3H6,0,0,344,44
1,2,11,#EdwardIV_3H6,0,0,42,5
1,2,11,#Montague_3H6,0,0,42,5
1,2,11,#RichardIII_R3,0,0,42,5
1,2,12,#EdwardIV_3H6,0,0,72,10
1,2,12,#RichardIII_R3,0,0,72,10
1,2,13,#HughMortimer_3H6,0,0,115,14
1,3,14,#Tutor_3H6,0,0,9,1
1,3,15,#SOLDIERS.LANCASTER_3H6,0,0,58,8
1,3,16,#SOLDIERS.LANCASTER_3H6,0,0,342,44
1,4,18,#PrinceEdward_3H6,0,0,1256,160
1,4,18,#SOLDIERS.LANCASTER_3H6,0,0,1256,160
2,1,19,#SOLDIERS.YORK_3H6,0,0,333,42
2,1,20,#SOLDIERS.YORK_3H6,0,0,197,25
2,1,21,#SOLDIERS.YORK_3H6,0,0,226,29
2,1,22,#Montague_3H6,0,0,879,110
2,1,22,#SOLDIERS.WARWICK_3H6,0,0,879,110
2,1,22,#SOLDIERS.YORK_3H6,0,0,879,110
2,1,23,#EdwardIV_3H6,0,0,36,5
2,1,23,#Montague_3H6,0,0,36,5
2,1,23,#RichardIII_R3,0,0,36,5
2,1,23,#SOLDIERS.WARWICK_3H6,0,0,36,5
2,1,23,#SOLDIERS.YORK_3H6,0,0,36,5
2,2,24,#Northumberland_3H6,0,0,520,66
2,2,25,#Clifford_3H6,0,0,46,6
2,2,25,#HenryVI_1H6,0,0,46,6
2,2,25,#Northumberland_3H6,0,0,46,6
2,2,25,#PrinceEdward_3H6,0,0,46,6
2,2,25,#QueenMargaret_1H6,0,0,46,6
2,2,27,#Montague_3H6,0,0,775,100
2,2,27,#Norfolk_3H6,0,0,775,100
2,2,27,#SOLDIERS.YORK_3H6,0,0,775,100
2,3,29,#Warwick_2H6,0,0,16,2
2,4,33,#Warwick_2H6,0,0,16,2
