source,target,n_lines,n_tokens,edge_type
#ALDERMEN_3H6,4.07.0075,1,5,active
#ATTENDANTS.EDWARD.1_3H6,3.02.0045,2,16,active
#Clarence_3H6,2.02.0027,7,59,active
#Clarence_3H6,2.03.0030,3,25,active
#Clarence_3H6,2.03.0031,8,65,active
#Clarence_3H6,2.06.0041,3,24,active
#Clarence_3H6,3.02.0044,8,67,active
#Clarence_3H6,4.01.0053,3,26,active
#Clarence_3H6,4.01.0054,15,125,active
#Clarence_3H6,4.01.0055,6,48,active
#Clarence_3H6,4.02.0059,1,5,active
#Clarence_3H6,4.06.0067,9,69,active
#Clarence_3H6,4.08.0076,3,22,active
#Clarence_3H6,5.01.0090,22,167,active
#Clarence_3H6,5.03.0095,4,33,active
#Clarence_3H6,5.05.0102,3,15,active
#Clarence_3H6,5.05.0103,2,21,active
#Clarence_3H6,5.05.0104,2,17,active
#Clarence_3H6,5.07.0107,6,48,active
#Clifford_3H6,1.01.0003,13,104,active
#Clifford_3H6,1.01.0004,5,40,active
#Clifford_3H6,1.03.0015,4,27,active
#Clifford_3H6,1.03.0016,22,162,active
#Clifford_3H6,1.04.0018,13,105,active
#Clifford_3H6,2.02.0024,35,276,active
#Clifford_3H6,2.02.0026,2,17,active
#Clifford_3H6,2.02.0027,9,70,active
#Clifford_3H6,2.04.0032,7,56,active
#Clifford_3H6,2.06.0040,29,235,active
#EdwardIV_3H6,1.01.0001,4,28,active
#EdwardIV_3H6,1.01.0003,1,9,active
#EdwardIV_3H6,1.02.0009,1,7,active
#EdwardIV_3H6,1.02.0010,6,50,active
#EdwardIV_3H6,1.02.0013,2,18,active
#EdwardIV_3H6,2.01.0019,17,134,active
#EdwardIV_3H6,2.01.0020,1,10,active
#EdwardIV_3H6,2.01.0021,13,108,active
#EdwardIV_3H6,2.01.0022,9,72,active
#EdwardIV_3H6,2.02.0027,38,309,active
#EdwardIV_3H6,2.03.0029,2,16,active
#EdwardIV_3H6,2.03.0030,2,16,active
#EdwardIV_3H6,2.03.0031,11,97,active
#EdwardIV_3H6,2.06.0041,22,177,active
#EdwardIV_3H6,3.02.0044,53,450,active
#EdwardIV_3H6,3.02.0045,1,8,active
#EdwardIV_3H6,3.02.0046,3,23,active
#EdwardIV_3H6,4.01.0054,27,217,active
#EdwardIV_3H6,4.01.0055,16,128,active
#EdwardIV_3H6,4.01.0056,7,54,active
#EdwardIV_3H6,4.01.0057,13,108,active
#EdwardIV_3H6,4.03.0062,11,80,active
#EdwardIV_3H6,4.05.0066,9,61,active
#EdwardIV_3H6,4.07.0070,12,93,active
#EdwardIV_3H6,4.07.0071,4,32,active
#EdwardIV_3H6,4.07.0073,5,46,active
#EdwardIV_3H6,4.07.0074,10,84,active
#EdwardIV_3H6,4.07.0075,12,99,active
#EdwardIV_3H6,4.08.0078,6,55,active
#EdwardIV_3H6,4.08.0079,4,29,active
#EdwardIV_3H6,5.01.0083,15,124,active
#EdwardIV_3H6,5.01.0085,5,42,active
#EdwardIV_3H6,5.01.0088,2,13,active
#EdwardIV_3H6,5.01.0090,5,42,active
#EdwardIV_3H6,5.01.0091,1,8,active
#EdwardIV_3H6,5.02.0092,4,34,active
#EdwardIV_3H6,5.03.0095,16,126,active
#EdwardIV_3H6,5.04.0099,6,53,active
#EdwardIV_3H6,5.05.0100,4,31,active
#EdwardIV_3H6,5.05.0101,2,16,active
#EdwardIV_3H6,5.05.0102,9,76,active
#EdwardIV_3H6,5.05.0103,3,17,active
#EdwardIV_3H6,5.05.0104,6,48,active
#EdwardIV_3H6,5.07.0107,32,235,active
#Exeter_3H6,1.01.0003,8,61,active
#Exeter_3H6,1.01.0005,2,17,active
#Exeter_3H6,1.01.0007,3,12,active
#Exeter_3H6,1.01.0008,1,8,active
#Exeter_3H6,2.05.0039,3,21,active
#Exeter_3H6,4.08.0077,2,17,active
#Father_3H6,2.05.0036,18,142,active
#Father_3H6,2.05.0037,9,76,active
#GAMEKEEPERS.1_3H6,3.01.0042,10,87,active
#GAMEKEEPERS.1_3H6,3.01.0043,7,60,active
#GAMEKEEPERS.2_3H6,3.01.0042,2,19,active
#GAMEKEEPERS.2_3H6,3.01.0043,12,104,active
#Hastings_3H6,4.01.0054,7,53,active
#Hastings_3H6,4.01.0057,1,7,active
#Hastings_3H6,4.05.0066,2,10,active
#Hastings_3H6,4.07.0070,1,9,active
#Hastings_3H6,4.07.0071,2,17,active
#Hastings_3H6,4.07.0072,4,36,active
#Hastings_3H6,4.07.0074,3,21,active
#Hastings_3H6,4.07.0075,1,5,active
#HenryVI_1H6,1.01.0003,45,363,active
#HenryVI_1H6,1.01.0004,4,28,active
#HenryVI_1H6,1.01.0005,11,81,active
#HenryVI_1H6,1.01.0006,1,9,active
#HenryVI_1H6,1.01.0007,6,43,active
#HenryVI_1H6,1.01.0008,9,76,active
#HenryVI_1H6,2.02.0024,19,153,active
#HenryVI_1H6,2.02.0026,1,8,active
#HenryVI_1H6,2.02.0027,4,26,active
#HenryVI_1H6,2.05.0034,54,428,active
#HenryVI_1H6,2.05.0035,6,47,active
#HenryVI_1H6,2.05.0036,13,103,active
#HenryVI_1H6,2.05.0038,2,15,active
#HenryVI_1H6,2.05.0039,3,24,active
#HenryVI_1H6,3.01.0043,69,583,active
#HenryVI_1H6,4.06.0067,48,359,active
#HenryVI_1H6,4.08.0076,5,36,active
#HenryVI_1H6,4.08.0077,17,133,active
#HenryVI_1H6,5.06.0105,4,32,active
#HenryVI_1H6,5.06.0106,46,357,active
#Huntsman_3H6,4.05.0066,2,18,active
