act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
0,0,1,1,#Prologue_H8,#Prologue_H8,266,32
1,1,2,2,#Buckingham_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,15,2
1,1,2,3,#Norfolk_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,16,3
1,1,2,4,#Buckingham_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,26,4
1,1,2,5,#Norfolk_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,42,7
1,1,2,6,#Buckingham_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,9,2
1,1,2,7,#Norfolk_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,198,26
1,1,2,8,#Buckingham_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,4,1
1,1,2,9,#Norfolk_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,50,7
1,1,2,10,#Buckingham_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,20,3
1,1,2,11,#Norfolk_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,10,2
1,1,2,12,#Buckingham_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,6,1
1,1,2,13,#Norfolk_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,15,2
1,1,2,14,#Buckingham_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,47,6
1,1,2,15,#Norfolk_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,74,10
1,1,2,16,#Abergavenny_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,53,7
1,1,2,17,#Buckingham_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,68,9
1,1,2,18,#Abergavenny_H8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,25,4
