node,node_type
#ALDERMEN_H8,character
#ATTENDANTS_H8,character
#Abergavenny_H8,character
#Anne_H8,character
#BISHOPS_H8,character
#BishopOfLincoln_H8,character
#Brandon_H8,character
#Buckingham_H8,character
#Butts_H8,character
#COMMONERS_H8,character
#Campeius_H8,character
#Capuchius_H8,character
#Chamberlain_H8,character
#Chancellor_H8,character
#Cranmer_H8,character
#Crier_H8,character
#Cromwell_H8,character
#Denny_H8,character
#ElizabethI.Infant_H8,character
#Epilogue_H8,character
#GENTLEMEN.1_H8,character
#GENTLEMEN.2_H8,character
#GENTLEMEN.3_H8,character
#GENTLEMEN.X_H8,character
#GENTLEMEN_H8,character
#GUARDS_H8,character
#Gardiner_H8,character
#Garter_H8,character
#Griffith_H8,character
#Guilford_H8,character
#HenryVIII_H8,character
#Katherine_H8,character
#Keeper_H8,character
#LADIES.KATHERINE.0.1_H8,character
#LADIES.KATHERINE.Patience_H8,character
#LADIES.KATHERINE_H8,character
#LADIES_H8,character
#LORDS_H8,character
#LordMayor_H8,character
#Lovell_H8,character
#MASKERS_H8,character
#Messenger_H8,character
#NOBLES_H8,character
#Norfolk_H8,character
#OldLady_H8,character
#Page_H8,character
#Porter_H8,character
#Prologue_H8,character
#SECRETARIES.0.1_H8,character
#SECRETARIES.X.1_H8,character
#SECRETARIES_H8,character
#SERVANTS.LARDER.1_H8,character
#SERVANTS.PORTER.1_H8,character
#SERVANTS.X.1_H8,character
#SERVANTS_H8,character
#Sands_H8,character
#Scribe_H8,character
#Sergeant_H8,character
#Suffolk_H8,character
#Surrey_H8,character
#Surveyor_H8,character
#Usher_H8,character
#Vaux_H8,character
#Wolsey_H8,character
0.00,text_unit
1.01,text_unit
1.02,text_unit
1.03,text_unit
1.04,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
3.01,text_unit
3.02,text_unit
4.01,text_unit
4.02,text_unit
5.01,text_unit
5.02,text_unit
5.03,text_unit
5.04,text_unit
6.00,text_unit
