source,target,n_lines,n_tokens,edge_type
#Abergavenny_H8,1.01.0002,15,97,active
#Abergavenny_H8,1.01.0006,3,17,active
#Anne_H8,1.04.0013,1,4,active
#Anne_H8,1.04.0014,3,12,active
#Anne_H8,2.03.0028,30,202,active
#Anne_H8,2.03.0029,15,94,active
#Anne_H8,2.03.0030,10,64,active
#BishopOfLincoln_H8,2.04.0032,8,52,active
#Brandon_H8,1.01.0006,14,84,active
#Buckingham_H8,1.01.0002,41,265,active
#Buckingham_H8,1.01.0005,61,467,active
#Buckingham_H8,1.01.0006,17,113,active
#Buckingham_H8,2.01.0019,75,635,active
#Butts_H8,5.02.0063,3,21,active
#Butts_H8,5.02.0065,6,38,active
#Campeius_H8,2.02.0025,6,47,active
#Campeius_H8,2.02.0026,9,69,active
#Campeius_H8,2.04.0031,9,51,active
#Campeius_H8,2.04.0032,6,40,active
#Campeius_H8,3.01.0037,24,172,active
#Capuchius_H8,4.02.0050,11,65,active
#Chamberlain_H8,1.03.0010,11,87,active
#Chamberlain_H8,1.03.0011,24,151,active
#Chamberlain_H8,1.04.0013,12,78,active
#Chamberlain_H8,1.04.0014,1,6,active
#Chamberlain_H8,1.04.0015,1,5,active
#Chamberlain_H8,1.04.0017,15,112,active
#Chamberlain_H8,2.02.0021,11,95,active
#Chamberlain_H8,2.02.0022,16,109,active
#Chamberlain_H8,2.03.0029,23,162,active
#Chamberlain_H8,3.02.0038,14,106,active
#Chamberlain_H8,3.02.0043,5,37,active
#Chamberlain_H8,5.02.0066,1,2,active
#Chamberlain_H8,5.02.0067,4,26,active
#Chamberlain_H8,5.03.0071,19,154,active
#Chancellor_H8,5.02.0066,24,165,active
#Chancellor_H8,5.02.0068,7,47,active
#Cranmer_H8,5.01.0056,20,127,active
#Cranmer_H8,5.02.0061,5,34,active
#Cranmer_H8,5.02.0062,3,6,active
#Cranmer_H8,5.02.0064,10,78,active
#Cranmer_H8,5.02.0066,31,250,active
#Cranmer_H8,5.02.0067,7,52,active
#Cranmer_H8,5.02.0068,5,35,active
#Cranmer_H8,5.04.0073,57,457,active
#Crier_H8,2.04.0031,5,24,active
#Cromwell_H8,3.02.0039,7,44,active
#Cromwell_H8,3.02.0045,22,150,active
#Cromwell_H8,5.02.0066,16,77,active
#Cromwell_H8,5.02.0067,5,33,active
#Denny_H8,5.01.0053,4,21,active
#Epilogue_H8,6.00.0074,14,123,active
#GENTLEMEN.1_H8,2.01.0018,48,317,active
#GENTLEMEN.1_H8,2.01.0020,19,123,active
#GENTLEMEN.1_H8,4.01.0046,34,220,active
#GENTLEMEN.1_H8,4.01.0047,7,43,active
#GENTLEMEN.2_H8,2.01.0018,22,115,active
#GENTLEMEN.2_H8,2.01.0019,1,6,active
#GENTLEMEN.2_H8,2.01.0020,22,160,active
#GENTLEMEN.2_H8,4.01.0046,33,230,active
#GENTLEMEN.2_H8,4.01.0047,12,58,active
#GENTLEMEN.3_H8,4.01.0047,58,437,active
#GENTLEMEN.X_H8,3.01.0035,3,19,active
#Gardiner_H8,2.02.0026,2,13,active
#Gardiner_H8,5.01.0051,43,322,active
#Gardiner_H8,5.02.0066,36,246,active
#Gardiner_H8,5.02.0067,2,9,active
#Gardiner_H8,5.02.0068,10,75,active
#Garter_H8,5.04.0072,3,21,active
#Griffith_H8,4.02.0048,55,401,active
#Griffith_H8,4.02.0049,3,20,active
#Guilford_H8,1.04.0012,7,53,active
#Guilford_H8,1.04.0013,3,16,active
#HenryVIII_H8,1.02.0007,8,62,active
#HenryVIII_H8,1.02.0008,30,197,active
#HenryVIII_H8,1.02.0009,41,282,active
#HenryVIII_H8,1.04.0017,20,137,active
#HenryVIII_H8,2.02.0023,6,42,active
#HenryVIII_H8,2.02.0024,8,52,active
#HenryVIII_H8,2.02.0025,10,78,active
#HenryVIII_H8,2.02.0026,2,10,active
#HenryVIII_H8,2.02.0027,7,58,active
#HenryVIII_H8,2.04.0031,6,26,active
#HenryVIII_H8,2.04.0032,91,677,active
#HenryVIII_H8,3.02.0041,63,447,active
#HenryVIII_H8,5.01.0052,14,91,active
#HenryVIII_H8,5.01.0053,4,16,active
#HenryVIII_H8,5.01.0055,3,10,active
#HenryVIII_H8,5.01.0056,63,459,active
#HenryVIII_H8,5.01.0057,2,8,active
