node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#COMMONERS.Carpenter_JC,#COMMONERS.Cobbler_JC,0,1,1,1,477,65,1
#COMMONERS.Carpenter_JC,#COMMONERS_JC,0,1,1,1,477,65,1
#COMMONERS.Carpenter_JC,#Flavius_JC,0,1,1,1,477,65,1
#COMMONERS.Carpenter_JC,#Marullus_JC,0,1,1,1,477,65,1
#COMMONERS.Cobbler_JC,#COMMONERS_JC,0,1,1,1,477,65,1
#COMMONERS.Cobbler_JC,#Flavius_JC,0,1,1,1,477,65,1
#COMMONERS.Cobbler_JC,#Marullus_JC,0,1,1,1,477,65,1
#COMMONERS_JC,#Flavius_JC,0,1,1,1,477,65,1
#COMMONERS_JC,#Marullus_JC,0,1,1,1,477,65,1
#Flavius_JC,#Marullus_JC,0,1,1,1,477,65,1
#Flavius_JC,#Marullus_JC,1,1,1,2,110,15,2
#Antony_JC,#Brutus_JC,0,1,2,3,165,29,3
#Antony_JC,#Caesar_JC,0,1,2,3,165,29,3
#Antony_JC,#Calphurnia_JC,0,1,2,3,165,29,3
#Antony_JC,#Casca_JC,0,1,2,3,165,29,3
#Antony_JC,#Cassius_JC,0,1,2,3,165,29,3
#Antony_JC,#Cicero_JC,0,1,2,3,165,29,3
#Antony_JC,#Decius_JC,0,1,2,3,165,29,3
#Antony_JC,#Portia_JC,0,1,2,3,165,29,3
#Antony_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Brutus_JC,#Caesar_JC,0,1,2,3,165,29,3
#Brutus_JC,#Calphurnia_JC,0,1,2,3,165,29,3
#Brutus_JC,#Casca_JC,0,1,2,3,165,29,3
#Brutus_JC,#Cassius_JC,0,1,2,3,165,29,3
#Brutus_JC,#Cicero_JC,0,1,2,3,165,29,3
#Brutus_JC,#Decius_JC,0,1,2,3,165,29,3
#Brutus_JC,#Portia_JC,0,1,2,3,165,29,3
#Brutus_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Antony_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Brutus_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Caesar_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Calphurnia_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Casca_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Cassius_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Cicero_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Decius_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Flavius_JC,1,1,2,3,165,29,3
#COMMONERS_JC,#Marullus_JC,1,1,2,3,165,29,3
#COMMONERS_JC,#Portia_JC,0,1,2,3,165,29,3
#COMMONERS_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Caesar_JC,#Calphurnia_JC,0,1,2,3,165,29,3
#Caesar_JC,#Casca_JC,0,1,2,3,165,29,3
#Caesar_JC,#Cassius_JC,0,1,2,3,165,29,3
#Caesar_JC,#Cicero_JC,0,1,2,3,165,29,3
#Caesar_JC,#Decius_JC,0,1,2,3,165,29,3
#Caesar_JC,#Portia_JC,0,1,2,3,165,29,3
#Caesar_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Calphurnia_JC,#Casca_JC,0,1,2,3,165,29,3
#Calphurnia_JC,#Cassius_JC,0,1,2,3,165,29,3
#Calphurnia_JC,#Cicero_JC,0,1,2,3,165,29,3
#Calphurnia_JC,#Decius_JC,0,1,2,3,165,29,3
#Calphurnia_JC,#Portia_JC,0,1,2,3,165,29,3
#Calphurnia_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Casca_JC,#Cassius_JC,0,1,2,3,165,29,3
#Casca_JC,#Cicero_JC,0,1,2,3,165,29,3
#Casca_JC,#Decius_JC,0,1,2,3,165,29,3
#Casca_JC,#Portia_JC,0,1,2,3,165,29,3
#Casca_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Cassius_JC,#Cicero_JC,0,1,2,3,165,29,3
#Cassius_JC,#Decius_JC,0,1,2,3,165,29,3
#Cassius_JC,#Portia_JC,0,1,2,3,165,29,3
#Cassius_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Cicero_JC,#Decius_JC,0,1,2,3,165,29,3
#Cicero_JC,#Portia_JC,0,1,2,3,165,29,3
#Cicero_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Decius_JC,#Portia_JC,0,1,2,3,165,29,3
#Decius_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Flavius_JC,#Antony_JC,0,1,2,3,165,29,3
#Flavius_JC,#Brutus_JC,0,1,2,3,165,29,3
#Flavius_JC,#Caesar_JC,0,1,2,3,165,29,3
#Flavius_JC,#Calphurnia_JC,0,1,2,3,165,29,3
#Flavius_JC,#Casca_JC,0,1,2,3,165,29,3
#Flavius_JC,#Cassius_JC,0,1,2,3,165,29,3
#Flavius_JC,#Cicero_JC,0,1,2,3,165,29,3
#Flavius_JC,#Decius_JC,0,1,2,3,165,29,3
#Flavius_JC,#Marullus_JC,2,1,2,3,165,29,3
#Flavius_JC,#Portia_JC,0,1,2,3,165,29,3
#Flavius_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Marullus_JC,#Antony_JC,0,1,2,3,165,29,3
#Marullus_JC,#Brutus_JC,0,1,2,3,165,29,3
#Marullus_JC,#Caesar_JC,0,1,2,3,165,29,3
#Marullus_JC,#Calphurnia_JC,0,1,2,3,165,29,3
#Marullus_JC,#Casca_JC,0,1,2,3,165,29,3
#Marullus_JC,#Cassius_JC,0,1,2,3,165,29,3
#Marullus_JC,#Cicero_JC,0,1,2,3,165,29,3
#Marullus_JC,#Decius_JC,0,1,2,3,165,29,3
#Marullus_JC,#Portia_JC,0,1,2,3,165,29,3
#Marullus_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Portia_JC,#Soothsayer_JC,0,1,2,3,165,29,3
#Brutus_JC,#Cassius_JC,1,1,2,4,1226,158,4
#Antony_JC,#Brutus_JC,1,1,2,5,289,37,5
#Antony_JC,#Caesar_JC,1,1,2,5,289,37,5
#Antony_JC,#Calphurnia_JC,1,1,2,5,289,37,5
#Antony_JC,#Casca_JC,1,1,2,5,289,37,5
#Antony_JC,#Cassius_JC,1,1,2,5,289,37,5
#Antony_JC,#Cicero_JC,1,1,2,5,289,37,5
#Antony_JC,#Decius_JC,1,1,2,5,289,37,5
#Antony_JC,#Portia_JC,1,1,2,5,289,37,5
#Brutus_JC,#Caesar_JC,1,1,2,5,289,37,5
#Brutus_JC,#Calphurnia_JC,1,1,2,5,289,37,5
#Brutus_JC,#Casca_JC,1,1,2,5,289,37,5
#Brutus_JC,#Cassius_JC,2,1,2,5,289,37,5
#Brutus_JC,#Cicero_JC,1,1,2,5,289,37,5
#Brutus_JC,#Decius_JC,1,1,2,5,289,37,5
#Brutus_JC,#Portia_JC,1,1,2,5,289,37,5
#Caesar_JC,#Calphurnia_JC,1,1,2,5,289,37,5
#Caesar_JC,#Casca_JC,1,1,2,5,289,37,5
#Caesar_JC,#Cassius_JC,1,1,2,5,289,37,5
#Caesar_JC,#Cicero_JC,1,1,2,5,289,37,5
#Caesar_JC,#Decius_JC,1,1,2,5,289,37,5
#Caesar_JC,#Portia_JC,1,1,2,5,289,37,5
#Calphurnia_JC,#Casca_JC,1,1,2,5,289,37,5
#Calphurnia_JC,#Cassius_JC,1,1,2,5,289,37,5
#Calphurnia_JC,#Cicero_JC,1,1,2,5,289,37,5
#Calphurnia_JC,#Decius_JC,1,1,2,5,289,37,5
#Calphurnia_JC,#Portia_JC,1,1,2,5,289,37,5
#Casca_JC,#Cassius_JC,1,1,2,5,289,37,5
#Casca_JC,#Cicero_JC,1,1,2,5,289,37,5
#Casca_JC,#Decius_JC,1,1,2,5,289,37,5
#Casca_JC,#Portia_JC,1,1,2,5,289,37,5
#Cassius_JC,#Cicero_JC,1,1,2,5,289,37,5
#Cassius_JC,#Decius_JC,1,1,2,5,289,37,5
#Cassius_JC,#Portia_JC,1,1,2,5,289,37,5
#Cicero_JC,#Decius_JC,1,1,2,5,289,37,5
#Cicero_JC,#Portia_JC,1,1,2,5,289,37,5
#Decius_JC,#Portia_JC,1,1,2,5,289,37,5
#Flavius_JC,#Antony_JC,1,1,2,5,289,37,5
#Flavius_JC,#Brutus_JC,1,1,2,5,289,37,5
#Flavius_JC,#Caesar_JC,1,1,2,5,289,37,5
#Flavius_JC,#Calphurnia_JC,1,1,2,5,289,37,5
