act,scene,n_tokens,n_lines,onstage
1,1,587,80,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC
1,2,2576,334,#Antony_JC #Brutus_JC #COMMONERS_JC #Caesar_JC #Calphurnia_JC #Casca_JC #Cassius_JC #Cicero_JC #Decius_JC #Flavius_JC #Marullus_JC #Portia_JC #Soothsayer_JC
1,3,1289,169,#Casca_JC #Cassius_JC #Cicero_JC #Cinna_JC
2,1,2619,363,#Brutus_JC #Casca_JC #Cassius_JC #Cinna_JC #Decius_JC #Ligarius_JC #Lucius_JC #Metellus_JC #Portia_JC #Trebonius_JC
2,2,1024,137,#Antony_JC #Brutus_JC #Caesar_JC #Calphurnia_JC #Casca_JC #Cinna_JC #Decius_JC #Ligarius_JC #Metellus_JC #Publius_JC #SERVANTS.CAESAR.1_JC #Trebonius_JC
2,3,117,16,#Artemidorus_JC
2,4,383,54,#Lucius_JC #Portia_JC #Soothsayer_JC
3,1,2295,324,#Antony_JC #Artemidorus_JC #Brutus_JC #Caesar_JC #Casca_JC #Cassius_JC #Cinna_JC #Decius_JC #Lepidus_JC #Metellus_JC #PETITIONERS_JC #Popilius_JC #Publius_JC #SENATORS_JC #SERVANTS.ANTONY.1_JC #SERVANTS.OCTAVIUS.1_JC #Soothsayer_JC #Trebonius_JC
3,2,2099,287,#Antony_JC #Brutus_JC #Caesar_JC #Cassius_JC #PLEBEIANS.0.1_JC #PLEBEIANS.0.2_JC #PLEBEIANS.0.3_JC #PLEBEIANS.0.4_JC #PLEBEIANS.0_JC #PLEBEIANS_JC #SERVANTS.OCTAVIUS.1_JC
3,3,246,40,#CinnaPoet_JC #PLEBEIANS.0.1_JC #PLEBEIANS.0.2_JC #PLEBEIANS.0.3_JC #PLEBEIANS.0.4_JC #PLEBEIANS_JC
4,1,393,55,#Antony_JC #Lepidus_JC #Octavius_JC
4,2,365,58,#Brutus_JC #Cassius_JC #Lucius_JC #Pindarus_JC #SOLDIERS.BRUTUS.0.1_JC #SOLDIERS.BRUTUS.0.2_JC #SOLDIERS.BRUTUS.0.3_JC #SOLDIERS.BRUTUS.Lucilius_JC #SOLDIERS.BRUTUS.Titinius_JC #SOLDIERS.BRUTUS_JC #SOLDIERS.CASSIUS_JC
4,3,2355,355,#Brutus_JC #Caesar_JC #Cassius_JC #Lucius_JC #Poet_JC #SOLDIERS.BRUTUS.Claudius_JC #SOLDIERS.BRUTUS.Lucilius_JC #SOLDIERS.BRUTUS.Messala_JC #SOLDIERS.BRUTUS.Titinius_JC #SOLDIERS.BRUTUS.Varro_JC
5,1,963,136,#Antony_JC #Brutus_JC #Cassius_JC #Messenger_JC #Octavius_JC #SOLDIERS.ANTONY_JC #SOLDIERS.BRUTUS.Lucilius_JC #SOLDIERS.BRUTUS.Messala_JC #SOLDIERS.BRUTUS.Titinius_JC #SOLDIERS.BRUTUS_JC
5,2,45,6,#Brutus_JC #SOLDIERS.BRUTUS.Messala_JC
5,3,862,123,#Brutus_JC #Cassius_JC #Pindarus_JC #SOLDIERS.BRUTUS.Cato_JC #SOLDIERS.BRUTUS.Flavius_JC #SOLDIERS.BRUTUS.Labeo_JC #SOLDIERS.BRUTUS.Lucilius_JC #SOLDIERS.BRUTUS.Messala_JC #SOLDIERS.BRUTUS.Strato_JC #SOLDIERS.BRUTUS.Titinius_JC #SOLDIERS.BRUTUS.Volumnius_JC
5,4,246,33,#Antony_JC #Brutus_JC #SOLDIERS.ANTONY.0.1_JC #SOLDIERS.ANTONY.0.2_JC #SOLDIERS.ANTONY_JC #SOLDIERS.BRUTUS.Cato_JC #SOLDIERS.BRUTUS.Flavius_JC #SOLDIERS.BRUTUS.Lucilius_JC #SOLDIERS.BRUTUS.Messala_JC
5,5,640,87,#Antony_JC #Brutus_JC #Octavius_JC #SOLDIERS.ANTONY_JC #SOLDIERS.BRUTUS.Clitus_JC #SOLDIERS.BRUTUS.Dardanus_JC #SOLDIERS.BRUTUS.Lucilius_JC #SOLDIERS.BRUTUS.Messala_JC #SOLDIERS.BRUTUS.Strato_JC #SOLDIERS.BRUTUS.Volumnius_JC
