act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#COMMONERS.Carpenter_JC,4,1,477,65
1,1,#COMMONERS.Cobbler_JC,145,18,477,65
1,1,#Flavius_JC,207,28,587,80
1,1,#Marullus_JC,231,33,587,80
1,2,#Antony_JC,30,6,454,66
1,2,#Brutus_JC,561,73,2457,319
1,2,#Caesar_JC,287,39,454,66
1,2,#Calphurnia_JC,3,1,454,66
1,2,#Casca_JC,552,65,1125,148
1,2,#Cassius_JC,1132,147,2576,334
1,2,#Soothsayer_JC,11,3,165,29
1,3,#Casca_JC,426,57,1289,169
1,3,#Cassius_JC,730,95,985,128
1,3,#Cicero_JC,62,9,304,41
1,3,#Cinna_JC,71,8,183,22
2,1,#Brutus_JC,1357,187,2619,363
2,1,#Casca_JC,69,11,1117,154
2,1,#Cassius_JC,261,40,1117,154
2,1,#Cinna_JC,29,4,1117,154
2,1,#Decius_JC,93,12,1117,154
2,1,#Ligarius_JC,111,16,206,29
2,1,#Lucius_JC,116,17,185,29
2,1,#Metellus_JC,70,9,1117,154
2,1,#Portia_JC,490,64,609,81
2,1,#Trebonius_JC,23,3,1117,154
2,2,#Antony_JC,5,1,114,15
2,2,#Brutus_JC,21,3,173,25
2,2,#Caesar_JC,552,73,1024,137
2,2,#Calphurnia_JC,200,27,980,130
2,2,#Decius_JC,193,25,578,77
2,2,#Publius_JC,3,1,173,25
2,2,#SERVANTS.CAESAR.1_JC,31,5,673,92
2,2,#Trebonius_JC,19,2,173,25
2,3,#Artemidorus_JC,117,16,117,16
2,4,#Lucius_JC,34,6,383,54
2,4,#Portia_JC,234,33,383,54
2,4,#Soothsayer_JC,115,15,151,21
3,1,#Antony_JC,764,102,1379,191
3,1,#Artemidorus_JC,28,4,689,104
3,1,#Brutus_JC,575,80,1958,279
3,1,#Caesar_JC,287,40,2295,324
3,1,#Casca_JC,26,4,1958,279
3,1,#Cassius_JC,310,46,1958,279
3,1,#Cinna_JC,30,5,1958,279
3,1,#Decius_JC,37,7,1958,279
3,1,#Metellus_JC,51,8,1958,279
3,1,#Popilius_JC,10,2,94,16
3,1,#Publius_JC,3,1,689,104
3,1,#SERVANTS.ANTONY.1_JC,119,16,159,22
3,1,#SERVANTS.OCTAVIUS.1_JC,32,5,164,23
3,1,#Soothsayer_JC,5,1,689,104
3,1,#Trebonius_JC,18,3,1451,204
3,2,#Antony_JC,1165,150,1739,245
3,2,#Brutus_JC,446,51,529,67
3,2,#PLEBEIANS.0.1_JC,108,18,2045,279
3,2,#PLEBEIANS.0.2_JC,98,18,2040,278
3,2,#PLEBEIANS.0.3_JC,83,15,2026,276
3,2,#PLEBEIANS.0.4_JC,80,15,1648,234
3,2,#PLEBEIANS_JC,89,16,2008,274
3,2,#SERVANTS.OCTAVIUS.1_JC,30,4,77,11
3,3,#CinnaPoet_JC,104,14,246,40
3,3,#PLEBEIANS.0.1_JC,20,4,217,36
3,3,#PLEBEIANS.0.2_JC,35,6,213,35
3,3,#PLEBEIANS.0.3_JC,41,7,209,34
3,3,#PLEBEIANS.0.4_JC,46,9,205,33
4,1,#Antony_JC,292,39,393,55
4,1,#Lepidus_JC,22,4,83,13
4,1,#Octavius_JC,79,12,393,55
4,2,#Brutus_JC,240,35,365,58
4,2,#Cassius_JC,36,7,149,25
4,2,#Pindarus_JC,20,3,365,58
4,2,#SOLDIERS.BRUTUS.0.1_JC,1,1,131,21
4,2,#SOLDIERS.BRUTUS.0.2_JC,1,1,130,20
4,2,#SOLDIERS.BRUTUS.0.3_JC,1,1,129,19
4,2,#SOLDIERS.BRUTUS.Lucilius_JC,66,10,365,58
4,3,#Brutus_JC,1448,211,2317,350
4,3,#Caesar_JC,16,3,85,13
4,3,#Cassius_JC,650,100,1824,277
4,3,#Lucius_JC,56,10,731,110
4,3,#Poet_JC,54,7,111,16
4,3,#SOLDIERS.BRUTUS.Claudius_JC,16,4,486,71
4,3,#SOLDIERS.BRUTUS.Lucilius_JC,6,1,134,20
4,3,#SOLDIERS.BRUTUS.Messala_JC,88,14,558,90
4,3,#SOLDIERS.BRUTUS.Titinius_JC,4,1,692,110
4,3,#SOLDIERS.BRUTUS.Varro_JC,31,7,486,71
5,1,#Antony_JC,159,23,494,71
5,1,#Brutus_JC,251,33,809,115
5,1,#Cassius_JC,341,49,809,115
5,1,#Messenger_JC,24,4,405,59
5,1,#Octavius_JC,179,24,494,71
5,1,#SOLDIERS.BRUTUS.Lucilius_JC,2,1,809,115
5,1,#SOLDIERS.BRUTUS.Messala_JC,7,2,809,115
5,2,#Brutus_JC,45,6,45,6
5,3,#Brutus_JC,136,19,155,23
5,3,#Cassius_JC,248,35,862,123
5,3,#Pindarus_JC,100,14,329,47
5,3,#SOLDIERS.BRUTUS.Cato_JC,13,3,155,23
5,3,#SOLDIERS.BRUTUS.Messala_JC,131,19,380,56
5,3,#SOLDIERS.BRUTUS.Titinius_JC,234,33,625,88
5,4,#Antony_JC,57,8,126,17
5,4,#Brutus_JC,8,1,8,1
5,4,#SOLDIERS.ANTONY.0.1_JC,26,4,159,22
5,4,#SOLDIERS.ANTONY.0.2_JC,7,1,126,17
5,4,#SOLDIERS.BRUTUS.Cato_JC,41,5,246,33
5,4,#SOLDIERS.BRUTUS.Lucilius_JC,107,14,246,33
5,5,#Antony_JC,65,8,228,30
5,5,#Brutus_JC,300,40,640,87
5,5,#Octavius_JC,70,10,228,30
5,5,#SOLDIERS.BRUTUS.Clitus_JC,70,10,341,48
5,5,#SOLDIERS.BRUTUS.Dardanus_JC,15,3,341,48
5,5,#SOLDIERS.BRUTUS.Lucilius_JC,16,2,228,30
5,5,#SOLDIERS.BRUTUS.Messala_JC,28,4,228,30
5,5,#SOLDIERS.BRUTUS.Strato_JC,59,7,640,87
5,5,#SOLDIERS.BRUTUS.Volumnius_JC,17,3,341,48
1,1,#COMMONERS_JC,0,0,477,65
1,2,#COMMONERS_JC,0,0,165,29
1,2,#Cicero_JC,0,0,454,66
1,2,#Decius_JC,0,0,454,66
1,2,#Flavius_JC,0,0,454,66
1,2,#Marullus_JC,0,0,454,66
1,2,#Portia_JC,0,0,454,66
2,2,#Casca_JC,0,0,173,25
2,2,#Cinna_JC,0,0,173,25
2,2,#Ligarius_JC,0,0,173,25
2,2,#Metellus_JC,0,0,173,25
3,1,#Lepidus_JC,0,0,689,104
3,1,#PETITIONERS_JC,0,0,689,104
3,1,#SENATORS_JC,0,0,689,104
3,2,#Caesar_JC,0,0,1648,232
3,2,#Cassius_JC,0,0,73,11
3,2,#PLEBEIANS.0_JC,0,0,1739,245
3,3,#PLEBEIANS_JC,0,0,246,40
4,2,#Lucius_JC,0,0,365,58
4,2,#SOLDIERS.BRUTUS.Titinius_JC,0,0,365,58
4,2,#SOLDIERS.BRUTUS_JC,0,0,365,58
4,2,#SOLDIERS.CASSIUS_JC,0,0,149,25
5,1,#SOLDIERS.ANTONY_JC,0,0,494,71
5,1,#SOLDIERS.BRUTUS.Titinius_JC,0,0,809,115
5,1,#SOLDIERS.BRUTUS_JC,0,0,809,115
5,2,#SOLDIERS.BRUTUS.Messala_JC,0,0,45,6
5,3,#SOLDIERS.BRUTUS.Flavius_JC,0,0,155,23
5,3,#SOLDIERS.BRUTUS.Labeo_JC,0,0,155,23
5,3,#SOLDIERS.BRUTUS.Lucilius_JC,0,0,155,23
5,3,#SOLDIERS.BRUTUS.Strato_JC,0,0,155,23
5,3,#SOLDIERS.BRUTUS.Volumnius_JC,0,0,155,23
5,4,#SOLDIERS.ANTONY_JC,0,0,197,27
5,4,#SOLDIERS.BRUTUS.Flavius_JC,0,0,8,1
5,4,#SOLDIERS.BRUTUS.Messala_JC,0,0,8,1
5,5,#SOLDIERS.ANTONY_JC,0,0,228,30
