node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Chatillion_Jn,#Essex_Jn,0,1,1,1,214,30,1
#Chatillion_Jn,#KingJohn_Jn,0,1,1,1,214,30,1
#Chatillion_Jn,#Pembroke_Jn,0,1,1,1,214,30,1
#Chatillion_Jn,#QueenEleanor_Jn,0,1,1,1,214,30,1
#Chatillion_Jn,#Salisbury_Jn,0,1,1,1,214,30,1
#Essex_Jn,#KingJohn_Jn,0,1,1,1,214,30,1
#Essex_Jn,#Pembroke_Jn,0,1,1,1,214,30,1
#Essex_Jn,#QueenEleanor_Jn,0,1,1,1,214,30,1
#Essex_Jn,#Salisbury_Jn,0,1,1,1,214,30,1
#KingJohn_Jn,#Pembroke_Jn,0,1,1,1,214,30,1
#KingJohn_Jn,#QueenEleanor_Jn,0,1,1,1,214,30,1
#KingJohn_Jn,#Salisbury_Jn,0,1,1,1,214,30,1
#Pembroke_Jn,#QueenEleanor_Jn,0,1,1,1,214,30,1
#Pembroke_Jn,#Salisbury_Jn,0,1,1,1,214,30,1
#QueenEleanor_Jn,#Salisbury_Jn,0,1,1,1,214,30,1
#Essex_Jn,#KingJohn_Jn,1,1,1,2,104,13,2
#Essex_Jn,#QueenEleanor_Jn,1,1,1,2,104,13,2
#Essex_Jn,#Salisbury_Jn,1,1,1,2,104,13,2
#KingJohn_Jn,#QueenEleanor_Jn,1,1,1,2,104,13,2
#KingJohn_Jn,#Salisbury_Jn,1,1,1,2,104,13,2
#QueenEleanor_Jn,#Salisbury_Jn,1,1,1,2,104,13,2
#Essex_Jn,#KingJohn_Jn,2,1,1,3,28,4,3
#Essex_Jn,#QueenEleanor_Jn,2,1,1,3,28,4,3
#Essex_Jn,#Salisbury_Jn,2,1,1,3,28,4,3
#Essex_Jn,#Sheriff_Jn,0,1,1,3,28,4,3
#KingJohn_Jn,#QueenEleanor_Jn,2,1,1,3,28,4,3
#KingJohn_Jn,#Salisbury_Jn,2,1,1,3,28,4,3
#KingJohn_Jn,#Sheriff_Jn,0,1,1,3,28,4,3
#QueenEleanor_Jn,#Salisbury_Jn,2,1,1,3,28,4,3
#QueenEleanor_Jn,#Sheriff_Jn,0,1,1,3,28,4,3
#Salisbury_Jn,#Sheriff_Jn,0,1,1,3,28,4,3
#Essex_Jn,#KingJohn_Jn,3,1,1,4,10,2,4
#Essex_Jn,#QueenEleanor_Jn,3,1,1,4,10,2,4
#Essex_Jn,#Salisbury_Jn,3,1,1,4,10,2,4
#KingJohn_Jn,#QueenEleanor_Jn,3,1,1,4,10,2,4
#KingJohn_Jn,#Salisbury_Jn,3,1,1,4,10,2,4
#QueenEleanor_Jn,#Salisbury_Jn,3,1,1,4,10,2,4
#Bastard_Jn,#RobertFaulconbridge_Jn,0,1,1,5,1096,138,5
#Essex_Jn,#Bastard_Jn,0,1,1,5,1096,138,5
#Essex_Jn,#KingJohn_Jn,4,1,1,5,1096,138,5
#Essex_Jn,#QueenEleanor_Jn,4,1,1,5,1096,138,5
#Essex_Jn,#RobertFaulconbridge_Jn,0,1,1,5,1096,138,5
#Essex_Jn,#Salisbury_Jn,4,1,1,5,1096,138,5
#KingJohn_Jn,#Bastard_Jn,0,1,1,5,1096,138,5
#KingJohn_Jn,#QueenEleanor_Jn,4,1,1,5,1096,138,5
#KingJohn_Jn,#RobertFaulconbridge_Jn,0,1,1,5,1096,138,5
#KingJohn_Jn,#Salisbury_Jn,4,1,1,5,1096,138,5
#QueenEleanor_Jn,#Bastard_Jn,0,1,1,5,1096,138,5
#QueenEleanor_Jn,#RobertFaulconbridge_Jn,0,1,1,5,1096,138,5
#QueenEleanor_Jn,#Salisbury_Jn,4,1,1,5,1096,138,5
#Salisbury_Jn,#Bastard_Jn,0,1,1,5,1096,138,5
#Salisbury_Jn,#RobertFaulconbridge_Jn,0,1,1,5,1096,138,5
#Bastard_Jn,#Gurney_Jn,0,1,1,7,134,17,7
#Bastard_Jn,#LadyFaulconbridge_Jn,0,1,1,7,134,17,7
#Gurney_Jn,#LadyFaulconbridge_Jn,0,1,1,7,134,17,7
#Bastard_Jn,#LadyFaulconbridge_Jn,1,1,1,8,361,45,8
#ATTENDANTS.FRENCH_Jn,#Arthur_Jn,0,2,1,9,379,49,9
#ATTENDANTS.FRENCH_Jn,#Austria_Jn,0,2,1,9,379,49,9
#ATTENDANTS.FRENCH_Jn,#Constance_Jn,0,2,1,9,379,49,9
#ATTENDANTS.FRENCH_Jn,#Dauphin_Jn,0,2,1,9,379,49,9
#ATTENDANTS.FRENCH_Jn,#KingPhilip_Jn,0,2,1,9,379,49,9
#ATTENDANTS.FRENCH_Jn,#SOLDIERS.FRENCH_Jn,0,2,1,9,379,49,9
#Arthur_Jn,#Austria_Jn,0,2,1,9,379,49,9
#Arthur_Jn,#Constance_Jn,0,2,1,9,379,49,9
#Arthur_Jn,#Dauphin_Jn,0,2,1,9,379,49,9
#Arthur_Jn,#KingPhilip_Jn,0,2,1,9,379,49,9
#Arthur_Jn,#SOLDIERS.FRENCH_Jn,0,2,1,9,379,49,9
#Austria_Jn,#Constance_Jn,0,2,1,9,379,49,9
#Austria_Jn,#Dauphin_Jn,0,2,1,9,379,49,9
#Austria_Jn,#KingPhilip_Jn,0,2,1,9,379,49,9
#Austria_Jn,#SOLDIERS.FRENCH_Jn,0,2,1,9,379,49,9
#Constance_Jn,#Dauphin_Jn,0,2,1,9,379,49,9
#Constance_Jn,#KingPhilip_Jn,0,2,1,9,379,49,9
#Constance_Jn,#SOLDIERS.FRENCH_Jn,0,2,1,9,379,49,9
#Dauphin_Jn,#KingPhilip_Jn,0,2,1,9,379,49,9
#Dauphin_Jn,#SOLDIERS.FRENCH_Jn,0,2,1,9,379,49,9
#KingPhilip_Jn,#SOLDIERS.FRENCH_Jn,0,2,1,9,379,49,9
#ATTENDANTS.FRENCH_Jn,#Arthur_Jn,1,2,1,10,245,34,10
#ATTENDANTS.FRENCH_Jn,#Austria_Jn,1,2,1,10,245,34,10
#ATTENDANTS.FRENCH_Jn,#Constance_Jn,1,2,1,10,245,34,10
#ATTENDANTS.FRENCH_Jn,#Dauphin_Jn,1,2,1,10,245,34,10
#ATTENDANTS.FRENCH_Jn,#KingPhilip_Jn,1,2,1,10,245,34,10
#ATTENDANTS.FRENCH_Jn,#SOLDIERS.FRENCH_Jn,1,2,1,10,245,34,10
#Arthur_Jn,#Austria_Jn,1,2,1,10,245,34,10
#Arthur_Jn,#Constance_Jn,1,2,1,10,245,34,10
#Arthur_Jn,#Dauphin_Jn,1,2,1,10,245,34,10
#Arthur_Jn,#KingPhilip_Jn,1,2,1,10,245,34,10
