node1,node2,count
#ATTENDANTS.0_Lr,#Burgundy_Lr,1
#ATTENDANTS.0_Lr,#France_Lr,2
#ATTENDANTS.CORDELIA.1_Lr,#Doctor_Lr,2
#ATTENDANTS.CORDELIA.1_Lr,#MESSENGERS.X.3_Lr,1
#ATTENDANTS.CORDELIA.1_Lr,#SERVANTS.CORDELIA_Lr,2
#ATTENDANTS.CORDELIA_Lr,#MESSENGERS.X.2_Lr,1
#ATTENDANTS.CORDELIA_Lr,#SOLDIERS.CORDELIA_Lr,1
#ATTENDANTS.LEAR_Lr,#ATTENDANTS.LEAR.0.3_Lr,6
#ATTENDANTS.REGAN_Lr,#SOLDIERS.GONERIL_Lr,2
#ATTENDANTS.REGAN_Lr,#SOLDIERS.REGAN_Lr,3
#ATTENDANTS.X.2_Lr,#Fool_Lr,8
#ATTENDANTS_Lr,#ATTENDANTS.0_Lr,1
#ATTENDANTS_Lr,#Albany_Lr,3
#ATTENDANTS_Lr,#Burgundy_Lr,1
#ATTENDANTS_Lr,#Cordelia_Lr,3
#ATTENDANTS_Lr,#Cornwall_Lr,3
#ATTENDANTS_Lr,#France_Lr,1
#ATTENDANTS_Lr,#Goneril_Lr,3
#ATTENDANTS_Lr,#Lear_Lr,3
#ATTENDANTS_Lr,#Regan_Lr,3
#Albany_Lr,#ATTENDANTS.0_Lr,1
#Albany_Lr,#ATTENDANTS.ALBANY_Lr,2
#Albany_Lr,#ATTENDANTS.CORDELIA.1_Lr,2
#Albany_Lr,#ATTENDANTS.LEAR.0.3_Lr,7
#Albany_Lr,#ATTENDANTS.LEAR_Lr,1
#Albany_Lr,#ATTENDANTS.REGAN_Lr,2
#Albany_Lr,#Burgundy_Lr,1
#Albany_Lr,#Cordelia_Lr,5
#Albany_Lr,#Cornwall_Lr,3
#Albany_Lr,#Edgar_Lr,10
#Albany_Lr,#Fool_Lr,3
#Albany_Lr,#France_Lr,1
#Albany_Lr,#Goneril_Lr,20
#Albany_Lr,#Herald_Lr,9
#Albany_Lr,#Lear_Lr,7
#Albany_Lr,#MESSENGERS.X.1_Lr,2
#Albany_Lr,#MESSENGERS.X.3_Lr,1
#Albany_Lr,#Oswald_Lr,1
#Albany_Lr,#Regan_Lr,9
#Albany_Lr,#SOLDIERS.CAPTAINS.2_Lr,10
#Albany_Lr,#SOLDIERS.GONERIL_Lr,2
#Albany_Lr,#SOLDIERS.REGAN_Lr,2
#Albany_Lr,#SOLDIERS_Lr,10
#Burgundy_Lr,#France_Lr,1
#Cordelia_Lr,#ATTENDANTS.0_Lr,2
#Cordelia_Lr,#ATTENDANTS.CORDELIA.1_Lr,4
#Cordelia_Lr,#ATTENDANTS.CORDELIA_Lr,3
#Cordelia_Lr,#Burgundy_Lr,1
#Cordelia_Lr,#Cornwall_Lr,3
#Cordelia_Lr,#Doctor_Lr,5
#Cordelia_Lr,#Edgar_Lr,2
#Cordelia_Lr,#France_Lr,2
#Cordelia_Lr,#Goneril_Lr,6
#Cordelia_Lr,#Herald_Lr,2
#Cordelia_Lr,#Lear_Lr,7
#Cordelia_Lr,#MESSENGERS.X.2_Lr,1
#Cordelia_Lr,#MESSENGERS.X.3_Lr,1
#Cordelia_Lr,#Regan_Lr,6
#Cordelia_Lr,#SERVANTS.CORDELIA_Lr,1
#Cordelia_Lr,#SOLDIERS.CAPTAINS.1_Lr,1
#Cordelia_Lr,#SOLDIERS.CAPTAINS.2_Lr,2
#Cordelia_Lr,#SOLDIERS.CORDELIA_Lr,1
#Cordelia_Lr,#SOLDIERS_Lr,3
#Cornwall_Lr,#ATTENDANTS.0_Lr,1
#Cornwall_Lr,#ATTENDANTS.REGAN_Lr,1
#Cornwall_Lr,#ATTENDANTS.X.2_Lr,3
#Cornwall_Lr,#Burgundy_Lr,1
#Cornwall_Lr,#Fool_Lr,3
#Cornwall_Lr,#France_Lr,1
#Cornwall_Lr,#Goneril_Lr,9
#Cornwall_Lr,#Lear_Lr,6
#Cornwall_Lr,#Oswald_Lr,6
#Cornwall_Lr,#Regan_Lr,17
#Cornwall_Lr,#SERVANTS.0.1_Lr,2
#Cornwall_Lr,#SERVANTS.0_Lr,2
#Cornwall_Lr,#SERVANTS_Lr,13
#Doctor_Lr,#ATTENDANTS.CORDELIA_Lr,3
#Doctor_Lr,#MESSENGERS.X.2_Lr,1
#Doctor_Lr,#SOLDIERS.CORDELIA_Lr,1
#Edgar_Lr,#ATTENDANTS.ALBANY_Lr,2
#Edgar_Lr,#ATTENDANTS.CORDELIA.1_Lr,4
#Edgar_Lr,#ATTENDANTS.REGAN_Lr,1
#Edgar_Lr,#Fool_Lr,4
#Edgar_Lr,#Herald_Lr,8
#Edgar_Lr,#MESSENGERS.X.3_Lr,1
#Edgar_Lr,#OldMan_Lr,1
#Edgar_Lr,#Oswald_Lr,1
#Edgar_Lr,#SERVANTS.CORDELIA_Lr,1
#Edgar_Lr,#SOLDIERS.CAPTAINS.2_Lr,8
#Edgar_Lr,#SOLDIERS.GONERIL_Lr,1
#Edgar_Lr,#SOLDIERS.REGAN_Lr,1
#Edgar_Lr,#SOLDIERS_Lr,8
#Edmund_Lr,#ATTENDANTS.0_Lr,1
#Edmund_Lr,#ATTENDANTS.ALBANY_Lr,2
#Edmund_Lr,#ATTENDANTS.REGAN_Lr,4
#Edmund_Lr,#ATTENDANTS_Lr,3
#Edmund_Lr,#Albany_Lr,14
