node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#ATTENDANTS.0_Lr,#ATTENDANTS_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Albany_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Burgundy_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Cordelia_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Cornwall_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Edmund_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#France_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Gloucester_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Goneril_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Kent_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Lear_Lr,0,1,1,2420,356,1
#ATTENDANTS.0_Lr,#Regan_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Albany_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Burgundy_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Cordelia_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Cornwall_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Edmund_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#France_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Gloucester_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Goneril_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Kent_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Lear_Lr,0,1,1,2420,356,1
#ATTENDANTS_Lr,#Regan_Lr,0,1,1,2420,356,1
#Albany_Lr,#Burgundy_Lr,0,1,1,2420,356,1
#Albany_Lr,#Cordelia_Lr,0,1,1,2420,356,1
#Albany_Lr,#Cornwall_Lr,0,1,1,2420,356,1
#Albany_Lr,#Edmund_Lr,0,1,1,2420,356,1
#Albany_Lr,#France_Lr,0,1,1,2420,356,1
#Albany_Lr,#Gloucester_Lr,0,1,1,2420,356,1
#Albany_Lr,#Goneril_Lr,0,1,1,2420,356,1
#Albany_Lr,#Kent_Lr,0,1,1,2420,356,1
#Albany_Lr,#Lear_Lr,0,1,1,2420,356,1
#Albany_Lr,#Regan_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#Cordelia_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#Cornwall_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#Edmund_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#France_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#Gloucester_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#Goneril_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#Kent_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#Lear_Lr,0,1,1,2420,356,1
#Burgundy_Lr,#Regan_Lr,0,1,1,2420,356,1
#Cordelia_Lr,#Cornwall_Lr,0,1,1,2420,356,1
#Cordelia_Lr,#Edmund_Lr,0,1,1,2420,356,1
