node1,node2,count
#ATTENDANTS.0_Lr,#ATTENDANTS_Lr,1
#ATTENDANTS.0_Lr,#Albany_Lr,1
#ATTENDANTS.0_Lr,#Burgundy_Lr,1
#ATTENDANTS.0_Lr,#Cordelia_Lr,1
#ATTENDANTS.0_Lr,#Cornwall_Lr,1
#ATTENDANTS.0_Lr,#Edmund_Lr,1
#ATTENDANTS.0_Lr,#France_Lr,1
#ATTENDANTS.0_Lr,#Gloucester_Lr,1
#ATTENDANTS.0_Lr,#Goneril_Lr,1
#ATTENDANTS.0_Lr,#Kent_Lr,1
#ATTENDANTS.0_Lr,#Lear_Lr,1
#ATTENDANTS.0_Lr,#Regan_Lr,1
#ATTENDANTS.ALBANY_Lr,#ATTENDANTS.CORDELIA.1_Lr,1
#ATTENDANTS.ALBANY_Lr,#Herald_Lr,1
#ATTENDANTS.ALBANY_Lr,#MESSENGERS.X.3_Lr,1
#ATTENDANTS.ALBANY_Lr,#SOLDIERS.CAPTAINS.1_Lr,1
#ATTENDANTS.ALBANY_Lr,#SOLDIERS.CAPTAINS.2_Lr,1
#ATTENDANTS.ALBANY_Lr,#SOLDIERS_Lr,1
#ATTENDANTS.CORDELIA.1_Lr,#Doctor_Lr,1
#ATTENDANTS.CORDELIA.1_Lr,#Herald_Lr,1
#ATTENDANTS.CORDELIA.1_Lr,#MESSENGERS.X.3_Lr,1
#ATTENDANTS.CORDELIA.1_Lr,#SERVANTS.CORDELIA_Lr,2
#ATTENDANTS.CORDELIA.1_Lr,#SOLDIERS.CAPTAINS.1_Lr,1
#ATTENDANTS.CORDELIA.1_Lr,#SOLDIERS.CAPTAINS.2_Lr,1
#ATTENDANTS.CORDELIA.1_Lr,#SOLDIERS_Lr,1
#ATTENDANTS.CORDELIA_Lr,#Doctor_Lr,1
#ATTENDANTS.CORDELIA_Lr,#MESSENGERS.X.2_Lr,1
#ATTENDANTS.CORDELIA_Lr,#SOLDIERS.CORDELIA_Lr,1
#ATTENDANTS.LEAR.0.3_Lr,#ATTENDANTS.LEAR_Lr,1
#ATTENDANTS.LEAR.0.3_Lr,#Fool_Lr,1
#ATTENDANTS.LEAR.0.3_Lr,#Oswald_Lr,1
#ATTENDANTS.LEAR_Lr,#Fool_Lr,1
#ATTENDANTS.LEAR_Lr,#Oswald_Lr,1
#ATTENDANTS.REGAN_Lr,#Curan_Lr,1
#ATTENDANTS.REGAN_Lr,#Edgar_Lr,2
#ATTENDANTS.REGAN_Lr,#SERVANTS_Lr,1
#ATTENDANTS.REGAN_Lr,#SOLDIERS.GONERIL_Lr,1
#ATTENDANTS.REGAN_Lr,#SOLDIERS.REGAN_Lr,1
#ATTENDANTS_Lr,#Albany_Lr,1
#ATTENDANTS_Lr,#Burgundy_Lr,1
#ATTENDANTS_Lr,#Cordelia_Lr,1
#ATTENDANTS_Lr,#Cornwall_Lr,1
#ATTENDANTS_Lr,#Edmund_Lr,1
#ATTENDANTS_Lr,#France_Lr,1
#ATTENDANTS_Lr,#Gloucester_Lr,1
#ATTENDANTS_Lr,#Goneril_Lr,1
#ATTENDANTS_Lr,#Kent_Lr,1
#ATTENDANTS_Lr,#Lear_Lr,1
#ATTENDANTS_Lr,#Regan_Lr,1
#Albany_Lr,#ATTENDANTS.ALBANY_Lr,1
#Albany_Lr,#ATTENDANTS.CORDELIA.1_Lr,1
#Albany_Lr,#ATTENDANTS.LEAR.0.3_Lr,1
#Albany_Lr,#ATTENDANTS.LEAR_Lr,1
#Albany_Lr,#ATTENDANTS.REGAN_Lr,1
#Albany_Lr,#Burgundy_Lr,1
#Albany_Lr,#Cordelia_Lr,2
#Albany_Lr,#Cornwall_Lr,1
#Albany_Lr,#Edgar_Lr,2
#Albany_Lr,#Edmund_Lr,4
#Albany_Lr,#Fool_Lr,1
#Albany_Lr,#France_Lr,1
#Albany_Lr,#Gloucester_Lr,1
#Albany_Lr,#Goneril_Lr,5
#Albany_Lr,#Herald_Lr,1
#Albany_Lr,#Kent_Lr,3
#Albany_Lr,#Lear_Lr,3
#Albany_Lr,#MESSENGERS.X.1_Lr,1
#Albany_Lr,#MESSENGERS.X.3_Lr,1
#Albany_Lr,#Oswald_Lr,2
#Albany_Lr,#Regan_Lr,3
#Albany_Lr,#SOLDIERS.CAPTAINS.1_Lr,1
#Albany_Lr,#SOLDIERS.CAPTAINS.2_Lr,1
#Albany_Lr,#SOLDIERS.GONERIL_Lr,1
#Albany_Lr,#SOLDIERS.REGAN_Lr,1
#Albany_Lr,#SOLDIERS_Lr,1
#Burgundy_Lr,#Cordelia_Lr,1
#Burgundy_Lr,#Cornwall_Lr,1
#Burgundy_Lr,#Edmund_Lr,1
#Burgundy_Lr,#France_Lr,1
#Burgundy_Lr,#Gloucester_Lr,1
#Burgundy_Lr,#Goneril_Lr,1
#Burgundy_Lr,#Kent_Lr,1
#Burgundy_Lr,#Lear_Lr,1
#Burgundy_Lr,#Regan_Lr,1
#Cordelia_Lr,#ATTENDANTS.ALBANY_Lr,1
#Cordelia_Lr,#ATTENDANTS.CORDELIA.1_Lr,2
#Cordelia_Lr,#ATTENDANTS.CORDELIA_Lr,1
#Cordelia_Lr,#Cornwall_Lr,1
#Cordelia_Lr,#Doctor_Lr,2
#Cordelia_Lr,#Edgar_Lr,1
