act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,178,24
1,1,1,2,#Longaville_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,34,4
1,1,1,3,#Dumaine_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,37,5
1,1,1,4,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,138,16
1,1,1,5,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,9,1
1,1,1,6,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,28,3
1,1,1,7,#Longaville_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,9,1
1,1,1,8,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,19,2
1,1,1,9,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,10,1
1,1,1,10,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,9,2
1,1,1,11,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,6,1
1,1,1,12,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,92,11
1,1,1,13,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,15,2
1,1,1,14,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,176,22
1,1,1,15,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,8,1
1,1,1,16,#Dumaine_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,7,1
1,1,1,17,#Longaville_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,10,1
1,1,1,18,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,9,1
1,1,1,19,#Dumaine_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,3,1
1,1,1,20,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,6,1
1,1,1,21,#Dumaine_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,3,1
1,1,1,22,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,4,1
1,1,1,23,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,15,2
1,1,1,24,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,68,8
1,1,1,25,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,8,1
1,1,1,26,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,62,7
1,1,1,27,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,8,1
1,1,1,28,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,16,2
1,1,1,29,#Longaville_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,3,1
1,1,1,30,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,14,2
1,1,1,31,#Longaville_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,4,1
1,1,1,32,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,4,1
1,1,1,33,#Longaville_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,8,1
1,1,1,34,#Berowne_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,93,13
1,1,1,35,#King_LLL,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,9,1
