node1,node2,count
#ATTENDANTS_MM,#Angelo_MM,2
#ATTENDANTS_MM,#Barnardine_MM,1
#ATTENDANTS_MM,#CITIZENS_MM,1
#ATTENDANTS_MM,#Claudio_MM,1
#ATTENDANTS_MM,#Duke_MM,2
#ATTENDANTS_MM,#Escalus_MM,2
#ATTENDANTS_MM,#FriarPeter_MM,1
#ATTENDANTS_MM,#Isabella_MM,1
#ATTENDANTS_MM,#Juliet_MM,1
#ATTENDANTS_MM,#Lucio_MM,1
#ATTENDANTS_MM,#Mariana_MM,1
#ATTENDANTS_MM,#OFFICERS.0.1_MM,1
#ATTENDANTS_MM,#OFFICERS.0.2_MM,1
#ATTENDANTS_MM,#OFFICERS_MM,1
#ATTENDANTS_MM,#Provost_MM,1
#ATTENDANTS_MM,#Varrius_MM,1
#Abhorson_MM,#Messenger_MM,1
#Abhorson_MM,#OFFICERS.1_MM,1
#Angelo_MM,#Barnardine_MM,1
#Angelo_MM,#CITIZENS_MM,1
#Angelo_MM,#Claudio_MM,1
#Angelo_MM,#Duke_MM,2
#Angelo_MM,#Elbow_MM,1
#Angelo_MM,#Escalus_MM,4
#Angelo_MM,#FriarPeter_MM,1
#Angelo_MM,#Froth_MM,1
#Angelo_MM,#Isabella_MM,3
#Angelo_MM,#Juliet_MM,1
#Angelo_MM,#Justice_MM,1
#Angelo_MM,#Lucio_MM,2
#Angelo_MM,#Mariana_MM,1
#Angelo_MM,#OFFICERS.0.1_MM,1
#Angelo_MM,#OFFICERS.0.2_MM,1
#Angelo_MM,#OFFICERS_MM,2
#Angelo_MM,#Pompey_MM,1
#Angelo_MM,#Provost_MM,3
#Angelo_MM,#SERVANTS.1_MM,2
#Angelo_MM,#SERVANTS_MM,1
#Angelo_MM,#Varrius_MM,1
#Barnardine_MM,#Abhorson_MM,1
#Barnardine_MM,#CITIZENS_MM,1
#Barnardine_MM,#Claudio_MM,1
#Barnardine_MM,#FriarPeter_MM,1
#Barnardine_MM,#Isabella_MM,2
#Barnardine_MM,#Juliet_MM,1
#Barnardine_MM,#Lucio_MM,2
#Barnardine_MM,#Mariana_MM,1
#Barnardine_MM,#OFFICERS.0.1_MM,1
#Barnardine_MM,#OFFICERS.0.2_MM,1
#Barnardine_MM,#OFFICERS_MM,1
#Barnardine_MM,#Pompey_MM,1
