act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Angelo_MM,77,12,470,65
1,1,#Duke_MM,493,67,580,81
1,1,#Escalus_MM,75,11,645,90
1,2,#Bawd_MM,157,23,454,68
1,2,#Claudio_MM,432,57,623,85
1,2,#GENTLEMEN.1_MM,169,26,529,78
1,2,#GENTLEMEN.2_MM,59,11,1064,151
1,2,#Lucio_MM,385,54,1064,151
1,2,#Pompey_MM,129,18,200,30
1,2,#Provost_MM,19,3,623,85
1,3,#Duke_MM,404,52,439,58
1,3,#FriarThomas_MM,35,6,439,58
1,4,#Isabella_MM,174,28,705,100
1,4,#Lucio_MM,455,63,670,95
1,4,#Nun_MM,76,9,705,100
2,1,#Angelo_MM,265,37,1086,145
2,1,#Elbow_MM,460,60,1754,239
2,1,#Escalus_MM,741,105,2153,295
2,1,#Froth_MM,58,11,1261,175
2,1,#Justice_MM,10,3,2153,295
2,1,#Pompey_MM,613,78,1611,220
2,1,#Provost_MM,6,1,40,7
2,2,#Angelo_MM,606,88,1491,216
2,2,#Isabella_MM,695,95,1118,163
2,2,#Lucio_MM,98,16,1118,163
2,2,#Provost_MM,114,21,1327,197
2,2,#SERVANTS.1_MM,26,4,56,10
2,3,#Duke_MM,182,26,307,44
2,3,#Juliet_MM,63,10,256,39
2,3,#Provost_MM,85,12,330,48
2,4,#Angelo_MM,900,121,1340,185
2,4,#Isabella_MM,564,80,1236,170
2,4,#SERVANTS.1_MM,8,1,12,2
3,1,#Claudio_MM,345,53,1403,201
3,1,#Duke_MM,1128,141,1438,183
3,1,#Isabella_MM,678,96,1811,250
3,1,#Provost_MM,29,6,474,63
3,2,#Bawd_MM,69,8,130,17
3,2,#Duke_MM,805,112,2122,278
3,2,#Elbow_MM,140,18,653,85
3,2,#Escalus_MM,230,31,550,70
3,2,#Lucio_MM,771,94,1121,144
3,2,#Pompey_MM,111,15,653,85
3,2,#Provost_MM,28,4,550,70
4,1,#Boy_MM,41,6,64,9
4,1,#Duke_MM,280,40,548,77
4,1,#Isabella_MM,174,24,395,57
4,1,#Mariana_MM,94,13,351,51
4,2,#Abhorson_MM,79,12,289,39
4,2,#Claudio_MM,21,3,63,10
4,2,#Duke_MM,678,90,1115,152
4,2,#Messenger_MM,41,5,55,8
4,2,#Pompey_MM,196,23,444,59
4,2,#Provost_MM,646,94,1521,209
4,3,#Abhorson_MM,62,10,314,49
4,3,#Barnardine_MM,112,16,281,43
4,3,#Duke_MM,594,88,1034,145
4,3,#Isabella_MM,55,9,433,58
4,3,#Lucio_MM,186,21,252,33
4,3,#Pompey_MM,243,33,478,69
4,3,#Provost_MM,115,17,228,35
4,4,#Angelo_MM,216,28,262,36
4,4,#Escalus_MM,46,8,139,21
4,5,#Duke_MM,104,13,109,14
4,5,#FriarPeter_MM,5,1,83,11
4,6,#FriarPeter_MM,49,7,55,8
4,6,#Isabella_MM,70,9,127,18
4,6,#Mariana_MM,8,2,127,18
5,1,#Angelo_MM,316,44,4044,588
5,1,#Duke_MM,1865,277,4074,593
5,1,#Escalus_MM,326,47,4215,613
5,1,#FriarPeter_MM,219,29,3902,568
5,1,#Isabella_MM,608,90,2918,424
5,1,#Lucio_MM,423,60,4099,598
5,1,#Mariana_MM,382,54,2704,396
5,1,#Provost_MM,83,13,3787,552
1,1,#ATTENDANTS_MM,0,0,645,90
1,2,#Juliet_MM,0,0,623,85
1,2,#OFFICERS_MM,0,0,623,85
2,1,#OFFICERS_MM,0,0,1754,239
2,1,#SERVANTS_MM,0,0,2153,295
3,2,#OFFICERS_MM,0,0,783,102
4,2,#OFFICERS.1_MM,0,0,512,70
4,5,#Varrius_MM,0,0,26,3
5,1,#ATTENDANTS_MM,0,0,4215,613
5,1,#Barnardine_MM,0,0,490,66
5,1,#CITIZENS_MM,0,0,4215,613
5,1,#Claudio_MM,0,0,490,66
5,1,#Juliet_MM,0,0,490,66
5,1,#OFFICERS.0.1_MM,0,0,2048,296
5,1,#OFFICERS.0.2_MM,0,0,2048,296
5,1,#OFFICERS_MM,0,0,4099,598
5,1,#Varrius_MM,0,0,4215,613
