act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Duke_MM,#ATTENDANTS_MM #Duke_MM #Escalus_MM,155,21
1,1,1,#Escalus_MM,#ATTENDANTS_MM #Duke_MM #Escalus_MM,20,4
1,1,2,#Angelo_MM,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,59,9
1,1,2,#Duke_MM,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,338,46
1,1,2,#Escalus_MM,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,8,1
1,1,3,#Angelo_MM,#ATTENDANTS_MM #Angelo_MM #Escalus_MM,18,3
1,1,3,#Escalus_MM,#ATTENDANTS_MM #Angelo_MM #Escalus_MM,47,6
1,2,4,#GENTLEMEN.1_MM,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,125,18
1,2,4,#GENTLEMEN.2_MM,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,28,6
1,2,4,#Lucio_MM,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,142,19
1,2,5,#Bawd_MM,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,66,8
1,2,5,#GENTLEMEN.1_MM,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,44,8
1,2,5,#GENTLEMEN.2_MM,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,31,5
1,2,5,#Lucio_MM,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,93,14
1,2,6,#Bawd_MM,#Bawd_MM,20,3
1,2,7,#Bawd_MM,#Bawd_MM #Pompey_MM,63,10
1,2,7,#Pompey_MM,#Bawd_MM #Pompey_MM,115,16
1,2,8,#Bawd_MM,#Bawd_MM #Claudio_MM #Juliet_MM #OFFICERS_MM #Pompey_MM #Provost_MM,8,2
1,2,8,#Pompey_MM,#Bawd_MM #Claudio_MM #Juliet_MM #OFFICERS_MM #Pompey_MM #Provost_MM,14,2
1,2,9,#Claudio_MM,#Claudio_MM #Juliet_MM #OFFICERS_MM #Provost_MM,52,6
1,2,9,#Provost_MM,#Claudio_MM #Juliet_MM #OFFICERS_MM #Provost_MM,14,2
1,2,10,#Claudio_MM,#Claudio_MM #GENTLEMEN.2_MM #Juliet_MM #Lucio_MM #OFFICERS_MM #Provost_MM,380,51
1,2,10,#Lucio_MM,#Claudio_MM #GENTLEMEN.2_MM #Juliet_MM #Lucio_MM #OFFICERS_MM #Provost_MM,150,21
1,2,10,#Provost_MM,#Claudio_MM #GENTLEMEN.2_MM #Juliet_MM #Lucio_MM #OFFICERS_MM #Provost_MM,5,1
1,3,11,#Duke_MM,#Duke_MM #FriarThomas_MM,404,52
1,3,11,#FriarThomas_MM,#Duke_MM #FriarThomas_MM,35,6
1,4,12,#Isabella_MM,#Isabella_MM #Nun_MM,30,4
1,4,12,#Nun_MM,#Isabella_MM #Nun_MM,5,1
1,4,13,#Isabella_MM,#Isabella_MM #Lucio_MM #Nun_MM,144,24
1,4,13,#Lucio_MM,#Isabella_MM #Lucio_MM #Nun_MM,455,63
1,4,13,#Nun_MM,#Isabella_MM #Lucio_MM #Nun_MM,71,8
2,1,14,#Angelo_MM,#Angelo_MM #Escalus_MM #Justice_MM #SERVANTS_MM,161,20
2,1,14,#Escalus_MM,#Angelo_MM #Escalus_MM #Justice_MM #SERVANTS_MM,101,13
2,1,15,#Angelo_MM,#Angelo_MM #Escalus_MM #Justice_MM #Provost_MM #SERVANTS_MM,28,5
2,1,15,#Escalus_MM,#Angelo_MM #Escalus_MM #Justice_MM #Provost_MM #SERVANTS_MM,6,1
