node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS_MM,4860,0,703,0
#Abhorson_MM,603,141,88,22
#Angelo_MM,8693,2380,1235,330
#Barnardine_MM,771,112,109,16
#Bawd_MM,584,226,85,31
#Boy_MM,64,41,9,6
#CITIZENS_MM,4215,0,613,0
#Claudio_MM,2579,798,362,113
#Duke_MM,11766,6533,1625,906
#Elbow_MM,2407,600,324,78
#Escalus_MM,7702,1418,1089,202
#FriarPeter_MM,4040,273,587,37
#FriarThomas_MM,439,35,58,6
#Froth_MM,1261,58,175,11
#GENTLEMEN.1_MM,529,169,78,26
#GENTLEMEN.2_MM,1064,59,151,11
#Isabella_MM,8743,3018,1240,431
#Juliet_MM,1369,63,190,10
#Justice_MM,2153,10,295,3
#Lucio_MM,8324,2318,1184,308
#Mariana_MM,3182,484,465,69
#Messenger_MM,55,41,8,5
#Nun_MM,705,76,100,9
#OFFICERS.0.1_MM,2048,0,296,0
#OFFICERS.0.2_MM,2048,0,296,0
#OFFICERS.1_MM,512,0,70,0
#OFFICERS_MM,7259,0,1024,0
#Pompey_MM,3386,1292,463,167
#Provost_MM,8880,1125,1266,171
#SERVANTS.1_MM,68,34,12,5
#SERVANTS_MM,2153,0,295,0
#Varrius_MM,4241,0,616,0
