node,node_type
#ATTENDANTS_MM,character
#Abhorson_MM,character
#Angelo_MM,character
#Barnardine_MM,character
#Bawd_MM,character
#Boy_MM,character
#CITIZENS_MM,character
#Claudio_MM,character
#Duke_MM,character
#Elbow_MM,character
#Escalus_MM,character
#FriarPeter_MM,character
#FriarThomas_MM,character
#Froth_MM,character
#GENTLEMEN.1_MM,character
#GENTLEMEN.2_MM,character
#Isabella_MM,character
#Juliet_MM,character
#Justice_MM,character
#Lucio_MM,character
#Mariana_MM,character
#Messenger_MM,character
#Nun_MM,character
#OFFICERS.0.1_MM,character
#OFFICERS.0.2_MM,character
#OFFICERS.1_MM,character
#OFFICERS_MM,character
#Pompey_MM,character
#Provost_MM,character
#SERVANTS.1_MM,character
#SERVANTS_MM,character
#Varrius_MM,character
1.01,text_unit
1.02,text_unit
1.03,text_unit
1.04,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
3.01,text_unit
3.02,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.04,text_unit
4.05,text_unit
4.06,text_unit
5.01,text_unit
