source,target,n_lines,n_tokens,edge_type
#Abhorson_MM,4.02.0060,3,15,active
#Abhorson_MM,4.02.0061,7,53,active
#Abhorson_MM,4.02.0062,2,11,active
#Abhorson_MM,4.03.0073,2,7,active
#Abhorson_MM,4.03.0074,6,41,active
#Abhorson_MM,4.03.0075,2,14,active
#Angelo_MM,1.01.0002,9,59,active
#Angelo_MM,1.01.0003,3,18,active
#Angelo_MM,2.01.0014,20,161,active
#Angelo_MM,2.01.0015,5,28,active
#Angelo_MM,2.01.0017,12,76,active
#Angelo_MM,2.02.0024,8,53,active
#Angelo_MM,2.02.0025,2,9,active
#Angelo_MM,2.02.0026,3,20,active
#Angelo_MM,2.02.0027,48,312,active
#Angelo_MM,2.02.0028,27,212,active
#Angelo_MM,2.04.0032,18,144,active
#Angelo_MM,2.04.0033,1,4,active
#Angelo_MM,2.04.0034,12,80,active
#Angelo_MM,2.04.0035,90,672,active
#Angelo_MM,4.04.0083,13,93,active
#Angelo_MM,4.04.0084,15,123,active
#Angelo_MM,5.01.0089,2,13,active
#Angelo_MM,5.01.0090,4,34,active
#Angelo_MM,5.01.0092,19,137,active
#Angelo_MM,5.01.0095,15,99,active
#Angelo_MM,5.01.0098,4,33,active
#Barnardine_MM,4.03.0074,8,42,active
#Barnardine_MM,4.03.0075,8,70,active
#Bawd_MM,1.02.0005,8,66,active
#Bawd_MM,1.02.0006,3,20,active
#Bawd_MM,1.02.0007,10,63,active
#Bawd_MM,1.02.0008,2,8,active
#Bawd_MM,3.02.0048,8,69,active
#Boy_MM,4.01.0051,6,41,active
#Claudio_MM,1.02.0009,6,52,active
#Claudio_MM,1.02.0010,51,380,active
#Claudio_MM,3.01.0037,6,42,active
#Claudio_MM,3.01.0038,1,6,active
#Claudio_MM,3.01.0039,44,274,active
#Claudio_MM,3.01.0040,2,23,active
#Claudio_MM,4.02.0065,3,21,active
#Duke_MM,1.01.0001,21,155,active
#Duke_MM,1.01.0002,46,338,active
#Duke_MM,1.03.0011,52,404,active
#Duke_MM,2.03.0029,7,55,active
#Duke_MM,2.03.0030,19,127,active
#Duke_MM,3.01.0037,40,327,active
#Duke_MM,3.01.0038,4,24,active
#Duke_MM,3.01.0040,19,140,active
#Duke_MM,3.01.0041,4,29,active
#Duke_MM,3.01.0042,74,608,active
#Duke_MM,3.02.0044,18,140,active
#Duke_MM,3.02.0045,2,8,active
#Duke_MM,3.02.0046,38,274,active
#Duke_MM,3.02.0047,5,32,active
#Duke_MM,3.02.0049,27,223,active
#Duke_MM,3.02.0050,22,128,active
#Duke_MM,4.01.0053,5,40,active
#Duke_MM,4.01.0054,4,30,active
#Duke_MM,4.01.0055,8,54,active
#Duke_MM,4.01.0056,8,50,active
#Duke_MM,4.01.0057,6,44,active
#Duke_MM,4.01.0058,9,62,active
#Duke_MM,4.02.0067,13,89,active
#Duke_MM,4.02.0068,2,15,active
#Duke_MM,4.02.0069,7,43,active
#Duke_MM,4.02.0070,1,5,active
#Duke_MM,4.02.0071,67,526,active
#Duke_MM,4.03.0075,8,45,active
#Duke_MM,4.03.0076,2,16,active
#Duke_MM,4.03.0077,15,91,active
#Duke_MM,4.03.0078,9,64,active
#Duke_MM,4.03.0079,3,22,active
#Duke_MM,4.03.0080,39,290,active
#Duke_MM,4.03.0081,1,3,active
#Duke_MM,4.03.0082,11,63,active
#Duke_MM,4.05.0085,10,78,active
#Duke_MM,4.05.0086,3,26,active
#Duke_MM,5.01.0089,18,129,active
#Duke_MM,5.01.0090,41,279,active
#Duke_MM,5.01.0091,12,85,active
#Duke_MM,5.01.0092,29,161,active
#Duke_MM,5.01.0093,7,45,active
#Duke_MM,5.01.0095,50,343,active
#Duke_MM,5.01.0096,19,137,active
#Duke_MM,5.01.0097,48,299,active
#Duke_MM,5.01.0099,38,271,active
#Duke_MM,5.01.0100,15,116,active
#Elbow_MM,2.01.0017,32,247,active
#Elbow_MM,2.01.0018,21,164,active
#Elbow_MM,2.01.0020,7,49,active
#Elbow_MM,3.02.0043,4,32,active
#Elbow_MM,3.02.0044,11,90,active
#Elbow_MM,3.02.0045,3,18,active
#Escalus_MM,1.01.0001,4,20,active
#Escalus_MM,1.01.0002,1,8,active
#Escalus_MM,1.01.0003,6,47,active
#Escalus_MM,2.01.0014,13,101,active
#Escalus_MM,2.01.0015,1,6,active
#Escalus_MM,2.01.0016,4,33,active
#Escalus_MM,2.01.0017,14,92,active
#Escalus_MM,2.01.0018,27,173,active
#Escalus_MM,2.01.0019,25,188,active
#Escalus_MM,2.01.0020,12,94,active
#Escalus_MM,2.01.0021,9,54,active
#Escalus_MM,3.02.0048,7,50,active
#Escalus_MM,3.02.0049,24,180,active
#Escalus_MM,4.04.0083,8,46,active
#Escalus_MM,5.01.0089,1,7,active
#Escalus_MM,5.01.0093,1,6,active
#Escalus_MM,5.01.0094,11,77,active
#Escalus_MM,5.01.0095,28,189,active
#Escalus_MM,5.01.0096,2,15,active
#Escalus_MM,5.01.0098,4,32,active
#FriarPeter_MM,4.05.0085,1,5,active
#FriarPeter_MM,4.06.0088,7,49,active
#FriarPeter_MM,5.01.0090,1,10,active
#FriarPeter_MM,5.01.0091,24,179,active
#FriarPeter_MM,5.01.0092,4,30,active
#FriarThomas_MM,1.03.0011,6,35,active
#Froth_MM,2.01.0017,6,26,active
#Froth_MM,2.01.0018,5,32,active
#GENTLEMEN.1_MM,1.02.0004,18,125,active
#GENTLEMEN.1_MM,1.02.0005,8,44,active
#GENTLEMEN.2_MM,1.02.0004,6,28,active
#GENTLEMEN.2_MM,1.02.0005,5,31,active
#Isabella_MM,1.04.0012,4,30,active
#Isabella_MM,1.04.0013,24,144,active
#Isabella_MM,2.02.0027,95,695,active
#Isabella_MM,2.04.0035,63,432,active
#Isabella_MM,2.04.0036,17,132,active
#Isabella_MM,3.01.0038,2,17,active
#Isabella_MM,3.01.0039,69,468,active
#Isabella_MM,3.01.0040,4,24,active
#Isabella_MM,3.01.0042,21,169,active
#Isabella_MM,4.01.0055,18,140,active
#Isabella_MM,4.01.0056,1,5,active
#Isabella_MM,4.01.0058,5,29,active
#Isabella_MM,4.03.0080,9,55,active
#Isabella_MM,4.06.0087,8,64,active
#Isabella_MM,4.06.0088,1,6,active
#Isabella_MM,5.01.0090,74,503,active
#Isabella_MM,5.01.0096,4,19,active
#Isabella_MM,5.01.0097,12,86,active
#Juliet_MM,2.03.0030,7,44,active
#Juliet_MM,2.03.0031,3,19,active
#Justice_MM,2.01.0021,3,10,active
#Lucio_MM,1.02.0004,19,142,active
#Lucio_MM,1.02.0005,14,93,active
#Lucio_MM,1.02.0010,21,150,active
#Lucio_MM,1.04.0013,63,455,active
#Lucio_MM,2.02.0027,16,98,active
#Lucio_MM,3.02.0045,32,254,active
#Lucio_MM,3.02.0046,62,517,active
#Lucio_MM,4.03.0081,9,85,active
#Lucio_MM,4.03.0082,12,101,active
#Lucio_MM,5.01.0090,8,44,active
#Lucio_MM,5.01.0091,8,64,active
#Lucio_MM,5.01.0092,7,40,active
#Lucio_MM,5.01.0094,9,64,active
#Lucio_MM,5.01.0095,19,134,active
#Lucio_MM,5.01.0099,9,77,active
#Mariana_MM,4.01.0052,3,23,active
#Mariana_MM,4.01.0053,6,46,active
#Mariana_MM,4.01.0054,1,6,active
#Mariana_MM,4.01.0056,2,16,active
#Mariana_MM,4.01.0058,1,3,active
#Mariana_MM,4.06.0087,2,8,active
#Mariana_MM,5.01.0092,38,267,active
#Mariana_MM,5.01.0097,16,115,active
#Messenger_MM,4.02.0070,5,41,active
#Nun_MM,1.04.0012,1,5,active
#Nun_MM,1.04.0013,8,71,active
#Pompey_MM,1.02.0007,16,115,active
#Pompey_MM,1.02.0008,2,14,active
#Pompey_MM,2.01.0017,37,310,active
#Pompey_MM,2.01.0018,21,141,active
#Pompey_MM,2.01.0019,20,162,active
#Pompey_MM,3.02.0044,8,61,active
#Pompey_MM,3.02.0045,7,50,active
#Pompey_MM,4.02.0059,7,63,active
#Pompey_MM,4.02.0061,9,72,active
#Pompey_MM,4.02.0062,7,61,active
#Pompey_MM,4.03.0072,20,164,active
#Pompey_MM,4.03.0073,2,10,active
#Pompey_MM,4.03.0074,11,69,active
#Provost_MM,1.02.0009,2,14,active
#Provost_MM,1.02.0010,1,5,active
#Provost_MM,2.01.0015,1,6,active
#Provost_MM,2.02.0022,1,3,active
#Provost_MM,2.02.0023,5,31,active
#Provost_MM,2.02.0024,8,49,active
#Provost_MM,2.02.0025,3,18,active
#Provost_MM,2.02.0027,4,13,active
#Provost_MM,2.03.0029,2,19,active
#Provost_MM,2.03.0030,9,62,active
#Provost_MM,2.03.0031,1,4,active
#Provost_MM,3.01.0038,4,22,active
#Provost_MM,3.01.0041,2,7,active
#Provost_MM,3.02.0048,2,11,active
#Provost_MM,3.02.0049,2,17,active
#Provost_MM,4.02.0059,13,92,active
#Provost_MM,4.02.0060,8,63,active
#Provost_MM,4.02.0062,3,14,active
#Provost_MM,4.02.0063,1,5,active
#Provost_MM,4.02.0064,2,18,active
#Provost_MM,4.02.0065,7,42,active
#Provost_MM,4.02.0066,3,16,active
#Provost_MM,4.02.0067,5,18,active
#Provost_MM,4.02.0069,9,52,active
#Provost_MM,4.02.0070,2,9,active
#Provost_MM,4.02.0071,41,317,active
#Provost_MM,4.03.0077,15,103,active
#Provost_MM,4.03.0079,2,12,active
#Provost_MM,5.01.0097,9,57,active
#Provost_MM,5.01.0099,4,26,active
#SERVANTS.1_MM,2.02.0022,2,14,active
#SERVANTS.1_MM,2.02.0025,2,12,active
#SERVANTS.1_MM,2.04.0033,1,8,active
1.01.0001,#ATTENDANTS_MM,25,175,passive
1.01.0001,#Duke_MM,4,20,passive
1.01.0001,#Escalus_MM,21,155,passive
1.01.0002,#ATTENDANTS_MM,56,405,passive
1.01.0002,#Angelo_MM,47,346,passive
1.01.0002,#Duke_MM,10,67,passive
1.01.0002,#Escalus_MM,55,397,passive
1.01.0003,#ATTENDANTS_MM,9,65,passive
1.01.0003,#Angelo_MM,6,47,passive
1.01.0003,#Escalus_MM,3,18,passive
1.02.0004,#GENTLEMEN.1_MM,25,170,passive
1.02.0004,#GENTLEMEN.2_MM,37,267,passive
1.02.0004,#Lucio_MM,24,153,passive
1.02.0005,#Bawd_MM,27,168,passive
1.02.0005,#GENTLEMEN.1_MM,27,190,passive
1.02.0005,#GENTLEMEN.2_MM,30,203,passive
1.02.0005,#Lucio_MM,21,141,passive
1.02.0007,#Bawd_MM,16,115,passive
1.02.0007,#Pompey_MM,10,63,passive
1.02.0008,#Bawd_MM,2,14,passive
1.02.0008,#Claudio_MM,4,22,passive
1.02.0008,#Juliet_MM,4,22,passive
1.02.0008,#OFFICERS_MM,4,22,passive
1.02.0008,#Pompey_MM,2,8,passive
1.02.0008,#Provost_MM,4,22,passive
1.02.0009,#Claudio_MM,2,14,passive
1.02.0009,#Juliet_MM,8,66,passive
1.02.0009,#OFFICERS_MM,8,66,passive
1.02.0009,#Provost_MM,6,52,passive
1.02.0010,#Claudio_MM,22,155,passive
1.02.0010,#GENTLEMEN.2_MM,73,535,passive
1.02.0010,#Juliet_MM,73,535,passive
1.02.0010,#Lucio_MM,52,385,passive
1.02.0010,#OFFICERS_MM,73,535,passive
1.02.0010,#Provost_MM,72,530,passive
1.03.0011,#Duke_MM,6,35,passive
1.03.0011,#FriarThomas_MM,52,404,passive
1.04.0012,#Isabella_MM,1,5,passive
1.04.0012,#Nun_MM,4,30,passive
1.04.0013,#Isabella_MM,71,526,passive
1.04.0013,#Lucio_MM,32,215,passive
1.04.0013,#Nun_MM,87,599,passive
2.01.0014,#Angelo_MM,13,101,passive
2.01.0014,#Escalus_MM,20,161,passive
2.01.0014,#Justice_MM,33,262,passive
2.01.0014,#SERVANTS_MM,33,262,passive
2.01.0015,#Angelo_MM,2,12,passive
2.01.0015,#Escalus_MM,6,34,passive
2.01.0015,#Justice_MM,7,40,passive
2.01.0015,#Provost_MM,6,34,passive
2.01.0015,#SERVANTS_MM,7,40,passive
2.01.0016,#Angelo_MM,4,33,passive
2.01.0016,#Justice_MM,4,33,passive
2.01.0016,#SERVANTS_MM,4,33,passive
2.01.0017,#Angelo_MM,89,675,passive
2.01.0017,#Elbow_MM,69,504,passive
2.01.0017,#Escalus_MM,87,659,passive
2.01.0017,#Froth_MM,95,725,passive
2.01.0017,#Justice_MM,101,751,passive
2.01.0017,#OFFICERS_MM,101,751,passive
2.01.0017,#Pompey_MM,64,441,passive
2.01.0017,#SERVANTS_MM,101,751,passive
2.01.0018,#Elbow_MM,53,346,passive
2.01.0018,#Escalus_MM,47,337,passive
2.01.0018,#Froth_MM,69,478,passive
2.01.0018,#Justice_MM,74,510,passive
2.01.0018,#OFFICERS_MM,74,510,passive
2.01.0018,#Pompey_MM,53,369,passive
2.01.0018,#SERVANTS_MM,74,510,passive
2.01.0019,#Elbow_MM,45,350,passive
2.01.0019,#Escalus_MM,20,162,passive
2.01.0019,#Justice_MM,45,350,passive
2.01.0019,#OFFICERS_MM,45,350,passive
2.01.0019,#Pompey_MM,25,188,passive
2.01.0019,#SERVANTS_MM,45,350,passive
2.01.0020,#Elbow_MM,12,94,passive
2.01.0020,#Escalus_MM,7,49,passive
2.01.0020,#Justice_MM,19,143,passive
2.01.0020,#OFFICERS_MM,19,143,passive
2.01.0020,#SERVANTS_MM,19,143,passive
2.01.0021,#Escalus_MM,3,10,passive
2.01.0021,#Justice_MM,9,54,passive
2.01.0021,#SERVANTS_MM,12,64,passive
2.02.0022,#Provost_MM,2,14,passive
2.02.0022,#SERVANTS.1_MM,1,3,passive
2.02.0024,#Angelo_MM,8,49,passive
2.02.0024,#Provost_MM,8,53,passive
2.02.0025,#Angelo_MM,5,30,passive
2.02.0025,#Provost_MM,4,21,passive
2.02.0025,#SERVANTS.1_MM,5,27,passive
2.02.0026,#Provost_MM,3,20,passive
2.02.0027,#Angelo_MM,115,806,passive
2.02.0027,#Isabella_MM,68,423,passive
2.02.0027,#Lucio_MM,147,1020,passive
2.02.0027,#Provost_MM,159,1105,passive
