node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#Balthasar_Ado,#Beatrice_Ado,0,1,1,2472,323,1
#Balthasar_Ado,#Benedick_Ado,0,1,1,2472,323,1
#Balthasar_Ado,#Claudio_Ado,0,1,1,2472,323,1
#Balthasar_Ado,#DonJohn_Ado,0,1,1,2472,323,1
#Balthasar_Ado,#DonPedro_Ado,0,1,1,2472,323,1
#Balthasar_Ado,#Hero_Ado,0,1,1,2472,323,1
#Balthasar_Ado,#Leonato_Ado,0,1,1,2472,323,1
#Balthasar_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,2472,323,1
#Beatrice_Ado,#Benedick_Ado,0,1,1,2472,323,1
#Beatrice_Ado,#Claudio_Ado,0,1,1,2472,323,1
#Beatrice_Ado,#DonJohn_Ado,0,1,1,2472,323,1
#Beatrice_Ado,#DonPedro_Ado,0,1,1,2472,323,1
#Beatrice_Ado,#Hero_Ado,0,1,1,2472,323,1
#Beatrice_Ado,#Leonato_Ado,0,1,1,2472,323,1
#Beatrice_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,2472,323,1
#Benedick_Ado,#Claudio_Ado,0,1,1,2472,323,1
#Benedick_Ado,#DonJohn_Ado,0,1,1,2472,323,1
#Benedick_Ado,#DonPedro_Ado,0,1,1,2472,323,1
#Benedick_Ado,#Hero_Ado,0,1,1,2472,323,1
#Benedick_Ado,#Leonato_Ado,0,1,1,2472,323,1
#Benedick_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,2472,323,1
#Claudio_Ado,#DonJohn_Ado,0,1,1,2472,323,1
#Claudio_Ado,#DonPedro_Ado,0,1,1,2472,323,1
#Claudio_Ado,#Hero_Ado,0,1,1,2472,323,1
#Claudio_Ado,#Leonato_Ado,0,1,1,2472,323,1
#Claudio_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,2472,323,1
#DonJohn_Ado,#DonPedro_Ado,0,1,1,2472,323,1
#DonJohn_Ado,#Hero_Ado,0,1,1,2472,323,1
#DonJohn_Ado,#Leonato_Ado,0,1,1,2472,323,1
#DonJohn_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,2472,323,1
#DonPedro_Ado,#Hero_Ado,0,1,1,2472,323,1
#DonPedro_Ado,#Leonato_Ado,0,1,1,2472,323,1
#DonPedro_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,2472,323,1
#Hero_Ado,#Leonato_Ado,0,1,1,2472,323,1
#Hero_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,2472,323,1
#Leonato_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,2472,323,1
#ATTENDANTS_Ado,#LeonatosBrother_Ado,0,1,2,215,28,2
#ATTENDANTS_Ado,#MUSICIANS.1_Ado,0,1,2,215,28,2
#ATTENDANTS_Ado,#Son_Ado,0,1,2,215,28,2
#Leonato_Ado,#ATTENDANTS_Ado,0,1,2,215,28,2
#Leonato_Ado,#LeonatosBrother_Ado,0,1,2,215,28,2
#Leonato_Ado,#MUSICIANS.1_Ado,0,1,2,215,28,2
#Leonato_Ado,#Son_Ado,0,1,2,215,28,2
