act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#Beatrice_Ado,315,39,684,93
1,1,1,#Hero_Ado,7,1,684,93
1,1,1,#Leonato_Ado,164,23,684,93
1,1,1,#MESSENGERS.LEONATO.1_Ado,198,30,684,93
1,1,2,#Beatrice_Ado,127,17,482,64
1,1,2,#Benedick_Ado,131,17,482,64
1,1,2,#DonJohn_Ado,13,2,482,64
1,1,2,#DonPedro_Ado,127,16,482,64
1,1,2,#Leonato_Ado,84,12,482,64
1,1,3,#Benedick_Ado,266,31,343,42
1,1,3,#Claudio_Ado,77,11,343,42
1,1,4,#Benedick_Ado,411,49,644,84
1,1,4,#Claudio_Ado,77,12,644,84
1,1,4,#DonPedro_Ado,156,23,644,84
1,1,5,#Claudio_Ado,123,16,319,40
1,1,5,#DonPedro_Ado,196,24,319,40
1,2,6,#Leonato_Ado,68,9,183,24
1,2,6,#LeonatosBrother_Ado,115,15,183,24
1,2,7,#Leonato_Ado,32,4,32,4
1,3,8,#Conrade_Ado,101,13,332,38
1,3,8,#DonJohn_Ado,231,25,332,38
1,3,9,#Borachio_Ado,102,16,229,34
1,3,9,#Conrade_Ado,5,1,229,34
1,3,9,#DonJohn_Ado,122,17,229,34
2,1,10,#Beatrice_Ado,526,59,669,83
2,1,10,#Hero_Ado,7,1,669,83
2,1,10,#Leonato_Ado,116,19,669,83
2,1,10,#LeonatosBrother_Ado,20,4,669,83
2,1,11,#Antonio_Ado,19,3,468,69
2,1,11,#Balthasar_Ado,8,2,468,69
2,1,11,#Beatrice_Ado,183,22,468,69
2,1,11,#Benedick_Ado,54,12,468,69
2,1,11,#DonPedro_Ado,37,7,468,69
2,1,11,#Hero_Ado,51,7,468,69
2,1,11,#Margaret_Ado,41,6,468,69
2,1,11,#Ursula_Ado,75,10,468,69
2,1,12,#Borachio_Ado,22,4,119,17
2,1,12,#Claudio_Ado,13,2,119,17
2,1,12,#DonJohn_Ado,84,11,119,17
2,1,13,#Claudio_Ado,85,11,85,11
2,1,14,#Benedick_Ado,96,14,119,19
2,1,14,#Claudio_Ado,23,5,119,19
2,1,15,#Benedick_Ado,81,8,81,8
2,1,16,#Benedick_Ado,363,40,426,50
2,1,16,#DonPedro_Ado,63,10,426,50
2,1,17,#Benedick_Ado,97,11,108,13
2,1,17,#DonPedro_Ado,11,2,108,13
2,1,18,#Beatrice_Ado,276,33,491,63
2,1,18,#Claudio_Ado,49,7,491,63
2,1,18,#DonPedro_Ado,131,18,491,63
2,1,18,#Leonato_Ado,35,5,491,63
2,1,19,#Claudio_Ado,17,3,366,45
2,1,19,#DonPedro_Ado,226,26,366,45
2,1,19,#Hero_Ado,16,2,366,45
2,1,19,#Leonato_Ado,107,14,366,45
2,2,20,#Borachio_Ado,299,37,414,56
2,2,20,#DonJohn_Ado,115,19,414,56
2,3,21,#Benedick_Ado,1,1,1,1
2,3,22,#Benedick_Ado,27,4,33,6
2,3,22,#Boy_Ado,6,2,33,6
2,3,23,#Benedick_Ado,298,29,298,29
2,3,24,#Balthasar_Ado,172,26,398,58
2,3,24,#Benedick_Ado,74,9,398,58
2,3,24,#Claudio_Ado,31,4,398,58
2,3,24,#DonPedro_Ado,121,19,398,58
2,3,25,#Benedick_Ado,30,5,964,128
2,3,25,#Claudio_Ado,228,34,964,128
2,3,25,#DonPedro_Ado,361,45,964,128
2,3,25,#Leonato_Ado,345,44,964,128
2,3,26,#Benedick_Ado,259,26,259,26
2,3,27,#Beatrice_Ado,63,8,78,10
2,3,27,#Benedick_Ado,15,2,78,10
2,3,28,#Benedick_Ado,81,7,81,7
3,1,29,#Hero_Ado,103,13,111,14
3,1,29,#Margaret_Ado,8,1,111,14
3,1,30,#Hero_Ado,87,11,87,11
3,1,31,#Hero_Ado,426,56,640,86
3,1,31,#Ursula_Ado,214,30,640,86
3,1,32,#Beatrice_Ado,80,10,80,10
3,2,33,#Benedick_Ado,57,9,524,68
3,2,33,#Claudio_Ado,137,19,524,68
3,2,33,#DonPedro_Ado,302,36,524,68
3,2,33,#Leonato_Ado,28,4,524,68
3,2,34,#Claudio_Ado,27,3,36,4
3,2,34,#DonPedro_Ado,9,1,36,4
3,2,35,#Claudio_Ado,45,9,362,55
3,2,35,#DonJohn_Ado,275,37,362,55
3,2,35,#DonPedro_Ado,42,9,362,55
3,3,36,#Dogberry_Ado,567,65,743,93
3,3,36,#Verges_Ado,86,13,743,93
3,3,36,#WATCHMEN.1_Ado,12,2,743,93
3,3,36,#WATCHMEN.2_Ado,24,4,743,93
3,3,36,#WATCHMEN.Seacoal_Ado,54,9,743,93
3,3,37,#Borachio_Ado,360,50,507,74
3,3,37,#Conrade_Ado,99,15,507,74
3,3,37,#WATCHMEN.1_Ado,33,5,507,74
3,3,37,#WATCHMEN.Seacoal_Ado,15,4,507,74
3,3,38,#WATCHMEN.1_Ado,14,2,31,5
3,3,38,#WATCHMEN.Seacoal_Ado,17,3,31,5
3,3,39,#Borachio_Ado,15,2,51,9
3,3,39,#Conrade_Ado,11,2,51,9
3,3,39,#Dogberry_Ado,16,3,51,9
3,3,39,#WATCHMEN.1_Ado,9,2,51,9
3,4,40,#Hero_Ado,16,3,20,5
3,4,40,#Ursula_Ado,4,2,20,5
3,4,41,#Hero_Ado,45,7,242,33
3,4,41,#Margaret_Ado,197,26,242,33
3,4,42,#Beatrice_Ado,120,18,392,53
3,4,42,#Hero_Ado,31,5,392,53
3,4,42,#Margaret_Ado,241,30,392,53
3,4,43,#Hero_Ado,10,2,34,5
3,4,43,#Ursula_Ado,24,3,34,5
3,5,44,#Dogberry_Ado,254,31,394,51
3,5,44,#Leonato_Ado,87,13,394,51
3,5,44,#Verges_Ado,53,7,394,51
3,5,45,#Leonato_Ado,7,1,20,3
3,5,45,#MESSENGERS.LEONATO.1_Ado,13,2,20,3
3,5,46,#Dogberry_Ado,61,7,67,8
3,5,46,#Verges_Ado,6,1,67,8
