act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Beatrice_Ado,442,56,1166,157
1,1,#Benedick_Ado,808,97,1469,190
1,1,#Claudio_Ado,277,39,1788,230
1,1,#DonJohn_Ado,13,2,482,64
1,1,#DonPedro_Ado,479,63,1445,188
1,1,#Hero_Ado,7,1,1166,157
1,1,#Leonato_Ado,248,35,1166,157
1,1,#MESSENGERS.LEONATO.1_Ado,198,30,1166,157
1,2,#Leonato_Ado,100,13,215,28
1,2,#LeonatosBrother_Ado,115,15,215,28
1,3,#Borachio_Ado,102,16,229,34
1,3,#Conrade_Ado,106,14,561,72
1,3,#DonJohn_Ado,353,42,561,72
2,1,#Antonio_Ado,19,3,468,69
2,1,#Balthasar_Ado,8,2,468,69
2,1,#Beatrice_Ado,985,114,1736,228
2,1,#Benedick_Ado,691,85,1202,159
2,1,#Borachio_Ado,22,4,587,86
2,1,#Claudio_Ado,187,28,1756,237
2,1,#DonJohn_Ado,84,11,587,86
2,1,#DonPedro_Ado,468,63,1859,240
2,1,#Hero_Ado,74,10,2528,323
2,1,#Leonato_Ado,258,38,2528,323
2,1,#LeonatosBrother_Ado,20,4,1137,152
2,1,#Margaret_Ado,41,6,1137,152
2,1,#Ursula_Ado,75,10,1137,152
2,2,#Borachio_Ado,299,37,414,56
2,2,#DonJohn_Ado,115,19,414,56
2,3,#Balthasar_Ado,172,26,398,58
2,3,#Beatrice_Ado,63,8,78,10
2,3,#Benedick_Ado,785,83,2112,265
2,3,#Boy_Ado,6,2,33,6
2,3,#Claudio_Ado,259,38,1362,186
2,3,#DonPedro_Ado,482,64,1362,186
2,3,#Leonato_Ado,345,44,1362,186
3,1,#Beatrice_Ado,80,10,720,96
3,1,#Hero_Ado,616,80,838,111
3,1,#Margaret_Ado,8,1,111,14
3,1,#Ursula_Ado,214,30,838,111
3,2,#Benedick_Ado,57,9,524,68
3,2,#Claudio_Ado,209,31,922,127
3,2,#DonJohn_Ado,275,37,362,55
3,2,#DonPedro_Ado,353,46,922,127
3,2,#Leonato_Ado,28,4,524,68
3,3,#Borachio_Ado,375,52,589,88
3,3,#Conrade_Ado,110,17,589,88
3,3,#Dogberry_Ado,583,68,794,102
3,3,#Verges_Ado,86,13,794,102
3,3,#WATCHMEN.1_Ado,68,11,1332,181
3,3,#WATCHMEN.2_Ado,24,4,1301,176
3,3,#WATCHMEN.Seacoal_Ado,86,16,1332,181
3,4,#Beatrice_Ado,120,18,426,58
3,4,#Hero_Ado,102,17,688,96
3,4,#Margaret_Ado,438,56,688,96
3,4,#Ursula_Ado,28,5,54,10
3,5,#Dogberry_Ado,315,38,481,62
3,5,#Leonato_Ado,94,14,414,54
3,5,#MESSENGERS.LEONATO.1_Ado,13,2,20,3
3,5,#Verges_Ado,59,8,481,62
4,1,#Beatrice_Ado,420,56,2539,350
4,1,#Benedick_Ado,331,51,2539,350
4,1,#Claudio_Ado,431,58,832,117
4,1,#DonJohn_Ado,60,8,832,117
4,1,#DonPedro_Ado,87,13,832,117
4,1,#FriarFrancis_Ado,537,77,1959,268
4,1,#Hero_Ado,127,18,1959,268
4,1,#Leonato_Ado,546,69,1959,268
4,2,#Borachio_Ado,15,4,609,89
4,2,#Conrade_Ado,32,6,609,89
4,2,#Dogberry_Ado,377,49,609,89
4,2,#Sexton_Ado,106,17,428,68
4,2,#Verges_Ado,30,5,609,89
4,2,#WATCHMEN.1_Ado,33,5,609,89
4,2,#WATCHMEN.Seacoal_Ado,20,4,609,89
5,1,#Benedick_Ado,196,24,644,83
5,1,#Borachio_Ado,184,23,990,133
5,1,#Claudio_Ado,385,56,2250,303
5,1,#Dogberry_Ado,266,33,951,126
5,1,#DonPedro_Ado,493,67,2250,303
5,1,#Leonato_Ado,821,111,1472,202
5,1,#LeonatosBrother_Ado,244,33,1472,202
5,1,#Verges_Ado,10,2,951,126
5,2,#Beatrice_Ado,168,23,479,62
5,2,#Benedick_Ado,491,65,765,103
5,2,#Margaret_Ado,61,10,160,25
5,2,#Ursula_Ado,45,5,45,5
5,3,#ATTENDANTS.0.1_Ado,4,1,201,32
5,3,#Claudio_Ado,98,15,207,33
5,3,#DonPedro_Ado,57,7,207,33
5,3,#MUSICIANS_Ado,48,10,174,29
5,4,#Beatrice_Ado,81,10,752,96
5,4,#Benedick_Ado,402,49,1036,133
5,4,#Claudio_Ado,166,21,776,99
5,4,#DonPedro_Ado,42,6,776,99
5,4,#FriarFrancis_Ado,55,9,1036,133
5,4,#Hero_Ado,54,8,752,96
5,4,#Leonato_Ado,202,26,1036,133
5,4,#LeonatosBrother_Ado,17,2,929,120
5,4,#MESSENGERS.DONPEDRO.1_Ado,17,2,33,5
1,1,#Balthasar_Ado,0,0,482,64
1,2,#ATTENDANTS_Ado,0,0,32,4
1,2,#MUSICIANS.1_Ado,0,0,32,4
1,2,#Son_Ado,0,0,32,4
4,1,#ATTENDANTS_Ado,0,0,1959,268
4,2,#WATCHMEN.2_Ado,0,0,609,89
5,1,#Conrade_Ado,0,0,990,133
5,1,#Sexton_Ado,0,0,589,80
5,1,#WATCHMEN.1_Ado,0,0,990,133
5,1,#WATCHMEN.2_Ado,0,0,990,133
5,1,#WATCHMEN.Seacoal_Ado,0,0,990,133
5,3,#ATTENDANTS_Ado,0,0,174,29
5,4,#ATTENDANTS_Ado,0,0,776,99
5,4,#Margaret_Ado,0,0,752,96
5,4,#Ursula_Ado,0,0,752,96
