source,target,key,n_lines,n_tokens,edge_index,edge_type
#Leonato_Ado,1.01.0001,0,2,15,1,active
1.01.0001,#Beatrice_Ado,0,2,15,1,passive
1.01.0001,#Hero_Ado,0,2,15,1,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,0,2,15,1,passive
#MESSENGERS.LEONATO.1_Ado,1.01.0001,0,2,16,2,active
1.01.0001,#Beatrice_Ado,1,2,16,2,passive
1.01.0001,#Hero_Ado,1,2,16,2,passive
1.01.0001,#Leonato_Ado,0,2,16,2,passive
#Leonato_Ado,1.01.0001,1,2,9,3,active
1.01.0001,#Beatrice_Ado,2,2,9,3,passive
1.01.0001,#Hero_Ado,2,2,9,3,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,1,2,9,3,passive
#MESSENGERS.LEONATO.1_Ado,1.01.0001,1,1,9,4,active
1.01.0001,#Beatrice_Ado,3,1,9,4,passive
1.01.0001,#Hero_Ado,3,1,9,4,passive
1.01.0001,#Leonato_Ado,1,1,9,4,passive
#Leonato_Ado,1.01.0001,2,4,28,5,active
1.01.0001,#Beatrice_Ado,4,4,28,5,passive
1.01.0001,#Hero_Ado,4,4,28,5,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,2,4,28,5,passive
#MESSENGERS.LEONATO.1_Ado,1.01.0001,2,6,49,6,active
1.01.0001,#Beatrice_Ado,5,6,49,6,passive
1.01.0001,#Hero_Ado,5,6,49,6,passive
1.01.0001,#Leonato_Ado,2,6,49,6,passive
#Leonato_Ado,1.01.0001,3,2,14,7,active
1.01.0001,#Beatrice_Ado,6,2,14,7,passive
1.01.0001,#Hero_Ado,6,2,14,7,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,3,2,14,7,passive
#MESSENGERS.LEONATO.1_Ado,1.01.0001,3,4,29,8,active
1.01.0001,#Beatrice_Ado,7,4,29,8,passive
1.01.0001,#Hero_Ado,7,4,29,8,passive
1.01.0001,#Leonato_Ado,3,4,29,8,passive
#Leonato_Ado,1.01.0001,4,1,6,9,active
1.01.0001,#Beatrice_Ado,8,1,6,9,passive
1.01.0001,#Hero_Ado,8,1,6,9,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,4,1,6,9,passive
#MESSENGERS.LEONATO.1_Ado,1.01.0001,4,1,3,10,active
1.01.0001,#Beatrice_Ado,9,1,3,10,passive
1.01.0001,#Hero_Ado,9,1,3,10,passive
1.01.0001,#Leonato_Ado,4,1,3,10,passive
#Leonato_Ado,1.01.0001,5,4,30,11,active
1.01.0001,#Beatrice_Ado,10,4,30,11,passive
1.01.0001,#Hero_Ado,10,4,30,11,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,5,4,30,11,passive
#Beatrice_Ado,1.01.0001,0,2,12,12,active
1.01.0001,#Hero_Ado,11,2,12,12,passive
1.01.0001,#Leonato_Ado,5,2,12,12,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,6,2,12,12,passive
#MESSENGERS.LEONATO.1_Ado,1.01.0001,5,2,17,13,active
1.01.0001,#Beatrice_Ado,11,2,17,13,passive
1.01.0001,#Hero_Ado,12,2,17,13,passive
1.01.0001,#Leonato_Ado,6,2,17,13,passive
#Leonato_Ado,1.01.0001,6,1,8,14,active
1.01.0001,#Beatrice_Ado,12,1,8,14,passive
1.01.0001,#Hero_Ado,13,1,8,14,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,7,1,8,14,passive
#Hero_Ado,1.01.0001,0,1,7,15,active
1.01.0001,#Beatrice_Ado,13,1,7,15,passive
1.01.0001,#Leonato_Ado,7,1,7,15,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,8,1,7,15,passive
#MESSENGERS.LEONATO.1_Ado,1.01.0001,6,2,10,16,active
1.01.0001,#Beatrice_Ado,14,2,10,16,passive
1.01.0001,#Hero_Ado,14,2,10,16,passive
1.01.0001,#Leonato_Ado,8,2,10,16,passive
#Beatrice_Ado,1.01.0001,1,7,59,17,active
1.01.0001,#Hero_Ado,15,7,59,17,passive
1.01.0001,#Leonato_Ado,9,7,59,17,passive
1.01.0001,#MESSENGERS.LEONATO.1_Ado,9,7,59,17,passive
