source,target,n_lines,n_tokens,edge_type
#ATTENDANTS.0.1_Ado,5.03.0065,1,4,active
#Antonio_Ado,2.01.0011,3,19,active
#Balthasar_Ado,2.01.0011,2,8,active
#Balthasar_Ado,2.03.0024,26,172,active
#Beatrice_Ado,1.01.0001,39,315,active
#Beatrice_Ado,1.01.0002,17,127,active
#Beatrice_Ado,2.01.0010,59,526,active
#Beatrice_Ado,2.01.0011,22,183,active
#Beatrice_Ado,2.01.0018,33,276,active
#Beatrice_Ado,2.03.0027,8,63,active
#Beatrice_Ado,3.01.0032,10,80,active
#Beatrice_Ado,3.04.0042,18,120,active
#Beatrice_Ado,4.01.0047,1,8,active
#Beatrice_Ado,4.01.0048,6,38,active
#Beatrice_Ado,4.01.0049,49,374,active
#Beatrice_Ado,5.02.0061,22,161,active
#Beatrice_Ado,5.02.0063,1,7,active
#Beatrice_Ado,5.04.0071,10,81,active
#Benedick_Ado,1.01.0002,17,131,active
#Benedick_Ado,1.01.0003,31,266,active
#Benedick_Ado,1.01.0004,49,411,active
#Benedick_Ado,2.01.0011,12,54,active
#Benedick_Ado,2.01.0014,14,96,active
#Benedick_Ado,2.01.0015,8,81,active
#Benedick_Ado,2.01.0016,40,363,active
#Benedick_Ado,2.01.0017,11,97,active
#Benedick_Ado,2.03.0021,1,1,active
#Benedick_Ado,2.03.0022,4,27,active
#Benedick_Ado,2.03.0023,29,298,active
#Benedick_Ado,2.03.0024,9,74,active
#Benedick_Ado,2.03.0025,5,30,active
#Benedick_Ado,2.03.0026,26,259,active
#Benedick_Ado,2.03.0027,2,15,active
#Benedick_Ado,2.03.0028,7,81,active
#Benedick_Ado,3.02.0033,9,57,active
#Benedick_Ado,4.01.0047,3,19,active
#Benedick_Ado,4.01.0048,15,106,active
#Benedick_Ado,4.01.0049,33,206,active
#Benedick_Ado,5.01.0054,24,196,active
#Benedick_Ado,5.02.0059,15,99,active
#Benedick_Ado,5.02.0060,16,126,active
#Benedick_Ado,5.02.0061,31,240,active
#Benedick_Ado,5.02.0063,3,26,active
#Benedick_Ado,5.04.0067,2,18,active
#Benedick_Ado,5.04.0068,10,81,active
#Benedick_Ado,5.04.0070,4,35,active
#Benedick_Ado,5.04.0071,30,252,active
#Benedick_Ado,5.04.0072,3,16,active
#Borachio_Ado,1.03.0009,16,102,active
#Borachio_Ado,2.01.0012,4,22,active
#Borachio_Ado,2.02.0020,37,299,active
#Borachio_Ado,3.03.0037,50,360,active
#Borachio_Ado,3.03.0039,2,15,active
#Borachio_Ado,4.02.0050,4,15,active
#Borachio_Ado,5.01.0056,17,138,active
#Borachio_Ado,5.01.0057,6,46,active
#Boy_Ado,2.03.0022,2,6,active
#Claudio_Ado,1.01.0003,11,77,active
#Claudio_Ado,1.01.0004,12,77,active
#Claudio_Ado,1.01.0005,16,123,active
#Claudio_Ado,2.01.0012,2,13,active
#Claudio_Ado,2.01.0013,11,85,active
#Claudio_Ado,2.01.0014,5,23,active
#Claudio_Ado,2.01.0018,7,49,active
#Claudio_Ado,2.01.0019,3,17,active
#Claudio_Ado,2.03.0024,4,31,active
#Claudio_Ado,2.03.0025,34,228,active
#Claudio_Ado,3.02.0033,19,137,active
#Claudio_Ado,3.02.0034,3,27,active
#Claudio_Ado,3.02.0035,9,45,active
#Claudio_Ado,4.01.0047,58,431,active
#Claudio_Ado,5.01.0053,7,43,active
#Claudio_Ado,5.01.0054,28,200,active
#Claudio_Ado,5.01.0055,5,34,active
#Claudio_Ado,5.01.0056,6,46,active
#Claudio_Ado,5.01.0057,9,57,active
#Claudio_Ado,5.01.0058,1,5,active
#Claudio_Ado,5.03.0064,1,6,active
#Claudio_Ado,5.03.0065,12,75,active
#Claudio_Ado,5.03.0066,2,17,active
#Claudio_Ado,5.04.0069,1,8,active
#Claudio_Ado,5.04.0070,6,50,active
#Claudio_Ado,5.04.0071,14,108,active
#Conrade_Ado,1.03.0008,13,101,active
#Conrade_Ado,1.03.0009,1,5,active
#Conrade_Ado,3.03.0037,15,99,active
#Conrade_Ado,3.03.0039,2,11,active
#Conrade_Ado,4.02.0050,4,21,active
#Conrade_Ado,4.02.0051,2,11,active
#Dogberry_Ado,3.03.0036,65,567,active
#Dogberry_Ado,3.03.0039,3,16,active
#Dogberry_Ado,3.05.0044,31,254,active
#Dogberry_Ado,3.05.0046,7,61,active
#Dogberry_Ado,4.02.0050,31,213,active
#Dogberry_Ado,4.02.0051,18,164,active
#Dogberry_Ado,5.01.0056,13,102,active
#Dogberry_Ado,5.01.0057,20,164,active
#DonJohn_Ado,1.01.0002,2,13,active
#DonJohn_Ado,1.03.0008,25,231,active
#DonJohn_Ado,1.03.0009,17,122,active
#DonJohn_Ado,2.01.0012,11,84,active
#DonJohn_Ado,2.02.0020,19,115,active
#DonJohn_Ado,3.02.0035,37,275,active
#DonJohn_Ado,4.01.0047,8,60,active
#DonPedro_Ado,1.01.0002,16,127,active
#DonPedro_Ado,1.01.0004,23,156,active
#DonPedro_Ado,1.01.0005,24,196,active
#DonPedro_Ado,2.01.0011,7,37,active
#DonPedro_Ado,2.01.0016,10,63,active
#DonPedro_Ado,2.01.0017,2,11,active
#DonPedro_Ado,2.01.0018,18,131,active
#DonPedro_Ado,2.01.0019,26,226,active
#DonPedro_Ado,2.03.0024,19,121,active
#DonPedro_Ado,2.03.0025,45,361,active
#DonPedro_Ado,3.02.0033,36,302,active
#DonPedro_Ado,3.02.0034,1,9,active
#DonPedro_Ado,3.02.0035,9,42,active
#DonPedro_Ado,4.01.0047,13,87,active
#DonPedro_Ado,5.01.0053,10,63,active
#DonPedro_Ado,5.01.0054,31,248,active
#DonPedro_Ado,5.01.0055,6,48,active
#DonPedro_Ado,5.01.0056,15,105,active
#DonPedro_Ado,5.01.0057,4,25,active
#DonPedro_Ado,5.01.0058,1,4,active
#DonPedro_Ado,5.03.0065,5,41,active
