node1,node2,count
#ATTENDANTS_Oth,#ATTENDANTS.0_Oth,2
#ATTENDANTS_Oth,#Cassio_Oth,9
#ATTENDANTS_Oth,#Desdemona_Oth,6
#ATTENDANTS_Oth,#Emilia_Oth,2
#ATTENDANTS_Oth,#GENTLEMEN.1_Oth,1
#ATTENDANTS_Oth,#GENTLEMEN.3_Oth,1
#ATTENDANTS_Oth,#Lodovico_Oth,4
#ATTENDANTS_Oth,#MESSENGERS.X.2_Oth,1
#ATTENDANTS_Oth,#Montano_Oth,3
#ATTENDANTS_Oth,#OFFICERS.0_Oth,1
#ATTENDANTS_Oth,#OFFICERS_Oth,4
#ATTENDANTS_Oth,#Othello_Oth,12
#ATTENDANTS_Oth,#SERVANTS_Oth,3
#Bianca_Oth,#Gratiano_Oth,7
#Bianca_Oth,#Lodovico_Oth,4
#Brabantio_Oth,#ATTENDANTS_Oth,1
#Brabantio_Oth,#Cassio_Oth,4
#Brabantio_Oth,#Desdemona_Oth,1
#Brabantio_Oth,#Duke_Oth,3
#Brabantio_Oth,#OFFICERS.0.1_Oth,3
#Brabantio_Oth,#OFFICERS.0_Oth,3
#Brabantio_Oth,#OFFICERS_Oth,4
#Brabantio_Oth,#Othello_Oth,4
#Brabantio_Oth,#SENATORS.0.1_Oth,3
#Brabantio_Oth,#SENATORS.0.2_Oth,3
#Brabantio_Oth,#SENATORS_Oth,3
#Brabantio_Oth,#SERVANTS.BRABANTIO_Oth,1
#Cassio_Oth,#ATTENDANTS.0_Oth,3
#Cassio_Oth,#Bianca_Oth,8
#Cassio_Oth,#Clown_Oth,3
#Cassio_Oth,#Desdemona_Oth,17
#Cassio_Oth,#Duke_Oth,4
#Cassio_Oth,#Emilia_Oth,13
#Cassio_Oth,#GENTLEMEN.1_Oth,7
#Cassio_Oth,#GENTLEMEN.2_Oth,4
#Cassio_Oth,#GENTLEMEN.3_Oth,7
#Cassio_Oth,#GENTLEMEN_Oth,1
#Cassio_Oth,#Gratiano_Oth,7
#Cassio_Oth,#Lodovico_Oth,4
#Cassio_Oth,#MESSENGERS.X.2_Oth,6
#Cassio_Oth,#MUSICIANS.0.1_Oth,5
#Cassio_Oth,#MUSICIANS_Oth,3
#Cassio_Oth,#Montano_Oth,15
#Cassio_Oth,#OFFICERS.0.1_Oth,4
#Cassio_Oth,#OFFICERS.0_Oth,4
#Cassio_Oth,#OFFICERS_Oth,9
#Cassio_Oth,#SENATORS.0.1_Oth,4
#Cassio_Oth,#SENATORS.0.2_Oth,4
#Cassio_Oth,#SENATORS_Oth,4
#Cassio_Oth,#SERVANTS_Oth,6
#Desdemona_Oth,#ATTENDANTS.0_Oth,2
#Desdemona_Oth,#Bianca_Oth,5
#Desdemona_Oth,#Clown_Oth,1
#Desdemona_Oth,#Emilia_Oth,26
#Desdemona_Oth,#GENTLEMEN.1_Oth,3
#Desdemona_Oth,#GENTLEMEN.2_Oth,1
#Desdemona_Oth,#GENTLEMEN.3_Oth,3
#Desdemona_Oth,#Gratiano_Oth,5
#Desdemona_Oth,#Lodovico_Oth,3
#Desdemona_Oth,#MESSENGERS.X.2_Oth,3
#Desdemona_Oth,#Montano_Oth,8
#Desdemona_Oth,#SERVANTS_Oth,2
#Duke_Oth,#Desdemona_Oth,2
#Duke_Oth,#MESSENGERS.X.1_Oth,1
#Duke_Oth,#OFFICERS.0.1_Oth,8
#Duke_Oth,#SENATORS.0.1_Oth,11
#Duke_Oth,#SENATORS.0.2_Oth,10
#Duke_Oth,#SENATORS_Oth,12
#Duke_Oth,#Sailor_Oth,2
#Emilia_Oth,#Bianca_Oth,6
#Emilia_Oth,#Clown_Oth,1
#Emilia_Oth,#GENTLEMEN.1_Oth,3
#Emilia_Oth,#GENTLEMEN.2_Oth,1
#Emilia_Oth,#GENTLEMEN.3_Oth,3
#Emilia_Oth,#Gratiano_Oth,6
#Emilia_Oth,#Lodovico_Oth,3
#Emilia_Oth,#MESSENGERS.X.2_Oth,3
#Emilia_Oth,#MUSICIANS.0.1_Oth,1
#Emilia_Oth,#Montano_Oth,7
#GENTLEMEN.1_Oth,#GENTLEMEN.2_Oth,6
#GENTLEMEN.1_Oth,#GENTLEMEN.3_Oth,8
#GENTLEMEN.1_Oth,#MESSENGERS.X.2_Oth,6
#GENTLEMEN.1_Oth,#Montano_Oth,9
#GENTLEMEN.2_Oth,#GENTLEMEN.3_Oth,5
#GENTLEMEN.2_Oth,#MESSENGERS.X.2_Oth,3
#GENTLEMEN.2_Oth,#Montano_Oth,6
#GENTLEMEN.3_Oth,#MESSENGERS.X.2_Oth,6
#GENTLEMEN.3_Oth,#Montano_Oth,8
#GENTLEMEN_Oth,#GENTLEMEN.0.1_Oth,1
#GENTLEMEN_Oth,#SERVANTS_Oth,2
#Iago_Oth,#ATTENDANTS.0_Oth,6
#Iago_Oth,#ATTENDANTS_Oth,12
#Iago_Oth,#Bianca_Oth,6
#Iago_Oth,#Brabantio_Oth,4
#Iago_Oth,#Cassio_Oth,30
#Iago_Oth,#Desdemona_Oth,16
#Iago_Oth,#Duke_Oth,3
#Iago_Oth,#Emilia_Oth,12
#Iago_Oth,#GENTLEMEN.0.1_Oth,1
#Iago_Oth,#GENTLEMEN.1_Oth,3
#Iago_Oth,#GENTLEMEN.2_Oth,1
#Iago_Oth,#GENTLEMEN.3_Oth,3
#Iago_Oth,#GENTLEMEN_Oth,4
#Iago_Oth,#Gratiano_Oth,7
#Iago_Oth,#Lodovico_Oth,8
#Iago_Oth,#MESSENGERS.X.2_Oth,3
#Iago_Oth,#MUSICIANS.0.1_Oth,1
#Iago_Oth,#Montano_Oth,15
#Iago_Oth,#OFFICERS.0.1_Oth,6
#Iago_Oth,#OFFICERS.0_Oth,7
#Iago_Oth,#OFFICERS_Oth,8
#Iago_Oth,#Othello_Oth,30
#Iago_Oth,#Roderigo_Oth,21
#Iago_Oth,#SENATORS.0.1_Oth,6
#Iago_Oth,#SENATORS.0.2_Oth,6
#Iago_Oth,#SENATORS_Oth,3
#Iago_Oth,#SERVANTS_Oth,10
#Lodovico_Oth,#Gratiano_Oth,6
#MESSENGERS.X.2_Oth,#Montano_Oth,6
#MUSICIANS.0.1_Oth,#Clown_Oth,2
#MUSICIANS.0.1_Oth,#MUSICIANS_Oth,1
#MUSICIANS_Oth,#Clown_Oth,2
#Montano_Oth,#ATTENDANTS.0_Oth,1
#Montano_Oth,#Bianca_Oth,3
#Montano_Oth,#GENTLEMEN_Oth,2
#Montano_Oth,#Gratiano_Oth,4
#Montano_Oth,#Lodovico_Oth,1
#Montano_Oth,#SERVANTS_Oth,9
#OFFICERS.0.1_Oth,#Desdemona_Oth,3
#OFFICERS.0.1_Oth,#MESSENGERS.X.1_Oth,1
#OFFICERS.0.1_Oth,#SENATORS.0.1_Oth,11
#OFFICERS.0.1_Oth,#SENATORS.0.2_Oth,11
#OFFICERS.0.1_Oth,#SENATORS_Oth,8
#OFFICERS.0.1_Oth,#Sailor_Oth,1
#OFFICERS.0_Oth,#Desdemona_Oth,3
#OFFICERS.0_Oth,#Duke_Oth,3
#OFFICERS.0_Oth,#OFFICERS.0.1_Oth,6
#OFFICERS.0_Oth,#SENATORS.0.1_Oth,6
#OFFICERS.0_Oth,#SENATORS.0.2_Oth,6
#OFFICERS.0_Oth,#SENATORS_Oth,3
#OFFICERS_Oth,#Bianca_Oth,1
#OFFICERS_Oth,#Desdemona_Oth,3
#OFFICERS_Oth,#Duke_Oth,12
#OFFICERS_Oth,#Emilia_Oth,1
#OFFICERS_Oth,#Gratiano_Oth,1
#OFFICERS_Oth,#Lodovico_Oth,1
#OFFICERS_Oth,#MESSENGERS.X.1_Oth,1
#OFFICERS_Oth,#Montano_Oth,1
#OFFICERS_Oth,#OFFICERS.0.1_Oth,8
#OFFICERS_Oth,#OFFICERS.0_Oth,4
#OFFICERS_Oth,#SENATORS.0.1_Oth,11
#OFFICERS_Oth,#SENATORS.0.2_Oth,10
#OFFICERS_Oth,#SENATORS_Oth,12
#OFFICERS_Oth,#Sailor_Oth,2
#Othello_Oth,#ATTENDANTS.0_Oth,2
#Othello_Oth,#Bianca_Oth,6
#Othello_Oth,#Cassio_Oth,23
#Othello_Oth,#Desdemona_Oth,24
#Othello_Oth,#Duke_Oth,4
#Othello_Oth,#Emilia_Oth,16
#Othello_Oth,#GENTLEMEN.0.1_Oth,1
#Othello_Oth,#GENTLEMEN.1_Oth,1
#Othello_Oth,#GENTLEMEN.3_Oth,1
#Othello_Oth,#GENTLEMEN_Oth,2
#Othello_Oth,#Gratiano_Oth,5
#Othello_Oth,#Lodovico_Oth,4
#Othello_Oth,#MESSENGERS.X.2_Oth,1
#Othello_Oth,#Montano_Oth,7
#Othello_Oth,#OFFICERS.0.1_Oth,5
#Othello_Oth,#OFFICERS.0_Oth,5
#Othello_Oth,#OFFICERS_Oth,8
