act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Iago_Oth,#Iago_Oth #Roderigo_Oth,550,78
1,1,1,#Roderigo_Oth,#Iago_Oth #Roderigo_Oth,80,10
1,1,2,#Brabantio_Oth,#Brabantio_Oth #Iago_Oth #Roderigo_Oth,161,25
1,1,2,#Iago_Oth,#Brabantio_Oth #Iago_Oth #Roderigo_Oth,141,19
1,1,2,#Roderigo_Oth,#Brabantio_Oth #Iago_Oth #Roderigo_Oth,208,28
1,1,3,#Iago_Oth,#Iago_Oth #Roderigo_Oth,134,17
1,1,4,#Brabantio_Oth,#Brabantio_Oth #Roderigo_Oth #SERVANTS.BRABANTIO_Oth,177,25
1,1,4,#Roderigo_Oth,#Brabantio_Oth #Roderigo_Oth #SERVANTS.BRABANTIO_Oth,28,4
1,2,5,#Iago_Oth,#ATTENDANTS_Oth #Iago_Oth #Othello_Oth,151,21
1,2,5,#Othello_Oth,#ATTENDANTS_Oth #Iago_Oth #Othello_Oth,119,17
1,2,6,#Cassio_Oth,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth #Othello_Oth,85,13
1,2,6,#Othello_Oth,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth #Othello_Oth,47,7
1,2,7,#Cassio_Oth,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth,11,3
1,2,7,#Iago_Oth,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth,20,4
1,2,8,#Cassio_Oth,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth #Othello_Oth,8,1
1,2,8,#Iago_Oth,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth #Othello_Oth,5,1
1,2,8,#Othello_Oth,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth #Othello_Oth,3,1
1,2,9,#Brabantio_Oth,#ATTENDANTS_Oth #Brabantio_Oth #Cassio_Oth #Iago_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth,235,33
1,2,9,#Iago_Oth,#ATTENDANTS_Oth #Brabantio_Oth #Cassio_Oth #Iago_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth,19,3
1,2,9,#OFFICERS_Oth,#ATTENDANTS_Oth #Brabantio_Oth #Cassio_Oth #Iago_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth,19,3
1,2,9,#Othello_Oth,#ATTENDANTS_Oth #Brabantio_Oth #Cassio_Oth #Iago_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth,93,15
1,2,9,#Roderigo_Oth,#ATTENDANTS_Oth #Brabantio_Oth #Cassio_Oth #Iago_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth,5,1
1,3,10,#Duke_Oth,#Duke_Oth #OFFICERS_Oth #SENATORS_Oth,10,2
1,3,11,#Duke_Oth,#Duke_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS_Oth,5,1
1,3,11,#SENATORS.0.1_Oth,#Duke_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS_Oth,12,2
