node1,node2,n_lines,n_tokens
#Brabantio_Oth,1.01,206,1479
#Iago_Oth,1.01,206,1479
#Roderigo_Oth,1.01,206,1479
#SERVANTS.BRABANTIO_Oth,1.01,206,1479
#ATTENDANTS_Oth,1.02,123,820
#Brabantio_Oth,1.02,123,820
#Cassio_Oth,1.02,123,820
#Iago_Oth,1.02,123,820
#OFFICERS.0_Oth,1.02,123,820
#OFFICERS_Oth,1.02,123,820
#Othello_Oth,1.02,123,820
#Roderigo_Oth,1.02,123,820
#Brabantio_Oth,1.03,447,3215
#Cassio_Oth,1.03,447,3215
#Desdemona_Oth,1.03,447,3215
#Duke_Oth,1.03,447,3215
#Iago_Oth,1.03,447,3215
#MESSENGERS.X.1_Oth,1.03,447,3215
#OFFICERS.0.1_Oth,1.03,447,3215
#OFFICERS.0_Oth,1.03,447,3215
#OFFICERS_Oth,1.03,447,3215
#Othello_Oth,1.03,447,3215
#Roderigo_Oth,1.03,447,3215
#SENATORS.0.1_Oth,1.03,447,3215
#SENATORS.0.2_Oth,1.03,447,3215
#SENATORS_Oth,1.03,447,3215
#Sailor_Oth,1.03,447,3215
#ATTENDANTS_Oth,2.01,334,2493
#Cassio_Oth,2.01,334,2493
#Desdemona_Oth,2.01,334,2493
#Emilia_Oth,2.01,334,2493
#GENTLEMEN.1_Oth,2.01,334,2493
#GENTLEMEN.2_Oth,2.01,334,2493
#GENTLEMEN.3_Oth,2.01,334,2493
#Iago_Oth,2.01,334,2493
#MESSENGERS.X.2_Oth,2.01,334,2493
#Montano_Oth,2.01,334,2493
#Othello_Oth,2.01,334,2493
#Roderigo_Oth,2.01,334,2493
#Herald_Oth,2.02,12,101
#ATTENDANTS.0_Oth,2.03,410,2948
#ATTENDANTS_Oth,2.03,410,2948
#Cassio_Oth,2.03,410,2948
#Desdemona_Oth,2.03,410,2948
#GENTLEMEN_Oth,2.03,410,2948
#Iago_Oth,2.03,410,2948
#Montano_Oth,2.03,410,2948
#Othello_Oth,2.03,410,2948
#Roderigo_Oth,2.03,410,2948
#SERVANTS_Oth,2.03,410,2948
#Cassio_Oth,3.01,65,441
#Clown_Oth,3.01,65,441
#Emilia_Oth,3.01,65,441
#Iago_Oth,3.01,65,441
#MUSICIANS.0.1_Oth,3.01,65,441
#MUSICIANS_Oth,3.01,65,441
#GENTLEMEN.0.1_Oth,3.02,7,48
#GENTLEMEN_Oth,3.02,7,48
#Iago_Oth,3.02,7,48
#Othello_Oth,3.02,7,48
#Cassio_Oth,3.03,546,3875
#Desdemona_Oth,3.03,546,3875
#Emilia_Oth,3.03,546,3875
#Iago_Oth,3.03,546,3875
#Othello_Oth,3.03,546,3875
#Bianca_Oth,3.04,231,1565
#Cassio_Oth,3.04,231,1565
#Clown_Oth,3.04,231,1565
#Desdemona_Oth,3.04,231,1565
#Emilia_Oth,3.04,231,1565
#Iago_Oth,3.04,231,1565
#Othello_Oth,3.04,231,1565
#ATTENDANTS_Oth,4.01,323,2151
#Bianca_Oth,4.01,323,2151
#Cassio_Oth,4.01,323,2151
#Desdemona_Oth,4.01,323,2151
#Iago_Oth,4.01,323,2151
#Lodovico_Oth,4.01,323,2151
#Othello_Oth,4.01,323,2151
#Desdemona_Oth,4.02,277,1980
#Emilia_Oth,4.02,277,1980
#Iago_Oth,4.02,277,1980
#Othello_Oth,4.02,277,1980
#Roderigo_Oth,4.02,277,1980
#ATTENDANTS_Oth,4.03,117,860
#Desdemona_Oth,4.03,117,860
#Emilia_Oth,4.03,117,860
#Lodovico_Oth,4.03,117,860
#Othello_Oth,4.03,117,860
#Bianca_Oth,5.01,151,995
#Cassio_Oth,5.01,151,995
#Emilia_Oth,5.01,151,995
#Gratiano_Oth,5.01,151,995
#Iago_Oth,5.01,151,995
#Lodovico_Oth,5.01,151,995
#Othello_Oth,5.01,151,995
#Roderigo_Oth,5.01,151,995
#Bianca_Oth,5.02,435,2957
#Cassio_Oth,5.02,435,2957
#Desdemona_Oth,5.02,435,2957
#Emilia_Oth,5.02,435,2957
#Gratiano_Oth,5.02,435,2957
#Iago_Oth,5.02,435,2957
#Lodovico_Oth,5.02,435,2957
#Montano_Oth,5.02,435,2957
#OFFICERS_Oth,5.02,435,2957
#Othello_Oth,5.02,435,2957
