node,node_type
#ATTENDANTS.0_Oth,character
#ATTENDANTS_Oth,character
#Bianca_Oth,character
#Brabantio_Oth,character
#Cassio_Oth,character
#Clown_Oth,character
#Desdemona_Oth,character
#Duke_Oth,character
#Emilia_Oth,character
#GENTLEMEN.0.1_Oth,character
#GENTLEMEN.1_Oth,character
#GENTLEMEN.2_Oth,character
#GENTLEMEN.3_Oth,character
#GENTLEMEN_Oth,character
#Gratiano_Oth,character
#Herald_Oth,character
#Iago_Oth,character
#Lodovico_Oth,character
#MESSENGERS.X.1_Oth,character
#MESSENGERS.X.2_Oth,character
#MUSICIANS.0.1_Oth,character
#MUSICIANS_Oth,character
#Montano_Oth,character
#OFFICERS.0.1_Oth,character
#OFFICERS.0_Oth,character
#OFFICERS_Oth,character
#Othello_Oth,character
#Roderigo_Oth,character
#SENATORS.0.1_Oth,character
#SENATORS.0.2_Oth,character
#SENATORS_Oth,character
#SERVANTS.BRABANTIO_Oth,character
#SERVANTS_Oth,character
#Sailor_Oth,character
1.01,text_unit
1.02,text_unit
1.03,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
3.04,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
5.01,text_unit
5.02,text_unit
