source,target,key,n_lines,n_tokens,edge_index,edge_type
#Roderigo_Oth,1.01.0001,0,3,27,1,active
1.01.0001,#Iago_Oth,0,3,27,1,passive
#Iago_Oth,1.01.0001,0,3,17,2,active
1.01.0001,#Roderigo_Oth,0,3,17,2,passive
#Roderigo_Oth,1.01.0001,1,1,10,3,active
1.01.0001,#Iago_Oth,1,1,10,3,passive
#Iago_Oth,1.01.0001,1,28,194,4,active
1.01.0001,#Roderigo_Oth,1,28,194,4,passive
#Roderigo_Oth,1.01.0001,2,1,9,5,active
1.01.0001,#Iago_Oth,2,1,9,5,passive
#Iago_Oth,1.01.0001,2,6,45,6,active
1.01.0001,#Roderigo_Oth,2,6,45,6,passive
#Roderigo_Oth,1.01.0001,3,1,6,7,active
1.01.0001,#Iago_Oth,3,1,6,7,passive
#Iago_Oth,1.01.0001,3,28,204,8,active
1.01.0001,#Roderigo_Oth,3,28,204,8,passive
#Roderigo_Oth,1.01.0001,4,2,14,9,active
1.01.0001,#Iago_Oth,4,2,14,9,passive
#Iago_Oth,1.01.0001,4,7,52,10,active
1.01.0001,#Roderigo_Oth,4,7,52,10,passive
#Roderigo_Oth,1.01.0001,5,1,8,11,active
1.01.0001,#Iago_Oth,5,1,8,11,passive
#Iago_Oth,1.01.0001,5,3,21,12,active
1.01.0001,#Roderigo_Oth,5,3,21,12,passive
#Roderigo_Oth,1.01.0001,6,1,6,13,active
1.01.0001,#Iago_Oth,6,1,6,13,passive
#Iago_Oth,1.01.0001,6,3,17,14,active
1.01.0001,#Roderigo_Oth,6,3,17,14,passive
#Brabantio_Oth,1.01.0002,0,2,13,15,active
1.01.0002,#Iago_Oth,0,2,13,15,passive
1.01.0002,#Roderigo_Oth,0,2,13,15,passive
#Roderigo_Oth,1.01.0002,0,1,6,16,active
1.01.0002,#Brabantio_Oth,0,1,6,16,passive
1.01.0002,#Iago_Oth,1,1,6,16,passive
#Iago_Oth,1.01.0002,0,1,4,17,active
