node1,node2,count
#ATTENDANTS.PERICLES.1_Per,#Helicanus_Per,1
#ATTENDANTS.PERICLES.1_Per,#LORDS.TYRE.0.1_Per,1
#ATTENDANTS.PERICLES.1_Per,#LORDS.TYRE.0.2_Per,1
#ATTENDANTS.PERICLES.1_Per,#LORDS.TYRE_Per,1
#ATTENDANTS.PERICLES_Per,#CITIZENS.TARSUS_Per,1
#ATTENDANTS.PERICLES_Per,#Cerimon_Per,1
#ATTENDANTS.PERICLES_Per,#Cleon_Per,1
#ATTENDANTS.PERICLES_Per,#Companion_Per,1
#ATTENDANTS.PERICLES_Per,#Diana_Per,1
#ATTENDANTS.PERICLES_Per,#Dionyza_Per,1
#ATTENDANTS.PERICLES_Per,#GENTLEMEN.TYRE.0.1_Per,1
#ATTENDANTS.PERICLES_Per,#GENTLEMEN.TYRE_Per,1
#ATTENDANTS.PERICLES_Per,#LORDS.MYTILENE.0.1_Per,1
#ATTENDANTS.PERICLES_Per,#LORDS.MYTILENE_Per,1
#ATTENDANTS.PERICLES_Per,#LORDS.TARSUS.1_Per,1
#ATTENDANTS.PERICLES_Per,#Lysimachus_Per,2
#ATTENDANTS.PERICLES_Per,#Marina_Per,2
#ATTENDANTS.PERICLES_Per,#PRIESTESSES_Per,1
#ATTENDANTS.PERICLES_Per,#SAILORS.MYTILENE.1_Per,1
#ATTENDANTS.PERICLES_Per,#SAILORS.TYRE.1_Per,1
#ATTENDANTS.PERICLES_Per,#Thaisa_Per,1
#ATTENDANTS.SIMONIDES_Per,#KNIGHTS.0.1_Per,1
#ATTENDANTS.SIMONIDES_Per,#KNIGHTS_Per,1
#ATTENDANTS.SIMONIDES_Per,#LADIES.PENTAPOLIS_Per,1
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS.0.1_Per,1
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS.0.2_Per,1
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS.0.3_Per,1
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS_Per,2
#ATTENDANTS.SIMONIDES_Per,#Marshal_Per,1
#ATTENDANTS.SIMONIDES_Per,#Simonides_Per,2
#ATTENDANTS.SIMONIDES_Per,#Thaisa_Per,2
#Antiochus_Per,#Daughter_Per,1
#Antiochus_Per,#FOLLOWERS.ANTIOCHUS_Per,1
#Antiochus_Per,#MESSENGERS.ANTIOCH.1_Per,1
#Antiochus_Per,#Pericles_Per,1
#Antiochus_Per,#Thaliard_Per,1
#Bawd_Per,#Bolt_Per,2
#Bawd_Per,#Pander_Per,2
#Bolt_Per,#Pander_Per,2
#CITIZENS.TARSUS_Per,#Cleon_Per,1
#CITIZENS.TARSUS_Per,#Dionyza_Per,1
#CITIZENS.TARSUS_Per,#LORDS.TARSUS.1_Per,1
#Cerimon_Per,#GENTLEMEN.EPHESUS.1_Per,1
#Cerimon_Per,#GENTLEMEN.EPHESUS.2_Per,1
#Cerimon_Per,#PRIESTESSES_Per,1
#Cerimon_Per,#Philemon_Per,1
#Cerimon_Per,#SERVANTS.CERIMON.0.1_Per,1
#Cerimon_Per,#SERVANTS.CERIMON.0.2_Per,1
#Cerimon_Per,#SERVANTS.CERIMON_Per,1
#Cerimon_Per,#SUPPLIANTS.1_Per,1
#Cerimon_Per,#SUPPLIANTS.2_Per,1
#Cleon_Per,#Dionyza_Per,3
#Cleon_Per,#LORDS.TARSUS.1_Per,1
#Cleon_Per,#Lychorida_Per,1
#Cleon_Per,#Marina.Infant_Per,1
#Companion_Per,#Diana_Per,1
#Companion_Per,#GENTLEMEN.TYRE.0.1_Per,1
#Companion_Per,#GENTLEMEN.TYRE_Per,1
#Companion_Per,#LORDS.MYTILENE.0.1_Per,1
#Companion_Per,#LORDS.MYTILENE_Per,1
#Companion_Per,#Lysimachus_Per,1
#Companion_Per,#Marina_Per,1
#Companion_Per,#SAILORS.MYTILENE.1_Per,1
#Companion_Per,#SAILORS.TYRE.1_Per,1
#Daughter_Per,#FOLLOWERS.ANTIOCHUS_Per,1
#Daughter_Per,#MESSENGERS.ANTIOCH.1_Per,1
#Daughter_Per,#Pericles_Per,1
#Daughter_Per,#Thaliard_Per,1
#Diana_Per,#GENTLEMEN.TYRE.0.1_Per,1
#Diana_Per,#GENTLEMEN.TYRE_Per,1
#Diana_Per,#LORDS.MYTILENE.0.1_Per,1
#Diana_Per,#LORDS.MYTILENE_Per,1
#Diana_Per,#Lysimachus_Per,1
#Diana_Per,#Marina_Per,1
#Diana_Per,#SAILORS.MYTILENE.1_Per,1
#Diana_Per,#SAILORS.TYRE.1_Per,1
#Dionyza_Per,#LORDS.TARSUS.1_Per,1
#Dionyza_Per,#Leonine_Per,1
#Dionyza_Per,#Lychorida_Per,1
#Dionyza_Per,#Marina.Infant_Per,1
#Dionyza_Per,#Marina_Per,1
#Dionyza_Per,#PIRATES.0.1_Per,1
#Dionyza_Per,#PIRATES.0.2_Per,1
#Dionyza_Per,#PIRATES.0.3_Per,1
#Dionyza_Per,#PIRATES_Per,1
#FISHERMEN.1_Per,#FISHERMEN.2_Per,1
#FISHERMEN.1_Per,#FISHERMEN.3_Per,1
#FISHERMEN.2_Per,#FISHERMEN.3_Per,1
#FOLLOWERS.ANTIOCHUS_Per,#MESSENGERS.ANTIOCH.1_Per,1
#FOLLOWERS.ANTIOCHUS_Per,#Pericles_Per,1
#FOLLOWERS.ANTIOCHUS_Per,#Thaliard_Per,1
#GENTLEMEN.EPHESUS.1_Per,#GENTLEMEN.EPHESUS.2_Per,1
#GENTLEMEN.EPHESUS.1_Per,#Philemon_Per,1
#GENTLEMEN.EPHESUS.1_Per,#SERVANTS.CERIMON.0.1_Per,1
