act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,0,#Gower_Per,281,42,281,42
1,1,#Antiochus_Per,483,70,1154,158
1,1,#Daughter_Per,16,2,866,114
1,1,#MESSENGERS.ANTIOCH.1_Per,6,1,14,2
1,1,#Pericles_Per,801,102,1128,148
1,1,#Thaliard_Per,29,5,153,24
1,2,#Helicanus_Per,234,31,750,96
1,2,#LORDS.TYRE.0.1_Per,8,1,750,96
1,2,#LORDS.TYRE.0.2_Per,12,2,742,95
1,2,#Pericles_Per,776,99,1030,133
1,3,#Helicanus_Per,144,19,223,30
1,3,#Thaliard_Per,178,21,322,40
1,4,#CITIZENS.TARSUS_Per,11,2,839,110
1,4,#Cleon_Per,582,77,839,110
1,4,#Dionyza_Per,84,11,839,110
1,4,#LORDS.TARSUS.1_Per,48,7,187,27
1,4,#Pericles_Per,136,17,197,25
2,0,#Gower_Per,264,40,264,40
2,1,#FISHERMEN.1_Per,314,44,1220,161
2,1,#FISHERMEN.2_Per,222,32,1061,139
2,1,#FISHERMEN.3_Per,151,18,1061,139
2,1,#Pericles_Per,628,78,1315,172
2,2,#LORDS.PENTAPOLIS.0.1_Per,44,6,430,60
2,2,#LORDS.PENTAPOLIS.0.2_Per,15,2,59,8
2,2,#LORDS.PENTAPOLIS.0.3_Per,17,2,44,6
2,2,#Simonides_Per,201,28,438,61
2,2,#Thaisa_Per,161,23,438,61
2,3,#KNIGHTS.0.1_Per,23,3,720,98
2,3,#KNIGHTS_Per,19,3,901,123
2,3,#Marshal_Per,5,1,901,123
2,3,#Pericles_Per,179,23,901,123
2,3,#Simonides_Per,514,71,901,123
2,3,#Thaisa_Per,161,22,901,123
2,4,#Helicanus_Per,255,33,455,60
2,4,#LORDS.TYRE.0.1_Per,129,16,329,43
2,4,#LORDS.TYRE.0.2_Per,53,7,314,41
2,4,#LORDS.TYRE.0.3_Per,9,1,307,40
2,4,#LORDS.TYRE.Escanes_Per,6,2,455,60
2,4,#LORDS.TYRE_Per,3,1,329,43
2,5,#KNIGHTS.0.1_Per,6,1,694,96
2,5,#KNIGHTS.0.2_Per,9,1,653,91
2,5,#KNIGHTS.0.3_Per,8,1,602,85
2,5,#Pericles_Per,229,33,519,74
