act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,0,1,#Gower_Per,#Gower_Per,281,42
1,1,2,#Antiochus_Per,#Antiochus_Per #FOLLOWERS.ANTIOCHUS_Per #Pericles_Per,60,9
1,1,2,#Pericles_Per,#Antiochus_Per #FOLLOWERS.ANTIOCHUS_Per #Pericles_Per,21,3
1,1,3,#Antiochus_Per,#Antiochus_Per #Daughter_Per #FOLLOWERS.ANTIOCHUS_Per #Pericles_Per,251,35
1,1,3,#Daughter_Per,#Antiochus_Per #Daughter_Per #FOLLOWERS.ANTIOCHUS_Per #Pericles_Per,16,2
1,1,3,#Pericles_Per,#Antiochus_Per #Daughter_Per #FOLLOWERS.ANTIOCHUS_Per #Pericles_Per,599,77
1,1,4,#Pericles_Per,#Pericles_Per,181,22
1,1,5,#Antiochus_Per,#Antiochus_Per,54,8
1,1,6,#Antiochus_Per,#Antiochus_Per #Thaliard_Per,61,10
1,1,6,#Thaliard_Per,#Antiochus_Per #Thaliard_Per,8,2
1,1,7,#Antiochus_Per,#Antiochus_Per #MESSENGERS.ANTIOCH.1_Per #Thaliard_Per,8,1
1,1,7,#MESSENGERS.ANTIOCH.1_Per,#Antiochus_Per #MESSENGERS.ANTIOCH.1_Per #Thaliard_Per,6,1
1,1,8,#Antiochus_Per,#Antiochus_Per #Thaliard_Per,49,7
1,1,8,#Thaliard_Per,#Antiochus_Per #Thaliard_Per,21,3
1,2,9,#Pericles_Per,#ATTENDANTS.PERICLES.1_Per #Pericles_Per,4,1
1,2,10,#Pericles_Per,#Pericles_Per,276,36
1,2,11,#LORDS.TYRE.0.1_Per,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE_Per #Pericles_Per,8,1
1,2,12,#Helicanus_Per,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #LORDS.TYRE_Per #Pericles_Per,88,11
1,2,12,#LORDS.TYRE.0.2_Per,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #LORDS.TYRE_Per #Pericles_Per,12,2
1,2,12,#Pericles_Per,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #LORDS.TYRE_Per #Pericles_Per,22,3
1,2,13,#Helicanus_Per,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #Pericles_Per,146,20
1,2,13,#Pericles_Per,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #Pericles_Per,474,59
1,3,14,#Thaliard_Per,#Thaliard_Per,99,10
1,3,15,#Helicanus_Per,#Helicanus_Per #LORDS.TYRE_Per #Thaliard_Per,144,19
1,3,15,#Thaliard_Per,#Helicanus_Per #LORDS.TYRE_Per #Thaliard_Per,79,11
1,4,16,#Cleon_Per,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per,367,47
1,4,16,#Dionyza_Per,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per,73,9
1,4,17,#Cleon_Per,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per #LORDS.TARSUS.1_Per,139,20
1,4,17,#LORDS.TARSUS.1_Per,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per #LORDS.TARSUS.1_Per,48,7
1,4,18,#Cleon_Per,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per,15,2
1,4,19,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per,#ATTENDANTS.PERICLES_Per #CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per #Pericles_Per,11,2
1,4,19,#Cleon_Per,#ATTENDANTS.PERICLES_Per #CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per #Pericles_Per,50,6
1,4,19,#Pericles_Per,#ATTENDANTS.PERICLES_Per #CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per #Pericles_Per,136,17
2,0,20,#Gower_Per,#Gower_Per,264,40
2,1,21,#Pericles_Per,#Pericles_Per,95,11
2,1,22,#FISHERMEN.1_Per,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per,189,26
2,1,22,#FISHERMEN.2_Per,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per,124,20
2,1,22,#FISHERMEN.3_Per,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per,151,18
2,1,22,#Pericles_Per,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per,171,23
2,1,23,#FISHERMEN.1_Per,#FISHERMEN.1_Per #Pericles_Per,101,14
2,1,23,#Pericles_Per,#FISHERMEN.1_Per #Pericles_Per,58,8
2,1,24,#FISHERMEN.1_Per,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per,24,4
2,1,24,#FISHERMEN.2_Per,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per,98,12
2,1,24,#Pericles_Per,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per,304,36
2,2,25,#Simonides_Per,#ATTENDANTS.SIMONIDES_Per #LORDS.PENTAPOLIS_Per #Simonides_Per #Thaisa_Per,8,1
2,2,26,#LORDS.PENTAPOLIS.0.1_Per,#ATTENDANTS.SIMONIDES_Per #LORDS.PENTAPOLIS.0.1_Per #LORDS.PENTAPOLIS_Per #Simonides_Per #Thaisa_Per,44,6
2,2,26,#Simonides_Per,#ATTENDANTS.SIMONIDES_Per #LORDS.PENTAPOLIS.0.1_Per #LORDS.PENTAPOLIS_Per #Simonides_Per #Thaisa_Per,166,23
2,2,26,#Thaisa_Per,#ATTENDANTS.SIMONIDES_Per #LORDS.PENTAPOLIS.0.1_Per #LORDS.PENTAPOLIS_Per #Simonides_Per #Thaisa_Per,161,23
2,2,27,#LORDS.PENTAPOLIS.0.2_Per,#ATTENDANTS.SIMONIDES_Per #LORDS.PENTAPOLIS.0.1_Per #LORDS.PENTAPOLIS.0.2_Per #LORDS.PENTAPOLIS_Per #Simonides_Per #Thaisa_Per,15,2
