node,node_type
#ATTENDANTS.PERICLES.1_Per,character
#ATTENDANTS.PERICLES_Per,character
#ATTENDANTS.SIMONIDES_Per,character
#Antiochus_Per,character
#Bawd_Per,character
#Bolt_Per,character
#CITIZENS.TARSUS_Per,character
#Cerimon_Per,character
#Cleon_Per,character
#Companion_Per,character
#Daughter_Per,character
#Diana_Per,character
#Dionyza_Per,character
#FISHERMEN.1_Per,character
#FISHERMEN.2_Per,character
#FISHERMEN.3_Per,character
#FOLLOWERS.ANTIOCHUS_Per,character
#GENTLEMEN.EPHESUS.1_Per,character
#GENTLEMEN.EPHESUS.2_Per,character
#GENTLEMEN.MYTILENE.1_Per,character
#GENTLEMEN.MYTILENE.2_Per,character
#GENTLEMEN.TYRE.0.1_Per,character
#GENTLEMEN.TYRE_Per,character
#Gower_Per,character
#Helicanus_Per,character
#KNIGHTS.0.1_Per,character
#KNIGHTS.0.2_Per,character
#KNIGHTS.0.3_Per,character
#KNIGHTS_Per,character
#LADIES.PENTAPOLIS_Per,character
#LORDS.MYTILENE.0.1_Per,character
#LORDS.MYTILENE_Per,character
#LORDS.PENTAPOLIS.0.1_Per,character
#LORDS.PENTAPOLIS.0.2_Per,character
#LORDS.PENTAPOLIS.0.3_Per,character
#LORDS.PENTAPOLIS_Per,character
#LORDS.TARSUS.1_Per,character
#LORDS.TYRE.0.1_Per,character
#LORDS.TYRE.0.2_Per,character
#LORDS.TYRE.0.3_Per,character
#LORDS.TYRE.Escanes_Per,character
#LORDS.TYRE_Per,character
#Leonine_Per,character
#Lychorida_Per,character
#Lysimachus_Per,character
#MESSENGERS.ANTIOCH.1_Per,character
#Marina.Infant_Per,character
#Marina_Per,character
#Marshal_Per,character
#PIRATES.0.1_Per,character
#PIRATES.0.2_Per,character
#PIRATES.0.3_Per,character
#PIRATES_Per,character
#PRIESTESSES_Per,character
#Pander_Per,character
#Pericles_Per,character
#Philemon_Per,character
#SAILORS.1_Per,character
#SAILORS.2_Per,character
#SAILORS.MYTILENE.1_Per,character
#SAILORS.TYRE.1_Per,character
#SERVANTS.CERIMON.0.1_Per,character
#SERVANTS.CERIMON.0.2_Per,character
#SERVANTS.CERIMON_Per,character
#SUPPLIANTS.1_Per,character
#SUPPLIANTS.2_Per,character
#Simonides_Per,character
#Thaisa_Per,character
#Thaliard_Per,character
1.00,text_unit
1.01,text_unit
1.02,text_unit
1.03,text_unit
1.04,text_unit
2.00,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
2.05,text_unit
3.00,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
3.04,text_unit
4.00,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.04,text_unit
4.05,text_unit
4.06,text_unit
5.00,text_unit
5.01,text_unit
5.02,text_unit
5.03,text_unit
6.00,text_unit
