source,target,n_lines,n_tokens,edge_type
#Antiochus_Per,1.01.0002,9,60,active
#Antiochus_Per,1.01.0003,35,251,active
#Antiochus_Per,1.01.0005,8,54,active
#Antiochus_Per,1.01.0006,10,61,active
#Antiochus_Per,1.01.0007,1,8,active
#Antiochus_Per,1.01.0008,7,49,active
#Bawd_Per,4.02.0063,10,74,active
#Bawd_Per,4.02.0064,3,25,active
#Bawd_Per,4.02.0066,2,9,active
#Bawd_Per,4.02.0067,6,53,active
#Bawd_Per,4.02.0068,18,127,active
#Bawd_Per,4.02.0069,33,244,active
#Bawd_Per,4.06.0073,10,90,active
#Bawd_Per,4.06.0074,5,37,active
#Bawd_Per,4.06.0076,15,109,active
#Bawd_Per,4.06.0080,11,72,active
#Bolt_Per,4.02.0063,6,32,active
#Bolt_Per,4.02.0065,2,10,active
#Bolt_Per,4.02.0066,7,55,active
#Bolt_Per,4.02.0067,1,3,active
#Bolt_Per,4.02.0069,24,181,active
#Bolt_Per,4.06.0073,2,18,active
#Bolt_Per,4.06.0074,3,27,active
#Bolt_Per,4.06.0075,4,29,active
#Bolt_Per,4.06.0078,2,8,active
#Bolt_Per,4.06.0079,9,70,active
#Bolt_Per,4.06.0080,9,69,active
#Bolt_Per,4.06.0081,19,154,active
#CITIZENS.TARSUS_Per,1.04.0019,2,11,active
#Cerimon_Per,3.02.0046,1,2,active
#Cerimon_Per,3.02.0047,2,16,active
#Cerimon_Per,3.02.0048,5,30,active
#Cerimon_Per,3.02.0049,20,129,active
#Cerimon_Per,3.02.0050,34,230,active
#Cerimon_Per,3.02.0051,18,126,active
#Cerimon_Per,3.02.0052,5,34,active
#Cerimon_Per,3.04.0054,8,56,active
#Cerimon_Per,5.03.0095,17,108,active
#Cleon_Per,1.04.0016,47,367,active
#Cleon_Per,1.04.0017,20,139,active
#Cleon_Per,1.04.0018,2,15,active
#Cleon_Per,1.04.0019,8,61,active
#Cleon_Per,3.03.0053,15,112,active
#Cleon_Per,4.03.0070,22,147,active
#Daughter_Per,1.01.0003,2,16,active
#Diana_Per,5.01.0091,10,72,active
#Dionyza_Per,1.04.0016,9,73,active
#Dionyza_Per,1.04.0019,2,11,active
#Dionyza_Per,3.03.0053,6,39,active
#Dionyza_Per,4.01.0056,11,87,active
#Dionyza_Per,4.01.0057,29,209,active
#Dionyza_Per,4.03.0070,35,258,active
#FISHERMEN.1_Per,2.01.0022,26,189,active
#FISHERMEN.1_Per,2.01.0023,14,101,active
#FISHERMEN.1_Per,2.01.0024,4,24,active
#FISHERMEN.2_Per,2.01.0022,20,124,active
#FISHERMEN.2_Per,2.01.0024,12,98,active
#FISHERMEN.3_Per,2.01.0022,18,151,active
#GENTLEMEN.EPHESUS.1_Per,3.02.0049,13,75,active
#GENTLEMEN.EPHESUS.1_Per,3.02.0051,3,13,active
#GENTLEMEN.EPHESUS.1_Per,3.02.0052,1,2,active
#GENTLEMEN.EPHESUS.2_Per,3.02.0049,9,63,active
#GENTLEMEN.EPHESUS.2_Per,3.02.0050,5,17,active
#GENTLEMEN.EPHESUS.2_Per,3.02.0052,1,4,active
#GENTLEMEN.MYTILENE.1_Per,4.05.0072,5,37,active
#GENTLEMEN.MYTILENE.2_Per,4.05.0072,4,32,active
#GENTLEMEN.TYRE.0.1_Per,5.01.0085,1,4,active
#Gower_Per,1.00.0001,42,281,active
#Gower_Per,2.00.0020,40,264,active
#Gower_Per,3.00.0041,60,375,active
#Gower_Per,4.00.0055,52,320,active
#Gower_Per,4.04.0071,52,383,active
#Gower_Per,5.00.0082,24,193,active
#Gower_Per,5.02.0094,20,121,active
#Gower_Per,6.00.0096,18,136,active
#Helicanus_Per,1.02.0012,11,88,active
#Helicanus_Per,1.02.0013,20,146,active
#Helicanus_Per,1.03.0015,19,144,active
#Helicanus_Per,2.04.0031,15,120,active
#Helicanus_Per,2.04.0034,18,135,active
#Helicanus_Per,5.01.0083,1,4,active
#Helicanus_Per,5.01.0084,1,4,active
#Helicanus_Per,5.01.0085,3,14,active
#Helicanus_Per,5.01.0086,15,85,active
#Helicanus_Per,5.01.0087,5,26,active
#Helicanus_Per,5.01.0088,2,11,active
#Helicanus_Per,5.01.0089,7,46,active
#Helicanus_Per,5.01.0090,9,43,active
#Helicanus_Per,5.01.0093,1,1,active
#Helicanus_Per,5.03.0095,1,5,active
#KNIGHTS.0.1_Per,2.03.0030,3,23,active
#KNIGHTS.0.1_Per,2.05.0035,1,6,active
#KNIGHTS.0.2_Per,2.05.0036,1,9,active
#KNIGHTS.0.3_Per,2.05.0037,1,8,active
#KNIGHTS_Per,2.03.0029,1,7,active
#KNIGHTS_Per,2.03.0030,2,12,active
#LORDS.MYTILENE.0.1_Per,5.01.0088,2,16,active
#LORDS.PENTAPOLIS.0.1_Per,2.02.0026,6,44,active
#LORDS.PENTAPOLIS.0.2_Per,2.02.0027,2,15,active
#LORDS.PENTAPOLIS.0.3_Per,2.02.0028,2,17,active
#LORDS.TARSUS.1_Per,1.04.0017,7,48,active
#LORDS.TYRE.0.1_Per,1.02.0011,1,8,active
#LORDS.TYRE.0.1_Per,2.04.0032,2,15,active
#LORDS.TYRE.0.1_Per,2.04.0034,14,114,active
#LORDS.TYRE.0.2_Per,1.02.0012,2,12,active
#LORDS.TYRE.0.2_Per,2.04.0033,1,7,active
#LORDS.TYRE.0.2_Per,2.04.0034,6,46,active
#LORDS.TYRE.0.3_Per,2.04.0034,1,9,active
#LORDS.TYRE.Escanes_Per,2.04.0031,2,6,active
#LORDS.TYRE_Per,2.04.0034,1,3,active
#Leonine_Per,4.01.0056,3,14,active
#Leonine_Per,4.01.0057,1,4,active
#Leonine_Per,4.01.0058,13,66,active
#Leonine_Per,4.01.0062,7,59,active
#Lychorida_Per,3.01.0043,10,70,active
#Lychorida_Per,3.01.0044,1,4,active
#Lysimachus_Per,4.06.0074,9,53,active
#Lysimachus_Per,4.06.0075,4,23,active
#Lysimachus_Per,4.06.0076,5,23,active
#Lysimachus_Per,4.06.0077,34,251,active
