act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Gaunt_R2,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,28,4
1,1,1,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,117,16
1,1,2,#Gaunt_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,27,4
1,1,2,#HenryIV_1H4,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,466,62
1,1,2,#Mowbray_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,651,83
1,1,2,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,310,42
1,2,3,#DuchessOfGloucester_R2,#DuchessOfGloucester_R2 #Gaunt_R2,457,60
1,2,3,#Gaunt_R2,#DuchessOfGloucester_R2 #Gaunt_R2,121,16
1,3,4,#Aumerle_R2,#Aumerle_R2 #LordMarshal_R2,23,3
1,3,4,#LordMarshal_R2,#Aumerle_R2 #LordMarshal_R2,22,3
1,3,5,#LordMarshal_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,44,5
1,3,5,#Mowbray_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,79,10
1,3,5,#RichardII_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,29,4
1,3,6,#Gaunt_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,42,6
1,3,6,#HERALDS.1_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,48,6
1,3,6,#HERALDS.2_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,48,7
1,3,6,#HenryIV_1H4,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,369,47
1,3,6,#LordMarshal_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,116,15
1,3,6,#Mowbray_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,327,43
1,3,6,#RichardII_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,432,62
1,3,7,#Gaunt_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #OFFICERS_R2 #RichardII_R2,230,28
1,3,7,#HenryIV_1H4,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #OFFICERS_R2 #RichardII_R2,26,3
1,3,7,#RichardII_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #OFFICERS_R2 #RichardII_R2,84,12
1,3,8,#Aumerle_R2,#Aumerle_R2 #Gaunt_R2 #HenryIV_1H4 #LordMarshal_R2,15,2
1,3,8,#Gaunt_R2,#Aumerle_R2 #Gaunt_R2 #HenryIV_1H4 #LordMarshal_R2,234,30
1,3,8,#HenryIV_1H4,#Aumerle_R2 #Gaunt_R2 #HenryIV_1H4 #LordMarshal_R2,212,28
1,3,8,#LordMarshal_R2,#Aumerle_R2 #Gaunt_R2 #HenryIV_1H4 #LordMarshal_R2,20,2
1,4,9,#Aumerle_R2,#Aumerle_R2 #Bagot_R2 #Green_R2 #RichardII_R2,115,16
1,4,9,#Green_R2,#Aumerle_R2 #Bagot_R2 #Green_R2 #RichardII_R2,40,5
1,4,9,#RichardII_R2,#Aumerle_R2 #Bagot_R2 #Green_R2 #RichardII_R2,248,32
1,4,10,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #RichardII_R2,1,1
1,4,10,#Bushy_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #RichardII_R2,25,4
1,4,10,#RichardII_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #RichardII_R2,54,8
2,1,11,#Gaunt_R2,#ATTENDANTS.GAUNT_R2 #Gaunt_R2 #York_R2,406,57
2,1,11,#York_R2,#ATTENDANTS.GAUNT_R2 #Gaunt_R2 #York_R2,125,17
2,1,12,#Gaunt_R2,#ATTENDANTS.GAUNT_R2 #Aumerle_R2 #Bagot_R2 #Bushy_R2 #Gaunt_R2 #Green_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,427,54
2,1,12,#Queen_R2,#ATTENDANTS.GAUNT_R2 #Aumerle_R2 #Bagot_R2 #Bushy_R2 #Gaunt_R2 #Green_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,6,1
2,1,12,#RichardII_R2,#ATTENDANTS.GAUNT_R2 #Aumerle_R2 #Bagot_R2 #Bushy_R2 #Gaunt_R2 #Green_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,103,14
2,1,12,#York_R2,#ATTENDANTS.GAUNT_R2 #Aumerle_R2 #Bagot_R2 #Bushy_R2 #Gaunt_R2 #Green_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,19,2
2,1,13,#RichardII_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,37,4
2,1,13,#York_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,33,4
2,1,14,#Northumberland_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #Northumberland_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,29,4
2,1,14,#RichardII_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #Northumberland_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,104,14
2,1,14,#York_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #Northumberland_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2,398,52
2,1,15,#RichardII_R2,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #Northumberland_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2,71,9
2,1,16,#Northumberland_R2,#Northumberland_R2 #Ross_R2 #Willoughby_R2,365,48
2,1,16,#Ross_R2,#Northumberland_R2 #Ross_R2 #Willoughby_R2,161,20
2,1,16,#Willoughby_R2,#Northumberland_R2 #Ross_R2 #Willoughby_R2,86,11
2,2,17,#Bushy_R2,#Bagot_R2 #Bushy_R2 #Queen_R2,141,20
2,2,17,#Queen_R2,#Bagot_R2 #Bushy_R2 #Queen_R2,171,21
2,2,18,#Bushy_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2,16,3
2,2,18,#Green_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2,113,17
2,2,18,#Queen_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2,107,15
2,2,19,#Green_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #York_R2,6,1
2,2,19,#Queen_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #York_R2,23,3
2,2,19,#York_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #York_R2,77,9
2,2,20,#SERVANTS.YORK.1_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #SERVANTS.YORK.1_R2 #York_R2,43,5
2,2,20,#York_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #SERVANTS.YORK.1_R2 #York_R2,141,19
2,2,21,#York_R2,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #York_R2,106,16
2,2,22,#Bagot_R2,#Bagot_R2 #Bushy_R2 #Green_R2,71,9
2,2,22,#Bushy_R2,#Bagot_R2 #Bushy_R2 #Green_R2,74,11
2,2,22,#Green_R2,#Bagot_R2 #Bushy_R2 #Green_R2,66,8
2,3,23,#HenryIV_1H4,#HenryIV_1H4 #Northumberland_R2,24,3
2,3,23,#Northumberland_R2,#HenryIV_1H4 #Northumberland_R2,130,17
2,3,24,#HenryIV_1H4,#HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,50,6
2,3,24,#Hotspur_R2,#HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,171,23
2,3,24,#Northumberland_R2,#HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,76,10
2,3,25,#HenryIV_1H4,#HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2,52,7
2,3,25,#Northumberland_R2,#HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2,15,2
2,3,25,#Ross_R2,#HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2,8,1
2,3,25,#Willoughby_R2,#HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2,8,1
2,3,26,#Berkeley_R2,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2,69,8
2,3,26,#HenryIV_1H4,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2,34,4
2,3,26,#Northumberland_R2,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2,9,1
2,3,27,#HenryIV_1H4,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2 #York_R2,277,36
2,3,27,#Northumberland_R2,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2 #York_R2,45,5
2,3,27,#Ross_R2,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2 #York_R2,9,1
2,3,27,#Willoughby_R2,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2 #York_R2,8,1
2,3,27,#York_R2,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2 #York_R2,392,49
2,4,28,#Salisbury_R2,#Salisbury_R2 #WelshCaptain_R2,15,2
2,4,28,#WelshCaptain_R2,#Salisbury_R2 #WelshCaptain_R2,121,15
2,4,29,#Salisbury_R2,#Salisbury_R2,56,7
3,1,30,#Bushy_R2,#Bushy_R2 #Green_R2 #HenryIV_1H4 #LORDS_R2 #Northumberland_R2 #York_R2,15,2
3,1,30,#Green_R2,#Bushy_R2 #Green_R2 #HenryIV_1H4 #LORDS_R2 #Northumberland_R2 #York_R2,17,2
3,1,30,#HenryIV_1H4,#Bushy_R2 #Green_R2 #HenryIV_1H4 #LORDS_R2 #Northumberland_R2 #York_R2,242,33
3,1,31,#HenryIV_1H4,#HenryIV_1H4 #LORDS_R2 #York_R2,53,8
3,1,31,#York_R2,#HenryIV_1H4 #LORDS_R2 #York_R2,16,2
3,2,32,#Aumerle_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2,40,5
3,2,32,#BishopOfCarlisle_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2,49,6
3,2,32,#RichardII_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2,392,52
3,2,33,#Aumerle_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2 #Salisbury_R2,16,2
3,2,33,#RichardII_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2 #Salisbury_R2,130,16
3,2,33,#Salisbury_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2 #Salisbury_R2,85,11
3,2,34,#Aumerle_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2 #Salisbury_R2 #Scroop_R2,39,5
3,2,34,#BishopOfCarlisle_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2 #Salisbury_R2 #Scroop_R2,65,8
3,2,34,#RichardII_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2 #Salisbury_R2 #Scroop_R2,643,82
3,2,34,#Scroop_R2,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2 #Salisbury_R2 #Scroop_R2,285,39
