source,target,key,n_lines,n_tokens,edge_index,edge_type
#RichardII_R2,1.01.0001,0,6,45,1,active
1.01.0001,#ATTENDANTS_R2,0,6,45,1,passive
1.01.0001,#Gaunt_R2,0,6,45,1,passive
1.01.0001,#LORDS_R2,0,6,45,1,passive
#Gaunt_R2,1.01.0001,0,1,4,2,active
1.01.0001,#ATTENDANTS_R2,1,1,4,2,passive
1.01.0001,#LORDS_R2,1,1,4,2,passive
1.01.0001,#RichardII_R2,0,1,4,2,passive
#RichardII_R2,1.01.0001,1,4,30,3,active
1.01.0001,#ATTENDANTS_R2,2,4,30,3,passive
1.01.0001,#Gaunt_R2,1,4,30,3,passive
1.01.0001,#LORDS_R2,2,4,30,3,passive
#Gaunt_R2,1.01.0001,1,3,24,4,active
1.01.0001,#ATTENDANTS_R2,3,3,24,4,passive
1.01.0001,#LORDS_R2,3,3,24,4,passive
1.01.0001,#RichardII_R2,1,3,24,4,passive
#RichardII_R2,1.01.0001,2,6,42,5,active
1.01.0001,#ATTENDANTS_R2,4,6,42,5,passive
1.01.0001,#Gaunt_R2,2,6,42,5,passive
1.01.0001,#LORDS_R2,4,6,42,5,passive
#HenryIV_1H4,1.01.0002,0,2,13,6,active
1.01.0002,#ATTENDANTS_R2,0,2,13,6,passive
1.01.0002,#Gaunt_R2,0,2,13,6,passive
1.01.0002,#LORDS_R2,0,2,13,6,passive
1.01.0002,#Mowbray_R2,0,2,13,6,passive
1.01.0002,#RichardII_R2,0,2,13,6,passive
#Mowbray_R2,1.01.0002,0,3,20,7,active
1.01.0002,#ATTENDANTS_R2,1,3,20,7,passive
1.01.0002,#Gaunt_R2,1,3,20,7,passive
1.01.0002,#HenryIV_1H4,0,3,20,7,passive
1.01.0002,#LORDS_R2,1,3,20,7,passive
1.01.0002,#RichardII_R2,1,3,20,7,passive
#RichardII_R2,1.01.0002,0,5,39,8,active
1.01.0002,#ATTENDANTS_R2,2,5,39,8,passive
1.01.0002,#Gaunt_R2,2,5,39,8,passive
1.01.0002,#HenryIV_1H4,1,5,39,8,passive
1.01.0002,#LORDS_R2,2,5,39,8,passive
1.01.0002,#Mowbray_R2,1,5,39,8,passive
#HenryIV_1H4,1.01.0002,1,18,138,9,active
1.01.0002,#ATTENDANTS_R2,3,18,138,9,passive
1.01.0002,#Gaunt_R2,3,18,138,9,passive
1.01.0002,#LORDS_R2,3,18,138,9,passive
1.01.0002,#Mowbray_R2,2,18,138,9,passive
1.01.0002,#RichardII_R2,2,18,138,9,passive
#Mowbray_R2,1.01.0002,1,22,177,10,active
1.01.0002,#ATTENDANTS_R2,4,22,177,10,passive
1.01.0002,#Gaunt_R2,4,22,177,10,passive
1.01.0002,#HenryIV_1H4,2,22,177,10,passive
1.01.0002,#LORDS_R2,4,22,177,10,passive
1.01.0002,#RichardII_R2,3,22,177,10,passive
#HenryIV_1H4,1.01.0002,2,9,75,11,active
1.01.0002,#ATTENDANTS_R2,5,9,75,11,passive
1.01.0002,#Gaunt_R2,5,9,75,11,passive
1.01.0002,#LORDS_R2,5,9,75,11,passive
1.01.0002,#Mowbray_R2,3,9,75,11,passive
1.01.0002,#RichardII_R2,4,9,75,11,passive
#Mowbray_R2,1.01.0002,2,6,47,12,active
1.01.0002,#ATTENDANTS_R2,6,6,47,12,passive
