node1,node2,count
#ATTENDANTS.0.1_R3,#Tyrrel_R3,1
#ATTENDANTS.0_R3,#ATTENDANTS_R3,1
#ATTENDANTS.0_R3,#Cardinal_R3,1
#ATTENDANTS.0_R3,#MayorOfLondon_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#ATTENDANTS.RICHMOND_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Blunt_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Brandon_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Buckingham_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Catesby_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#EdwardV_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Grey_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#HenryVII_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#HenryVI_1H6,1
#ATTENDANTS.RICHMOND.0.1_R3,#Herbert_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#MESSENGERS.X.3_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Norfolk_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Oxford_3H6,1
#ATTENDANTS.RICHMOND.0.1_R3,#PrinceEdward_3H6,1
#ATTENDANTS.RICHMOND.0.1_R3,#Ratcliffe_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Rivers_3H6,1
#ATTENDANTS.RICHMOND.0.1_R3,#SOLDIERS.RICHARD_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#SOLDIERS.RICHMOND_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Surrey_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#Vaughan_R3,1
#ATTENDANTS.RICHMOND.0.1_R3,#York_R3,1
#ATTENDANTS.RICHMOND_R3,#Blunt_R3,1
#ATTENDANTS.RICHMOND_R3,#Brandon_R3,1
#ATTENDANTS.RICHMOND_R3,#Buckingham_R3,1
#ATTENDANTS.RICHMOND_R3,#Catesby_R3,1
#ATTENDANTS.RICHMOND_R3,#EdwardV_R3,1
#ATTENDANTS.RICHMOND_R3,#Grey_R3,1
#ATTENDANTS.RICHMOND_R3,#HenryVII_R3,2
#ATTENDANTS.RICHMOND_R3,#HenryVI_1H6,1
#ATTENDANTS.RICHMOND_R3,#Herbert_R3,1
#ATTENDANTS.RICHMOND_R3,#MESSENGERS.X.3_R3,1
#ATTENDANTS.RICHMOND_R3,#Norfolk_R3,1
#ATTENDANTS.RICHMOND_R3,#Oxford_3H6,1
#ATTENDANTS.RICHMOND_R3,#PrinceEdward_3H6,1
#ATTENDANTS.RICHMOND_R3,#Ratcliffe_R3,1
#ATTENDANTS.RICHMOND_R3,#Rivers_3H6,1
#ATTENDANTS.RICHMOND_R3,#SOLDIERS.RICHARD_R3,1
#ATTENDANTS.RICHMOND_R3,#SOLDIERS.RICHMOND_R3,2
#ATTENDANTS.RICHMOND_R3,#Surrey_R3,1
#ATTENDANTS.RICHMOND_R3,#Vaughan_R3,1
#ATTENDANTS.RICHMOND_R3,#York_R3,1
#ATTENDANTS_R3,#ATTENDANTS.0.1_R3,1
#ATTENDANTS_R3,#BishopOfEly_R3,1
#ATTENDANTS_R3,#Cardinal_R3,1
#ATTENDANTS_R3,#Lovell_R3,2
#ATTENDANTS_R3,#MESSENGERS.1_R3,1
#ATTENDANTS_R3,#MESSENGERS.2_R3,1
#ATTENDANTS_R3,#MESSENGERS.3_R3,1
#ATTENDANTS_R3,#MESSENGERS.4_R3,1
#ATTENDANTS_R3,#MayorOfLondon_R3,1
#ATTENDANTS_R3,#Tyrrel_R3,1
#Archbishop_R3,#MESSENGERS.X.1_R3,1
#BISHOPS_R3,#CITIZENS.0_R3,1
#BISHOPS_R3,#CITIZENS_R3,1
#BishopOfEly_R3,#Lovell_R3,1
#Blunt_R3,#Brandon_R3,1
#Blunt_R3,#Buckingham_R3,1
#Blunt_R3,#Catesby_R3,1
#Blunt_R3,#EdwardV_R3,1
