act,scene,stagegroup,n_tokens,n_lines,onstage
1,1,1,307,42,#RichardIII_R3
1,1,2,574,78,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3
1,1,3,42,5,#RichardIII_R3
1,1,4,165,23,#Hastings_3H6 #RichardIII_R3
1,1,5,151,18,#RichardIII_R3
1,2,6,249,33,#GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3
1,2,7,39,5,#GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3 #RichardIII_R3
1,2,8,1471,206,#GENTLEMEN.0.1_R3 #GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3 #RichardIII_R3
1,2,9,11,2,#GENTLEMEN.0.1_R3 #GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #RichardIII_R3
1,2,10,288,38,#GENTLEMEN.0.1_R3 #RichardIII_R3
1,3,11,131,17,#Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6
1,3,12,194,25,#Buckingham_R3 #Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6 #Stanley_R3
1,3,13,512,71,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3
1,3,14,1584,209,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3
1,3,15,137,16,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3
1,3,16,30,5,#Buckingham_R3 #Catesby_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3
1,3,17,123,15,#RichardIII_R3
1,3,18,138,19,#MURDERERS.1_R3 #MURDERERS.2_R3 #RichardIII_R3
1,4,19,588,77,#Clarence_3H6 #Jailer_R3
1,4,20,56,8,#Brakenbury_R3 #Clarence_3H6 #Jailer_R3
1,4,21,111,17,#Brakenbury_R3 #Clarence_3H6 #Jailer_R3 #MURDERERS.1_R3 #MURDERERS.2_R3
1,4,22,1276,180,#Clarence_3H6 #MURDERERS.1_R3 #MURDERERS.2_R3
1,4,23,20,3,#MURDERERS.2_R3
1,4,24,50,7,#MURDERERS.1_R3 #MURDERERS.2_R3
1,4,25,46,5,#MURDERERS.1_R3
2,1,26,352,47,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Rivers_3H6 #Scales_R3 #Woodeville_R3
2,1,27,384,50,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Woodeville_R3
2,1,28,328,40,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Stanley_R3 #Woodeville_R3
2,1,29,55,7,#Buckingham_R3 #Ratcliffe_R3 #RichardIII_R3
2,2,30,250,34,#ClarencesBoy_R3 #ClarencesDaughter_R3 #DuchessOfYork_R3
2,2,31,538,69,#ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #Rivers_3H6
2,2,32,353,47,#Buckingham_R3 #ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Stanley_R3
2,2,33,72,9,#Buckingham_R3 #RichardIII_R3
2,3,34,43,6,#CITIZENS.1_R3 #CITIZENS.2_R3
2,3,35,356,45,#CITIZENS.1_R3 #CITIZENS.2_R3 #CITIZENS.3_R3
2,4,36,318,40,#Archbishop_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #York_R3
2,4,37,274,40,#Archbishop_R3 #DuchessOfYork_R3 #MESSENGERS.X.1_R3 #QueenElizabeth_3H6 #York_R3
3,1,38,137,18,#ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #RichardIII_R3
3,1,39,56,6,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #MayorOfLondon_R3 #RichardIII_R3
3,1,40,286,37,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3
3,1,41,254,34,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Catesby_R3 #EdwardV_R3 #MayorOfLondon_R3 #RichardIII_R3
3,1,42,448,58,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3 #York_R3
3,1,43,316,40,#ATTENDANTS.0_R3 #Buckingham_R3 #Catesby_R3 #RichardIII_R3
3,1,44,83,10,#ATTENDANTS.0_R3 #Buckingham_R3 #RichardIII_R3
3,2,45,4,1,#MESSENGERS.X.2_R3
3,2,46,250,34,#Hastings_3H6 #MESSENGERS.X.2_R3
3,2,47,306,38,#Catesby_R3 #Hastings_3H6
3,2,48,189,22,#Catesby_R3 #Hastings_3H6 #Stanley_R3
3,2,49,9,1,#Catesby_R3 #Hastings_3H6 #Pursuivant_R3 #Stanley_R3
3,2,50,96,12,#Hastings_3H6 #Pursuivant_R3
3,2,51,44,5,#Hastings_3H6 #SirJohn_R3
3,2,52,90,12,#Buckingham_R3 #Hastings_3H6
3,3,53,197,26,#GUARDS_R3 #Grey_R3 #Ratcliffe_R3 #Rivers_3H6 #Vaughan_R3
3,4,54,163,21,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3
3,4,55,119,14,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
3,4,56,52,7,#ATTENDANTS_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
3,4,57,34,4,#ATTENDANTS_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3
3,4,58,100,13,#ATTENDANTS_R3 #BishopOfEly_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3
3,4,59,171,21,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
3,4,60,222,29,#Hastings_3H6 #Lovell_R3 #Ratcliffe_R3
3,5,61,97,14,#Buckingham_R3 #RichardIII_R3
3,5,62,14,4,#Buckingham_R3 #Catesby_R3 #MayorOfLondon_R3 #RichardIII_R3
3,5,63,22,3,#Buckingham_R3 #MayorOfLondon_R3 #RichardIII_R3
3,5,64,390,51,#Buckingham_R3 #Lovell_R3 #MayorOfLondon_R3 #Ratcliffe_R3 #RichardIII_R3
3,5,65,236,32,#Buckingham_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3
3,5,66,24,4,#Lovell_R3 #Ratcliffe_R3 #RichardIII_R3
3,5,67,33,4,#RichardIII_R3
3,6,68,116,14,#Scrivener_R3
3,7,69,429,56,#Buckingham_R3 #RichardIII_R3
3,7,70,16,2,#Buckingham_R3 #CITIZENS_R3 #MayorOfLondon_R3
3,7,71,97,13,#Buckingham_R3 #CITIZENS_R3 #Catesby_R3 #MayorOfLondon_R3
3,7,72,93,12,#Buckingham_R3 #CITIZENS_R3 #MayorOfLondon_R3
3,7,73,73,9,#Buckingham_R3 #CITIZENS_R3 #Catesby_R3 #MayorOfLondon_R3
3,7,74,21,3,#Buckingham_R3 #CITIZENS_R3 #MayorOfLondon_R3
3,7,75,946,127,#BISHOPS_R3 #Buckingham_R3 #CITIZENS_R3 #Catesby_R3 #MayorOfLondon_R3 #RichardIII_R3
3,7,76,49,6,#BISHOPS_R3 #CITIZENS_R3 #Catesby_R3 #MayorOfLondon_R3 #RichardIII_R3
3,7,77,159,21,#BISHOPS_R3 #Buckingham_R3 #CITIZENS.0_R3 #CITIZENS_R3 #Catesby_R3 #MayorOfLondon_R3 #RichardIII_R3
4,1,78,87,12,#ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #LadyAnne_R3 #QueenElizabeth_3H6
4,1,79,139,17,#Brakenbury_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #LadyAnne_R3 #QueenElizabeth_3H6
4,1,80,616,81,#ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #LadyAnne_R3 #QueenElizabeth_3H6 #Stanley_R3
4,2,81,197,28,#ATTENDANTS.0.1_R3 #ATTENDANTS_R3 #Buckingham_R3 #Catesby_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3
4,2,82,99,16,#ATTENDANTS.0.1_R3 #ATTENDANTS_R3 #Catesby_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3
4,2,83,32,4,#ATTENDANTS_R3 #Catesby_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3
4,2,84,109,14,#ATTENDANTS_R3 #Catesby_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
4,2,85,48,6,#ATTENDANTS_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
4,2,86,132,17,#ATTENDANTS_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3 #Tyrrel_R3
4,2,87,270,38,#ATTENDANTS_R3 #Buckingham_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
4,2,88,35,4,#Buckingham_R3
4,3,89,167,23,#Tyrrel_R3
4,3,90,108,16,#RichardIII_R3 #Tyrrel_R3
4,3,91,65,8,#RichardIII_R3
4,3,92,99,14,#Ratcliffe_R3 #RichardIII_R3
4,4,93,57,9,#QueenMargaret_1H6
4,4,94,946,122,#DuchessOfYork_R3 #QueenElizabeth_3H6 #QueenMargaret_1H6
4,4,95,75,10,#DuchessOfYork_R3 #QueenElizabeth_3H6
4,4,96,464,66,#ATTENDANTS_R3 #Catesby_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #RichardIII_R3
4,4,97,1880,248,#ATTENDANTS_R3 #Catesby_R3 #QueenElizabeth_3H6 #RichardIII_R3
4,4,98,6,1,#ATTENDANTS_R3 #Catesby_R3 #RichardIII_R3
4,4,99,149,24,#ATTENDANTS_R3 #Catesby_R3 #Ratcliffe_R3 #RichardIII_R3
4,4,100,31,4,#ATTENDANTS_R3 #Ratcliffe_R3 #RichardIII_R3
4,4,101,343,44,#ATTENDANTS_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
4,4,102,33,5,#ATTENDANTS_R3 #MESSENGERS.1_R3 #Ratcliffe_R3 #RichardIII_R3
4,4,103,23,3,#ATTENDANTS_R3 #MESSENGERS.1_R3 #MESSENGERS.2_R3 #Ratcliffe_R3 #RichardIII_R3
