act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#Duke_Err,346,47,1190,158
1,1,1,#Egeon_Err,840,110,1190,158
1,1,1,#OFFICERS.Jailer_Err,4,1,1190,158
1,2,2,#AntipholusOfSyracuse_Err,61,8,138,18
1,2,2,#DromioOfSyracuse_Err,17,2,138,18
1,2,2,#Merchant1_Err,60,8,138,18
1,2,3,#AntipholusOfSyracuse_Err,58,7,112,14
1,2,3,#Merchant1_Err,54,7,112,14
1,2,4,#AntipholusOfSyracuse_Err,61,8,61,8
1,2,5,#AntipholusOfSyracuse_Err,182,22,467,57
1,2,5,#DromioOfEphesus_Err,285,35,467,57
1,2,6,#AntipholusOfSyracuse_Err,80,11,80,11
2,1,7,#Adriana_Err,154,19,346,43
2,1,7,#Luciana_Err,192,24,346,43
2,1,8,#Adriana_Err,65,9,342,47
2,1,8,#DromioOfEphesus_Err,265,35,342,47
2,1,8,#Luciana_Err,12,3,342,47
2,1,9,#Adriana_Err,222,28,242,31
2,1,9,#Luciana_Err,20,3,242,31
2,2,10,#AntipholusOfSyracuse_Err,51,6,51,6
2,2,11,#AntipholusOfSyracuse_Err,364,57,750,113
2,2,11,#DromioOfSyracuse_Err,386,56,750,113
2,2,12,#Adriana_Err,503,64,891,113
2,2,12,#AntipholusOfSyracuse_Err,194,25,891,113
2,2,12,#DromioOfSyracuse_Err,125,15,891,113
2,2,12,#Luciana_Err,69,9,891,113
3,1,13,#AntipholusOfEphesus_Err,180,26,295,42
3,1,13,#Balthasar_Err,28,5,295,42
3,1,13,#DromioOfEphesus_Err,87,11,295,42
3,1,14,#AntipholusOfEphesus_Err,29,4,174,28
3,1,14,#DromioOfEphesus_Err,57,9,174,28
3,1,14,#DromioOfSyracuse_Err,88,15,174,28
3,1,15,#AntipholusOfEphesus_Err,27,3,143,23
3,1,15,#DromioOfEphesus_Err,37,6,143,23
3,1,15,#DromioOfSyracuse_Err,16,3,143,23
3,1,15,#Luce_Err,63,11,143,23
3,1,16,#Adriana_Err,21,2,40,5
3,1,16,#AntipholusOfEphesus_Err,9,1,40,5
3,1,16,#DromioOfSyracuse_Err,10,2,40,5
3,1,17,#Angelo_Err,21,3,524,74
3,1,17,#AntipholusOfEphesus_Err,170,21,524,74
3,1,17,#Balthasar_Err,174,24,524,74
3,1,17,#DromioOfEphesus_Err,129,21,524,74
3,1,17,#DromioOfSyracuse_Err,30,5,524,74
3,2,18,#AntipholusOfSyracuse_Err,302,37,590,76
3,2,18,#Luciana_Err,288,39,590,76
3,2,19,#AntipholusOfSyracuse_Err,148,32,648,96
3,2,19,#DromioOfSyracuse_Err,500,64,648,96
3,2,20,#AntipholusOfSyracuse_Err,70,9,70,9
3,2,21,#Angelo_Err,81,10,121,15
3,2,21,#AntipholusOfSyracuse_Err,40,5,121,15
3,2,22,#AntipholusOfSyracuse_Err,63,7,63,7
4,1,23,#Angelo_Err,60,7,105,13
4,1,23,#Merchant2_Err,45,6,105,13
4,1,24,#AntipholusOfEphesus_Err,52,6,72,8
4,1,24,#DromioOfEphesus_Err,11,1,72,8
4,1,24,#OFFICERS.X_Err,9,1,72,8
4,1,25,#Angelo_Err,224,27,539,65
4,1,25,#AntipholusOfEphesus_Err,255,30,539,65
4,1,25,#Merchant2_Err,39,5,539,65
4,1,25,#OFFICERS.X_Err,21,3,539,65
4,1,26,#AntipholusOfEphesus_Err,107,13,199,24
4,1,26,#DromioOfSyracuse_Err,92,11,199,24
4,1,27,#DromioOfSyracuse_Err,39,5,39,5
4,2,28,#Adriana_Err,159,22,232,31
4,2,28,#Luciana_Err,73,9,232,31
4,2,29,#Adriana_Err,27,4,170,26
4,2,29,#DromioOfSyracuse_Err,137,21,170,26
4,2,29,#Luciana_Err,6,1,170,26
4,2,30,#Adriana_Err,44,7,158,21
