node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS_Err,1190,0,158,0
#Abbess_Err,1201,552,159,74
#Adriana_Err,6328,2093,823,268
#Angelo_Err,5470,634,717,78
#AntipholusOfEphesus_Err,4866,1745,642,226
#AntipholusOfSyracuse_Err,5708,2083,755,290
#Balthasar_Err,1176,202,172,29
#Courtesan_Err,4305,293,555,35
#DromioOfEphesus_Err,4980,1356,665,183
#DromioOfSyracuse_Err,5572,2075,764,276
#Duke_Err,3436,693,445,93
#Egeon_Err,3436,1097,445,143
#Headsman_Err,2246,0,287,0
#Luce_Err,183,63,28,11
#Luciana_Err,6720,760,873,101
#Merchant1_Err,250,114,32,15
#Merchant2_Err,4173,268,530,34
#Messenger_Err,1933,130,249,16
#OFFICERS.Jailer_Err,1190,4,158,1
#OFFICERS.X_Err,2113,95,267,14
#OFFICERS_Err,2246,0,287,0
#OTHERS_Err,3002,0,388,0
#Pinch_Err,732,103,95,12
#SERVANTS.PINCH_Err,188,0,26,0
