source,target,key,n_lines,n_tokens,edge_index,edge_type
#Egeon_Err,1.01.0001,0,2,16,1,active
1.01.0001,#ATTENDANTS_Err,0,2,16,1,passive
1.01.0001,#Duke_Err,0,2,16,1,passive
1.01.0001,#OFFICERS.Jailer_Err,0,2,16,1,passive
#Duke_Err,1.01.0001,0,23,159,2,active
1.01.0001,#ATTENDANTS_Err,1,23,159,2,passive
1.01.0001,#Egeon_Err,0,23,159,2,passive
1.01.0001,#OFFICERS.Jailer_Err,1,23,159,2,passive
#Egeon_Err,1.01.0001,1,2,17,3,active
1.01.0001,#ATTENDANTS_Err,2,2,17,3,passive
1.01.0001,#Duke_Err,1,2,17,3,passive
1.01.0001,#OFFICERS.Jailer_Err,2,2,17,3,passive
#Duke_Err,1.01.0001,1,3,22,4,active
1.01.0001,#ATTENDANTS_Err,3,3,22,4,passive
1.01.0001,#Egeon_Err,1,3,22,4,passive
1.01.0001,#OFFICERS.Jailer_Err,3,3,22,4,passive
#Egeon_Err,1.01.0001,2,65,489,5,active
1.01.0001,#ATTENDANTS_Err,4,65,489,5,passive
1.01.0001,#Duke_Err,2,65,489,5,passive
1.01.0001,#OFFICERS.Jailer_Err,4,65,489,5,passive
#Duke_Err,1.01.0001,2,2,17,6,active
1.01.0001,#ATTENDANTS_Err,5,2,17,6,passive
1.01.0001,#Egeon_Err,2,2,17,6,passive
1.01.0001,#OFFICERS.Jailer_Err,5,2,17,6,passive
#Egeon_Err,1.01.0001,3,23,183,7,active
1.01.0001,#ATTENDANTS_Err,6,23,183,7,passive
1.01.0001,#Duke_Err,3,23,183,7,passive
1.01.0001,#OFFICERS.Jailer_Err,6,23,183,7,passive
#Duke_Err,1.01.0001,3,3,26,8,active
1.01.0001,#ATTENDANTS_Err,7,3,26,8,passive
1.01.0001,#Egeon_Err,3,3,26,8,passive
1.01.0001,#OFFICERS.Jailer_Err,7,3,26,8,passive
#Egeon_Err,1.01.0001,4,16,123,9,active
1.01.0001,#ATTENDANTS_Err,8,16,123,9,passive
1.01.0001,#Duke_Err,4,16,123,9,passive
1.01.0001,#OFFICERS.Jailer_Err,8,16,123,9,passive
#Duke_Err,1.01.0001,4,16,122,10,active
1.01.0001,#ATTENDANTS_Err,9,16,122,10,passive
1.01.0001,#Egeon_Err,4,16,122,10,passive
1.01.0001,#OFFICERS.Jailer_Err,9,16,122,10,passive
#OFFICERS.Jailer_Err,1.01.0001,0,1,4,11,active
1.01.0001,#ATTENDANTS_Err,10,1,4,11,passive
1.01.0001,#Duke_Err,5,1,4,11,passive
1.01.0001,#Egeon_Err,5,1,4,11,passive
#Egeon_Err,1.01.0001,5,2,12,12,active
1.01.0001,#ATTENDANTS_Err,11,2,12,12,passive
1.01.0001,#Duke_Err,6,2,12,12,passive
1.01.0001,#OFFICERS.Jailer_Err,10,2,12,12,passive
#Merchant1_Err,1.02.0002,0,8,60,13,active
1.02.0002,#AntipholusOfSyracuse_Err,0,8,60,13,passive
1.02.0002,#DromioOfSyracuse_Err,0,8,60,13,passive
#AntipholusOfSyracuse_Err,1.02.0002,0,8,61,14,active
1.02.0002,#DromioOfSyracuse_Err,1,8,61,14,passive
1.02.0002,#Merchant1_Err,0,8,61,14,passive
#DromioOfSyracuse_Err,1.02.0002,0,2,17,15,active
1.02.0002,#AntipholusOfSyracuse_Err,1,2,17,15,passive
1.02.0002,#Merchant1_Err,1,2,17,15,passive
#AntipholusOfSyracuse_Err,1.02.0003,0,5,41,16,active
1.02.0003,#Merchant1_Err,0,5,41,16,passive
#Merchant1_Err,1.02.0003,0,6,46,17,active
1.02.0003,#AntipholusOfSyracuse_Err,0,6,46,17,passive
#AntipholusOfSyracuse_Err,1.02.0003,1,2,17,18,active
1.02.0003,#Merchant1_Err,1,2,17,18,passive
