node1,node2,count
#ATTENDANTS.ARRAGON_MV,#Arragon_MV,1
#ATTENDANTS.ARRAGON_MV,#Messenger_MV,1
#ATTENDANTS.BASSANIO.1_MV,#ATTENDANTS.BASSANIO.2_MV,1
#ATTENDANTS.BASSANIO.1_MV,#ATTENDANTS.BASSANIO.Leonardo_MV,1
#ATTENDANTS.BASSANIO.1_MV,#OldGobbo_MV,1
#ATTENDANTS.BASSANIO.2_MV,#ATTENDANTS.BASSANIO.Leonardo_MV,1
#ATTENDANTS.BASSANIO.2_MV,#OldGobbo_MV,1
#ATTENDANTS.BASSANIO.Leonardo_MV,#OldGobbo_MV,1
#ATTENDANTS.BASSANIO_MV,#ATTENDANTS.PORTIA.Stephano_MV,1
#ATTENDANTS.BASSANIO_MV,#ATTENDANTS.PORTIA_MV,1
#ATTENDANTS.BASSANIO_MV,#LanceletGobbo_MV,1
#ATTENDANTS.BASSANIO_MV,#MUSICIANS_MV,2
#ATTENDANTS.DUKE.0_MV,#ATTENDANTS.DUKE_MV,1
#ATTENDANTS.DUKE.0_MV,#Duke_MV,1
#ATTENDANTS.DUKE.0_MV,#Nerissa_MV,1
#ATTENDANTS.DUKE.0_MV,#Portia_MV,1
#ATTENDANTS.DUKE.0_MV,#Salerio_MV,1
#ATTENDANTS.DUKE_MV,#Duke_MV,1
#ATTENDANTS.DUKE_MV,#Nerissa_MV,1
#ATTENDANTS.DUKE_MV,#Portia_MV,1
#ATTENDANTS.DUKE_MV,#Salerio_MV,1
#ATTENDANTS.MOROCCO_MV,#Morocco_MV,2
#ATTENDANTS.PORTIA.Stephano_MV,#LanceletGobbo_MV,1
#ATTENDANTS.PORTIA.Stephano_MV,#MUSICIANS_MV,1
#ATTENDANTS.PORTIA_MV,#ATTENDANTS.ARRAGON_MV,1
#ATTENDANTS.PORTIA_MV,#ATTENDANTS.MOROCCO_MV,2
#ATTENDANTS.PORTIA_MV,#Arragon_MV,1
#ATTENDANTS.PORTIA_MV,#Messenger_MV,1
#ATTENDANTS.PORTIA_MV,#Morocco_MV,2
#Antonio_MV,#ATTENDANTS.BASSANIO_MV,1
#Antonio_MV,#ATTENDANTS.DUKE.0_MV,1
#Antonio_MV,#ATTENDANTS.DUKE_MV,1
#Antonio_MV,#ATTENDANTS.PORTIA.Stephano_MV,1
#Antonio_MV,#Bassanio_MV,4
#Antonio_MV,#Duke_MV,1
#Antonio_MV,#Gratiano_MV,4
#Antonio_MV,#Jailer_MV,1
#Antonio_MV,#Jessica_MV,2
#Antonio_MV,#LanceletGobbo_MV,1
#Antonio_MV,#Lorenzo_MV,3
#Antonio_MV,#MUSICIANS_MV,1
#Antonio_MV,#Nerissa_MV,2
#Antonio_MV,#Portia_MV,2
#Antonio_MV,#Salarino_MV,2
#Antonio_MV,#Salerio_MV,1
#Antonio_MV,#Shylock_MV,3
#Antonio_MV,#Solanio_MV,2
#Arragon_MV,#Messenger_MV,1
