act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#Antonio_MV,#Antonio_MV #Salarino_MV #Solanio_MV,58,7
1,1,1,2,#Salarino_MV,#Antonio_MV #Salarino_MV #Solanio_MV,52,7
1,1,1,3,#Solanio_MV,#Antonio_MV #Salarino_MV #Solanio_MV,61,8
1,1,1,4,#Salarino_MV,#Antonio_MV #Salarino_MV #Solanio_MV,154,19
1,1,1,5,#Antonio_MV,#Antonio_MV #Salarino_MV #Solanio_MV,40,5
1,1,1,6,#Solanio_MV,#Antonio_MV #Salarino_MV #Solanio_MV,6,1
1,1,1,7,#Antonio_MV,#Antonio_MV #Salarino_MV #Solanio_MV,2,1
1,1,1,8,#Solanio_MV,#Antonio_MV #Salarino_MV #Solanio_MV,86,11
1,1,2,9,#Solanio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,20,3
1,1,2,10,#Salarino_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,17,2
1,1,2,11,#Antonio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,24,3
1,1,2,12,#Salarino_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,5,1
1,1,2,13,#Bassanio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,17,3
1,1,2,14,#Salarino_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,8,1
1,1,3,15,#Lorenzo_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,27,3
1,1,3,16,#Bassanio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,5,1
1,1,3,17,#Gratiano_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,30,4
1,1,3,18,#Antonio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,23,3
1,1,3,19,#Gratiano_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,197,27
1,1,3,20,#Lorenzo_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,25,3
1,1,3,21,#Gratiano_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,18,3
1,1,3,22,#Antonio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,10,1
1,1,3,23,#Gratiano_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,18,2
1,1,4,24,#Antonio_MV,#Antonio_MV #Bassanio_MV,4,1
1,1,4,25,#Bassanio_MV,#Antonio_MV #Bassanio_MV,48,5
1,1,4,26,#Antonio_MV,#Antonio_MV #Bassanio_MV,24,3
1,1,4,27,#Bassanio_MV,#Antonio_MV #Bassanio_MV,101,13
1,1,4,28,#Antonio_MV,#Antonio_MV #Bassanio_MV,38,5
1,1,4,29,#Bassanio_MV,#Antonio_MV #Bassanio_MV,109,13
1,1,4,30,#Antonio_MV,#Antonio_MV #Bassanio_MV,69,8
1,1,4,31,#Bassanio_MV,#Antonio_MV #Bassanio_MV,119,16
1,1,4,32,#Antonio_MV,#Antonio_MV #Bassanio_MV,72,9
1,2,5,33,#Portia_MV,#Nerissa_MV #Portia_MV,13,2
1,2,5,34,#Nerissa_MV,#Nerissa_MV #Portia_MV,61,7
1,2,5,35,#Portia_MV,#Nerissa_MV #Portia_MV,5,1
1,2,5,36,#Nerissa_MV,#Nerissa_MV #Portia_MV,7,1
1,2,5,37,#Portia_MV,#Nerissa_MV #Portia_MV,150,15
1,2,5,38,#Nerissa_MV,#Nerissa_MV #Portia_MV,71,9
