act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Antonio_MV,#Antonio_MV #Salarino_MV #Solanio_MV,100,13
1,1,1,#Salarino_MV,#Antonio_MV #Salarino_MV #Solanio_MV,206,26
1,1,1,#Solanio_MV,#Antonio_MV #Salarino_MV #Solanio_MV,153,20
1,1,2,#Antonio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,24,3
1,1,2,#Bassanio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,17,3
1,1,2,#Salarino_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,30,4
1,1,2,#Solanio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV,20,3
1,1,3,#Antonio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,33,4
1,1,3,#Bassanio_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,5,1
1,1,3,#Gratiano_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,263,36
1,1,3,#Lorenzo_MV,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV,52,6
1,1,4,#Antonio_MV,#Antonio_MV #Bassanio_MV,207,26
1,1,4,#Bassanio_MV,#Antonio_MV #Bassanio_MV,377,47
1,2,5,#Nerissa_MV,#Nerissa_MV #Portia_MV,316,42
1,2,5,#Portia_MV,#Nerissa_MV #Portia_MV,718,79
1,2,6,#Portia_MV,#Nerissa_MV #Portia_MV #SERVANTS.1_MV,72,9
1,2,6,#SERVANTS.1_MV,#Nerissa_MV #Portia_MV #SERVANTS.1_MV,35,4
1,3,7,#Bassanio_MV,#Bassanio_MV #Shylock_MV,53,10
1,3,7,#Shylock_MV,#Bassanio_MV #Shylock_MV,220,29
