node1,node2,n_lines,n_tokens
#Antonio_MV,1.01,192,1487
#Bassanio_MV,1.01,192,1487
#Gratiano_MV,1.01,192,1487
#Lorenzo_MV,1.01,192,1487
#Salarino_MV,1.01,192,1487
#Solanio_MV,1.01,192,1487
#Nerissa_MV,1.02,134,1141
#Portia_MV,1.02,134,1141
#SERVANTS.1_MV,1.02,134,1141
#Antonio_MV,1.03,194,1411
#Bassanio_MV,1.03,194,1411
#Shylock_MV,1.03,194,1411
#ATTENDANTS.MOROCCO_MV,2.01,49,364
#ATTENDANTS.PORTIA_MV,2.01,49,364
#Morocco_MV,2.01,49,364
#Nerissa_MV,2.01,49,364
#Portia_MV,2.01,49,364
#ATTENDANTS.BASSANIO.1_MV,2.02,210,1668
#ATTENDANTS.BASSANIO.2_MV,2.02,210,1668
#ATTENDANTS.BASSANIO.Leonardo_MV,2.02,210,1668
#Bassanio_MV,2.02,210,1668
#Gratiano_MV,2.02,210,1668
#LanceletGobbo_MV,2.02,210,1668
#OldGobbo_MV,2.02,210,1668
#Jessica_MV,2.03,21,163
#LanceletGobbo_MV,2.03,21,163
#Gratiano_MV,2.04,43,284
#LanceletGobbo_MV,2.04,43,284
#Lorenzo_MV,2.04,43,284
#Salarino_MV,2.04,43,284
#Solanio_MV,2.04,43,284
#Jessica_MV,2.05,58,437
#LanceletGobbo_MV,2.05,58,437
#Shylock_MV,2.05,58,437
#Antonio_MV,2.06,70,530
#Gratiano_MV,2.06,70,530
#Jessica_MV,2.06,70,530
#Lorenzo_MV,2.06,70,530
#Salarino_MV,2.06,70,530
#ATTENDANTS.MOROCCO_MV,2.07,87,622
#ATTENDANTS.PORTIA_MV,2.07,87,622
#Morocco_MV,2.07,87,622
#Nerissa_MV,2.07,87,622
#Portia_MV,2.07,87,622
#Salarino_MV,2.08,56,413
#Solanio_MV,2.08,56,413
#ATTENDANTS.ARRAGON_MV,2.09,109,764
#ATTENDANTS.PORTIA_MV,2.09,109,764
#Arragon_MV,2.09,109,764
#Messenger_MV,2.09,109,764
#Nerissa_MV,2.09,109,764
#Portia_MV,2.09,109,764
#SERVANTS.2_MV,3.01,129,1032
#Salarino_MV,3.01,129,1032
#Shylock_MV,3.01,129,1032
#Solanio_MV,3.01,129,1032
#Tubal_MV,3.01,129,1032
#ATTENDANTS.BASSANIO_MV,3.02,339,2568
#ATTENDANTS.PORTIA_MV,3.02,339,2568
#Bassanio_MV,3.02,339,2568
#Gratiano_MV,3.02,339,2568
#Jessica_MV,3.02,339,2568
#Lorenzo_MV,3.02,339,2568
#MUSICIANS_MV,3.02,339,2568
#Nerissa_MV,3.02,339,2568
#Portia_MV,3.02,339,2568
#Salerio_MV,3.02,339,2568
#Antonio_MV,3.03,39,294
#Jailer_MV,3.03,39,294
#Shylock_MV,3.03,39,294
#Solanio_MV,3.03,39,294
#ATTENDANTS.PORTIA.Balthazar_MV,3.04,88,660
#Jessica_MV,3.04,88,660
#Lorenzo_MV,3.04,88,660
#Nerissa_MV,3.04,88,660
#Portia_MV,3.04,88,660
#Jessica_MV,3.05,91,725
#LanceletGobbo_MV,3.05,91,725
#Lorenzo_MV,3.05,91,725
#ATTENDANTS.DUKE.0_MV,4.01,475,3689
#ATTENDANTS.DUKE_MV,4.01,475,3689
#Antonio_MV,4.01,475,3689
#Bassanio_MV,4.01,475,3689
#Duke_MV,4.01,475,3689
#Gratiano_MV,4.01,475,3689
#Nerissa_MV,4.01,475,3689
#Portia_MV,4.01,475,3689
#Salerio_MV,4.01,475,3689
#Shylock_MV,4.01,475,3689
#Gratiano_MV,4.02,23,158
#Nerissa_MV,4.02,23,158
#Portia_MV,4.02,23,158
#ATTENDANTS.BASSANIO_MV,5.01,329,2517
#ATTENDANTS.PORTIA.Stephano_MV,5.01,329,2517
#Antonio_MV,5.01,329,2517
#Bassanio_MV,5.01,329,2517
#Gratiano_MV,5.01,329,2517
#Jessica_MV,5.01,329,2517
#LanceletGobbo_MV,5.01,329,2517
#Lorenzo_MV,5.01,329,2517
#MUSICIANS_MV,5.01,329,2517
#Nerissa_MV,5.01,329,2517
#Portia_MV,5.01,329,2517
