source,target,key,n_lines,n_tokens,edge_index,edge_type
#Antonio_MV,1.01.0001,0,7,58,1,active
1.01.0001,#Salarino_MV,0,7,58,1,passive
1.01.0001,#Solanio_MV,0,7,58,1,passive
#Salarino_MV,1.01.0001,0,7,52,2,active
1.01.0001,#Antonio_MV,0,7,52,2,passive
1.01.0001,#Solanio_MV,1,7,52,2,passive
#Solanio_MV,1.01.0001,0,8,61,3,active
1.01.0001,#Antonio_MV,1,8,61,3,passive
1.01.0001,#Salarino_MV,1,8,61,3,passive
#Salarino_MV,1.01.0001,1,19,154,4,active
1.01.0001,#Antonio_MV,2,19,154,4,passive
1.01.0001,#Solanio_MV,2,19,154,4,passive
#Antonio_MV,1.01.0001,1,5,40,5,active
1.01.0001,#Salarino_MV,2,5,40,5,passive
1.01.0001,#Solanio_MV,3,5,40,5,passive
#Solanio_MV,1.01.0001,1,1,6,6,active
1.01.0001,#Antonio_MV,3,1,6,6,passive
1.01.0001,#Salarino_MV,3,1,6,6,passive
#Antonio_MV,1.01.0001,2,1,2,7,active
1.01.0001,#Salarino_MV,4,1,2,7,passive
1.01.0001,#Solanio_MV,4,1,2,7,passive
#Solanio_MV,1.01.0001,2,11,86,8,active
1.01.0001,#Antonio_MV,4,11,86,8,passive
1.01.0001,#Salarino_MV,5,11,86,8,passive
#Solanio_MV,1.01.0002,0,3,20,9,active
1.01.0002,#Antonio_MV,0,3,20,9,passive
1.01.0002,#Bassanio_MV,0,3,20,9,passive
1.01.0002,#Gratiano_MV,0,3,20,9,passive
1.01.0002,#Lorenzo_MV,0,3,20,9,passive
1.01.0002,#Salarino_MV,0,3,20,9,passive
#Salarino_MV,1.01.0002,0,2,17,10,active
1.01.0002,#Antonio_MV,1,2,17,10,passive
1.01.0002,#Bassanio_MV,1,2,17,10,passive
1.01.0002,#Gratiano_MV,1,2,17,10,passive
1.01.0002,#Lorenzo_MV,1,2,17,10,passive
1.01.0002,#Solanio_MV,0,2,17,10,passive
#Antonio_MV,1.01.0002,0,3,24,11,active
1.01.0002,#Bassanio_MV,2,3,24,11,passive
1.01.0002,#Gratiano_MV,2,3,24,11,passive
1.01.0002,#Lorenzo_MV,2,3,24,11,passive
1.01.0002,#Salarino_MV,1,3,24,11,passive
1.01.0002,#Solanio_MV,1,3,24,11,passive
#Salarino_MV,1.01.0002,1,1,5,12,active
1.01.0002,#Antonio_MV,2,1,5,12,passive
1.01.0002,#Bassanio_MV,3,1,5,12,passive
1.01.0002,#Gratiano_MV,3,1,5,12,passive
1.01.0002,#Lorenzo_MV,3,1,5,12,passive
1.01.0002,#Solanio_MV,2,1,5,12,passive
#Bassanio_MV,1.01.0002,0,3,17,13,active
1.01.0002,#Antonio_MV,3,3,17,13,passive
1.01.0002,#Gratiano_MV,4,3,17,13,passive
1.01.0002,#Lorenzo_MV,4,3,17,13,passive
1.01.0002,#Salarino_MV,2,3,17,13,passive
1.01.0002,#Solanio_MV,3,3,17,13,passive
#Salarino_MV,1.01.0002,2,1,8,14,active
1.01.0002,#Antonio_MV,4,1,8,14,passive
1.01.0002,#Bassanio_MV,4,1,8,14,passive
1.01.0002,#Gratiano_MV,5,1,8,14,passive
1.01.0002,#Lorenzo_MV,5,1,8,14,passive
1.01.0002,#Solanio_MV,4,1,8,14,passive
#Lorenzo_MV,1.01.0003,0,3,27,15,active
1.01.0003,#Antonio_MV,0,3,27,15,passive
1.01.0003,#Bassanio_MV,0,3,27,15,passive
1.01.0003,#Gratiano_MV,0,3,27,15,passive
#Bassanio_MV,1.01.0003,0,1,5,16,active
1.01.0003,#Antonio_MV,1,1,5,16,passive
1.01.0003,#Gratiano_MV,1,1,5,16,passive
1.01.0003,#Lorenzo_MV,0,1,5,16,passive
#Gratiano_MV,1.01.0003,0,4,30,17,active
1.01.0003,#Antonio_MV,2,4,30,17,passive
1.01.0003,#Bassanio_MV,1,4,30,17,passive
1.01.0003,#Lorenzo_MV,1,4,30,17,passive
#Antonio_MV,1.01.0003,0,3,23,18,active
1.01.0003,#Bassanio_MV,2,3,23,18,passive
1.01.0003,#Gratiano_MV,2,3,23,18,passive
1.01.0003,#Lorenzo_MV,2,3,23,18,passive
#Gratiano_MV,1.01.0003,1,27,197,19,active
1.01.0003,#Antonio_MV,3,27,197,19,passive
1.01.0003,#Bassanio_MV,3,27,197,19,passive
1.01.0003,#Lorenzo_MV,3,27,197,19,passive
#Lorenzo_MV,1.01.0003,1,3,25,20,active
1.01.0003,#Antonio_MV,4,3,25,20,passive
1.01.0003,#Bassanio_MV,4,3,25,20,passive
1.01.0003,#Gratiano_MV,3,3,25,20,passive
#Gratiano_MV,1.01.0003,2,3,18,21,active
1.01.0003,#Antonio_MV,5,3,18,21,passive
1.01.0003,#Bassanio_MV,5,3,18,21,passive
1.01.0003,#Lorenzo_MV,4,3,18,21,passive
#Antonio_MV,1.01.0003,1,1,10,22,active
1.01.0003,#Bassanio_MV,6,1,10,22,passive
1.01.0003,#Gratiano_MV,4,1,10,22,passive
1.01.0003,#Lorenzo_MV,5,1,10,22,passive
#Gratiano_MV,1.01.0003,3,2,18,23,active
1.01.0003,#Antonio_MV,6,2,18,23,passive
1.01.0003,#Bassanio_MV,7,2,18,23,passive
1.01.0003,#Lorenzo_MV,6,2,18,23,passive
