act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#HughEvans_Wiv,318,38,515,72
1,1,1,#Shallow_2H4,103,17,515,72
1,1,1,#Slender_Wiv,94,17,515,72
1,1,2,#HughEvans_Wiv,37,5,250,34
1,1,2,#MasterPage_Wiv,63,10,250,34
1,1,2,#Shallow_2H4,130,16,250,34
1,1,2,#Slender_Wiv,20,3,250,34
1,1,3,#Bardolph_1H4,35,6,525,77
1,1,3,#Falstaff_1H4,87,16,525,77
1,1,3,#HughEvans_Wiv,122,15,525,77
1,1,3,#MasterPage_Wiv,14,2,525,77
1,1,3,#Nym_H5,38,4,525,77
1,1,3,#Pistol_2H4,38,6,525,77
1,1,3,#Shallow_2H4,26,4,525,77
1,1,3,#Slender_Wiv,165,24,525,77
1,1,4,#MasterPage_Wiv,9,2,9,2
1,1,5,#Slender_Wiv,7,1,7,1
1,1,6,#Falstaff_1H4,15,2,43,6
1,1,6,#MasterPage_Wiv,28,4,43,6
1,1,7,#Slender_Wiv,15,2,15,2
1,1,8,#HughEvans_Wiv,131,18,430,58
1,1,8,#Shallow_2H4,90,13,430,58
1,1,8,#Simple_Wiv,19,3,430,58
1,1,8,#Slender_Wiv,190,24,430,58
1,1,9,#AnnePage_Wiv,12,2,45,7
1,1,9,#HughEvans_Wiv,11,2,45,7
1,1,9,#Shallow_2H4,22,3,45,7
1,1,10,#AnnePage_Wiv,14,3,46,8
1,1,10,#Slender_Wiv,32,5,46,8
1,1,11,#AnnePage_Wiv,34,5,225,27
1,1,11,#Slender_Wiv,191,22,225,27
1,1,12,#AnnePage_Wiv,11,2,80,14
1,1,12,#MasterPage_Wiv,23,5,80,14
1,1,12,#Slender_Wiv,46,7,80,14
1,2,13,#HughEvans_Wiv,100,12,102,13
1,2,13,#Simple_Wiv,2,1,102,13
1,3,14,#Falstaff_1H4,28,5,87,14
1,3,14,#Host_Wiv,59,9,87,14
1,3,15,#Bardolph_1H4,11,1,44,6
1,3,15,#Falstaff_1H4,24,3,44,6
1,3,15,#Pistol_2H4,9,2,44,6
1,3,16,#Falstaff_1H4,345,41,489,66
1,3,16,#Nym_H5,61,11,489,66
1,3,16,#Pistol_2H4,83,14,489,66
1,3,17,#Nym_H5,59,8,132,21
1,3,17,#Pistol_2H4,73,13,132,21
1,4,18,#MistressQuickly_1H4,3,1,3,1
1,4,19,#MistressQuickly_1H4,64,8,67,9
1,4,19,#Rugby_Wiv,3,1,67,9
1,4,20,#MistressQuickly_1H4,131,18,186,26
1,4,20,#Simple_Wiv,55,8,186,26
1,4,21,#MistressQuickly_1H4,46,6,52,7
1,4,21,#Rugby_Wiv,6,1,52,7
1,4,22,#MistressQuickly_1H4,6,1,6,1
1,4,23,#DoctorCaius_Wiv,35,4,61,8
1,4,23,#MistressQuickly_1H4,26,4,61,8
1,4,24,#DoctorCaius_Wiv,19,2,19,2
1,4,25,#DoctorCaius_Wiv,12,2,20,4
1,4,25,#MistressQuickly_1H4,8,2,20,4
1,4,26,#DoctorCaius_Wiv,49,7,58,9
1,4,26,#Rugby_Wiv,9,2,58,9
1,4,27,#MistressQuickly_1H4,11,2,11,2
1,4,28,#DoctorCaius_Wiv,126,20,356,50
1,4,28,#MistressQuickly_1H4,190,24,356,50
1,4,28,#Simple_Wiv,40,6,356,50
1,4,29,#DoctorCaius_Wiv,76,9,107,14
1,4,29,#MistressQuickly_1H4,31,5,107,14
1,4,30,#MistressQuickly_1H4,37,4,37,4
1,4,31,#Fenton_Wiv,73,11,241,33
1,4,31,#MistressQuickly_1H4,168,22,241,33
1,4,32,#MistressQuickly_1H4,26,3,26,3
2,1,33,#MistressPage_Wiv,256,31,256,31
2,1,34,#MistressFord_Wiv,288,37,600,77
2,1,34,#MistressPage_Wiv,312,40,600,77
2,1,35,#MasterFord_Wiv,20,4,115,20
2,1,35,#Pistol_2H4,95,16,115,20
2,1,36,#MasterFord_Wiv,9,1,90,10
2,1,36,#Nym_H5,81,9,90,10
2,1,37,#MasterFord_Wiv,27,5,112,21
2,1,37,#MasterPage_Wiv,45,8,112,21
2,1,37,#MistressFord_Wiv,22,4,112,21
2,1,37,#MistressPage_Wiv,18,4,112,21
2,1,38,#MistressFord_Wiv,9,1,49,8
2,1,38,#MistressPage_Wiv,30,5,49,8
2,1,38,#MistressQuickly_1H4,10,2,49,8
2,1,39,#MasterFord_Wiv,70,9,160,20
2,1,39,#MasterPage_Wiv,90,11,160,20
2,1,40,#Host_Wiv,11,2,41,6
2,1,40,#MasterPage_Wiv,30,4,41,6
2,1,41,#Host_Wiv,56,9,264,35
2,1,41,#MasterFord_Wiv,39,4,264,35
2,1,41,#MasterPage_Wiv,22,4,264,35
2,1,41,#Shallow_2H4,147,18,264,35
2,1,42,#MasterFord_Wiv,72,7,72,7
2,2,43,#Falstaff_1H4,222,25,252,30
2,2,43,#Pistol_2H4,30,5,252,30
2,2,44,#Falstaff_1H4,3,1,11,2
2,2,44,#Robin_Wiv,8,1,11,2
2,2,45,#Falstaff_1H4,142,24,798,101
2,2,45,#MistressQuickly_1H4,656,77,798,101
2,2,46,#Falstaff_1H4,4,2,31,5
2,2,46,#Pistol_2H4,27,3,31,5
2,2,47,#Falstaff_1H4,56,6,56,6
2,2,48,#Bardolph_1H4,29,5,46,8
2,2,48,#Falstaff_1H4,17,3,46,8
2,2,49,#Falstaff_1H4,14,2,14,2
2,2,50,#Falstaff_1H4,17,3,32,6
2,2,50,#MasterFord_Wiv,15,3,32,6
2,2,51,#Falstaff_1H4,348,49,1001,133
2,2,51,#MasterFord_Wiv,653,84,1001,133
2,2,52,#MasterFord_Wiv,241,28,241,28
2,3,53,#DoctorCaius_Wiv,72,10,106,17
2,3,53,#Rugby_Wiv,34,7,106,17
2,3,54,#DoctorCaius_Wiv,98,15,446,65
2,3,54,#Host_Wiv,164,24,446,65
2,3,54,#MasterPage_Wiv,33,7,446,65
2,3,54,#Shallow_2H4,150,20,446,65
2,3,54,#Slender_Wiv,9,3,446,65
2,3,55,#DoctorCaius_Wiv,58,8,119,16
2,3,55,#Host_Wiv,61,8,119,16
3,1,56,#HughEvans_Wiv,39,6,60,10
3,1,56,#Simple_Wiv,21,4,60,10
3,1,57,#HughEvans_Wiv,105,16,105,16
3,1,58,#HughEvans_Wiv,29,5,56,9
3,1,58,#Simple_Wiv,27,4,56,9
3,1,59,#HughEvans_Wiv,72,11,237,38
3,1,59,#MasterPage_Wiv,81,14,237,38
3,1,59,#Shallow_2H4,76,11,237,38
