act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#AnnePage_Wiv,71,12,405,58
1,1,#Bardolph_1H4,35,6,584,86
1,1,#Falstaff_1H4,102,18,584,86
1,1,#HughEvans_Wiv,619,78,1839,259
1,1,#MasterPage_Wiv,137,23,914,134
1,1,#Nym_H5,38,4,584,86
1,1,#Pistol_2H4,38,6,584,86
1,1,#Shallow_2H4,371,53,1839,259
1,1,#Simple_Wiv,19,3,521,73
1,1,#Slender_Wiv,760,105,2190,308
1,2,#HughEvans_Wiv,100,12,102,13
1,2,#Simple_Wiv,2,1,102,13
1,3,#Bardolph_1H4,11,1,131,20
1,3,#Falstaff_1H4,397,49,620,86
1,3,#Host_Wiv,59,9,87,14
1,3,#Nym_H5,120,19,752,107
1,3,#Pistol_2H4,165,29,752,107
1,4,#DoctorCaius_Wiv,317,44,621,87
1,4,#Fenton_Wiv,73,11,241,33
1,4,#MistressQuickly_1H4,747,100,1231,171
1,4,#Rugby_Wiv,18,4,651,91
1,4,#Simple_Wiv,95,14,839,119
2,1,#Host_Wiv,67,11,305,41
2,1,#MasterFord_Wiv,237,30,903,127
2,1,#MasterPage_Wiv,187,27,831,120
2,1,#MistressFord_Wiv,319,42,966,136
2,1,#MistressPage_Wiv,616,80,1222,167
2,1,#MistressQuickly_1H4,10,2,49,8
2,1,#Nym_H5,81,9,205,30
2,1,#Pistol_2H4,95,16,115,20
2,1,#Shallow_2H4,147,18,264,35
2,2,#Bardolph_1H4,29,5,78,14
2,2,#Falstaff_1H4,823,115,2241,293
2,2,#MasterFord_Wiv,909,115,1274,167
2,2,#MistressQuickly_1H4,656,77,798,101
2,2,#Pistol_2H4,57,8,1092,138
2,2,#Robin_Wiv,8,1,809,103
2,3,#DoctorCaius_Wiv,228,33,671,98
2,3,#Host_Wiv,225,32,565,81
2,3,#MasterPage_Wiv,33,7,446,65
2,3,#Rugby_Wiv,34,7,671,98
2,3,#Shallow_2H4,150,20,446,65
2,3,#Slender_Wiv,9,3,446,65
3,1,#DoctorCaius_Wiv,94,14,372,53
3,1,#Host_Wiv,136,17,277,38
3,1,#HughEvans_Wiv,361,55,830,126
3,1,#MasterPage_Wiv,89,15,526,79
3,1,#Shallow_2H4,90,14,526,79
3,1,#Simple_Wiv,48,8,725,110
3,1,#Slender_Wiv,12,3,526,79
3,2,#DoctorCaius_Wiv,29,5,335,44
3,2,#Host_Wiv,58,7,310,39
3,2,#HughEvans_Wiv,7,2,335,44
3,2,#MasterFord_Wiv,295,37,631,83
3,2,#MasterPage_Wiv,102,14,335,44
3,2,#MistressPage_Wiv,119,17,181,27
3,2,#Robin_Wiv,19,3,181,27
3,2,#Shallow_2H4,44,7,288,36
3,2,#Slender_Wiv,36,4,288,36
3,3,#DoctorCaius_Wiv,50,7,465,72
3,3,#Falstaff_1H4,296,36,850,116
3,3,#HughEvans_Wiv,92,14,465,72
3,3,#John_Wiv,4,1,207,29
3,3,#MasterFord_Wiv,191,27,403,61
3,3,#MasterPage_Wiv,87,14,434,67
3,3,#MistressFord_Wiv,450,69,1575,224
3,3,#MistressPage_Wiv,427,63,1184,170
3,3,#Robert_Wiv,4,1,207,29
3,3,#Robin_Wiv,74,10,522,73
3,4,#AnnePage_Wiv,107,17,697,97
3,4,#Fenton_Wiv,210,27,750,104
3,4,#MasterPage_Wiv,59,8,81,12
3,4,#MistressPage_Wiv,65,8,218,30
3,4,#MistressQuickly_1H4,158,20,676,90
3,4,#Shallow_2H4,68,11,393,56
3,4,#Slender_Wiv,176,22,393,56
3,5,#Bardolph_1H4,16,5,93,16
3,5,#Falstaff_1H4,840,104,1038,140
3,5,#MasterFord_Wiv,208,29,736,95
3,5,#MistressQuickly_1H4,104,16,205,32
4,1,#HughEvans_Wiv,200,36,407,78
4,1,#MistressPage_Wiv,108,19,460,86
4,1,#MistressQuickly_1H4,115,18,460,86
4,1,#WilliamPage_Wiv,37,13,460,86
4,2,#Falstaff_1H4,96,14,347,52
4,2,#HughEvans_Wiv,69,10,598,87
4,2,#John_Wiv,9,1,406,58
4,2,#MasterFord_Wiv,364,48,598,87
4,2,#MasterPage_Wiv,39,7,598,87
4,2,#MistressFord_Wiv,407,63,1386,200
4,2,#MistressPage_Wiv,545,76,986,144
4,2,#Robert_Wiv,16,2,406,58
4,2,#Shallow_2H4,20,3,598,87
4,3,#Bardolph_1H4,32,4,94,11
4,3,#Host_Wiv,62,7,94,11
4,4,#HughEvans_Wiv,89,12,648,88
4,4,#MasterFord_Wiv,106,15,648,88
4,4,#MasterPage_Wiv,162,22,648,88
4,4,#MistressFord_Wiv,32,4,660,90
4,4,#MistressPage_Wiv,329,44,718,97
4,5,#Bardolph_1H4,45,7,223,31
4,5,#DoctorCaius_Wiv,48,5,56,7
4,5,#Falstaff_1H4,323,43,807,112
4,5,#Host_Wiv,192,30,640,92
4,5,#HughEvans_Wiv,69,9,74,10
4,5,#MistressQuickly_1H4,87,12,196,26
4,5,#Simple_Wiv,168,23,368,55
4,6,#Fenton_Wiv,384,48,440,55
4,6,#Host_Wiv,56,7,440,55
5,1,#Falstaff_1H4,230,28,262,32
5,1,#MasterFord_Wiv,14,2,196,23
5,1,#MistressQuickly_1H4,18,2,66,9
5,2,#MasterPage_Wiv,54,7,114,14
5,2,#Shallow_2H4,24,3,114,14
5,2,#Slender_Wiv,36,4,114,14
5,3,#DoctorCaius_Wiv,8,1,49,7
5,3,#MistressFord_Wiv,34,6,183,26
5,3,#MistressPage_Wiv,141,19,183,26
5,4,#HughEvans_Wiv,33,4,33,4
5,5,#AnnePage_Wiv,7,1,674,93
5,5,#BOYS_Wiv,59,10,1598,215
5,5,#DoctorCaius_Wiv,45,6,308,42
5,5,#Falstaff_1H4,542,63,1903,254
5,5,#Fenton_Wiv,83,11,247,34
5,5,#HughEvans_Wiv,210,32,1598,215
5,5,#MasterFord_Wiv,206,27,1112,146
5,5,#MasterPage_Wiv,145,21,1112,146
5,5,#MistressFord_Wiv,51,9,1243,167
5,5,#MistressPage_Wiv,178,26,1243,167
5,5,#MistressQuickly_1H4,305,44,1598,215
5,5,#Pistol_2H4,109,18,1598,215
5,5,#Slender_Wiv,142,17,519,70
1,1,#MistressFord_Wiv,0,0,43,6
1,1,#MistressPage_Wiv,0,0,43,6
1,3,#Robin_Wiv,0,0,620,86
3,1,#Rugby_Wiv,0,0,372,53
3,2,#Rugby_Wiv,0,0,295,37
4,2,#DoctorCaius_Wiv,0,0,598,87
5,4,#BOYS_Wiv,0,0,33,4
