source,target,key,n_lines,n_tokens,edge_index,edge_type
#Shallow_2H4,1.01.0001,0,4,27,1,active
1.01.0001,#HughEvans_Wiv,0,4,27,1,passive
1.01.0001,#Slender_Wiv,0,4,27,1,passive
#Slender_Wiv,1.01.0001,0,2,10,2,active
1.01.0001,#HughEvans_Wiv,1,2,10,2,passive
1.01.0001,#Shallow_2H4,0,2,10,2,passive
#Shallow_2H4,1.01.0001,1,1,5,3,active
1.01.0001,#HughEvans_Wiv,2,1,5,3,passive
1.01.0001,#Slender_Wiv,1,1,5,3,passive
#Slender_Wiv,1.01.0001,1,4,22,4,active
1.01.0001,#HughEvans_Wiv,3,4,22,4,passive
1.01.0001,#Shallow_2H4,1,4,22,4,passive
#Shallow_2H4,1.01.0001,2,2,13,5,active
1.01.0001,#HughEvans_Wiv,4,2,13,5,passive
1.01.0001,#Slender_Wiv,2,2,13,5,passive
#Slender_Wiv,1.01.0001,2,4,28,6,active
1.01.0001,#HughEvans_Wiv,5,4,28,6,passive
1.01.0001,#Shallow_2H4,2,4,28,6,passive
#Shallow_2H4,1.01.0001,3,1,5,7,active
1.01.0001,#HughEvans_Wiv,6,1,5,7,passive
1.01.0001,#Slender_Wiv,3,1,5,7,passive
#HughEvans_Wiv,1.01.0001,0,3,24,8,active
1.01.0001,#Shallow_2H4,3,3,24,8,passive
1.01.0001,#Slender_Wiv,4,3,24,8,passive
#Shallow_2H4,1.01.0001,4,2,13,9,active
1.01.0001,#HughEvans_Wiv,7,2,13,9,passive
1.01.0001,#Slender_Wiv,5,2,13,9,passive
#Slender_Wiv,1.01.0001,3,1,4,10,active
1.01.0001,#HughEvans_Wiv,8,1,4,10,passive
1.01.0001,#Shallow_2H4,4,1,4,10,passive
#Shallow_2H4,1.01.0001,5,1,4,11,active
1.01.0001,#HughEvans_Wiv,9,1,4,11,passive
1.01.0001,#Slender_Wiv,6,1,4,11,passive
#HughEvans_Wiv,1.01.0001,1,1,8,12,active
1.01.0001,#Shallow_2H4,5,1,8,12,passive
1.01.0001,#Slender_Wiv,7,1,8,12,passive
#Shallow_2H4,1.01.0001,6,1,3,13,active
1.01.0001,#HughEvans_Wiv,10,1,3,13,passive
1.01.0001,#Slender_Wiv,8,1,3,13,passive
#HughEvans_Wiv,1.01.0001,2,7,57,14,active
1.01.0001,#Shallow_2H4,6,7,57,14,passive
1.01.0001,#Slender_Wiv,9,7,57,14,passive
#Shallow_2H4,1.01.0001,7,1,9,15,active
1.01.0001,#HughEvans_Wiv,11,1,9,15,passive
1.01.0001,#Slender_Wiv,10,1,9,15,passive
#HughEvans_Wiv,1.01.0001,3,4,41,16,active
1.01.0001,#Shallow_2H4,7,4,41,16,passive
1.01.0001,#Slender_Wiv,11,4,41,16,passive
#Shallow_2H4,1.01.0001,8,2,14,17,active
1.01.0001,#HughEvans_Wiv,12,2,14,17,passive
1.01.0001,#Slender_Wiv,12,2,14,17,passive
#HughEvans_Wiv,1.01.0001,4,5,42,18,active
1.01.0001,#Shallow_2H4,8,5,42,18,passive
1.01.0001,#Slender_Wiv,13,5,42,18,passive
#Slender_Wiv,1.01.0001,4,2,13,19,active
1.01.0001,#HughEvans_Wiv,13,2,13,19,passive
1.01.0001,#Shallow_2H4,9,2,13,19,passive
#HughEvans_Wiv,1.01.0001,5,8,70,20,active
1.01.0001,#Shallow_2H4,10,8,70,20,passive
1.01.0001,#Slender_Wiv,14,8,70,20,passive
#Slender_Wiv,1.01.0001,5,2,8,21,active
1.01.0001,#HughEvans_Wiv,14,2,8,21,passive
1.01.0001,#Shallow_2H4,11,2,8,21,passive
#HughEvans_Wiv,1.01.0001,6,2,10,22,active
1.01.0001,#Shallow_2H4,12,2,10,22,passive
1.01.0001,#Slender_Wiv,15,2,10,22,passive
#Slender_Wiv,1.01.0001,6,2,9,23,active
1.01.0001,#HughEvans_Wiv,15,2,9,23,passive
1.01.0001,#Shallow_2H4,13,2,9,23,passive
#HughEvans_Wiv,1.01.0001,7,2,8,24,active
1.01.0001,#Shallow_2H4,14,2,8,24,passive
1.01.0001,#Slender_Wiv,16,2,8,24,passive
#Shallow_2H4,1.01.0001,9,2,10,25,active
1.01.0001,#HughEvans_Wiv,16,2,10,25,passive
1.01.0001,#Slender_Wiv,17,2,10,25,passive
#HughEvans_Wiv,1.01.0001,8,6,58,26,active
1.01.0001,#Shallow_2H4,15,6,58,26,passive
1.01.0001,#Slender_Wiv,18,6,58,26,passive
#MasterPage_Wiv,1.01.0002,0,1,2,27,active
1.01.0002,#HughEvans_Wiv,0,1,2,27,passive
1.01.0002,#Shallow_2H4,0,1,2,27,passive
1.01.0002,#Slender_Wiv,0,1,2,27,passive
#HughEvans_Wiv,1.01.0002,0,4,28,28,active
1.01.0002,#MasterPage_Wiv,0,4,28,28,passive
1.01.0002,#Shallow_2H4,1,4,28,28,passive
1.01.0002,#Slender_Wiv,1,4,28,28,passive
#MasterPage_Wiv,1.01.0002,1,2,16,29,active
1.01.0002,#HughEvans_Wiv,1,2,16,29,passive
1.01.0002,#Shallow_2H4,2,2,16,29,passive
1.01.0002,#Slender_Wiv,2,2,16,29,passive
#Shallow_2H4,1.01.0002,0,5,41,30,active
1.01.0002,#HughEvans_Wiv,2,5,41,30,passive
1.01.0002,#MasterPage_Wiv,1,5,41,30,passive
1.01.0002,#Slender_Wiv,3,5,41,30,passive
#MasterPage_Wiv,1.01.0002,2,1,4,31,active
1.01.0002,#HughEvans_Wiv,3,1,4,31,passive
1.01.0002,#Shallow_2H4,3,1,4,31,passive
1.01.0002,#Slender_Wiv,4,1,4,31,passive
