node,node_type
#AnnePage_Wiv,character
#BOYS_Wiv,character
#Bardolph_1H4,character
#DoctorCaius_Wiv,character
#Falstaff_1H4,character
#Fenton_Wiv,character
#Host_Wiv,character
#HughEvans_Wiv,character
#John_Wiv,character
#MasterFord_Wiv,character
#MasterPage_Wiv,character
#MistressFord_Wiv,character
#MistressPage_Wiv,character
#MistressQuickly_1H4,character
#Nym_H5,character
#Pistol_2H4,character
#Robert_Wiv,character
#Robin_Wiv,character
#Rugby_Wiv,character
#Shallow_2H4,character
#Simple_Wiv,character
#Slender_Wiv,character
#WilliamPage_Wiv,character
1.01.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.01.0005,text_unit
1.01.0006,text_unit
1.01.0007,text_unit
1.01.0008,text_unit
1.01.0009,text_unit
1.01.0010,text_unit
1.01.0011,text_unit
1.01.0012,text_unit
1.02.0013,text_unit
1.03.0014,text_unit
1.03.0015,text_unit
1.03.0016,text_unit
1.03.0017,text_unit
1.04.0018,text_unit
1.04.0019,text_unit
1.04.0020,text_unit
1.04.0021,text_unit
1.04.0022,text_unit
1.04.0023,text_unit
1.04.0024,text_unit
1.04.0025,text_unit
1.04.0026,text_unit
1.04.0027,text_unit
1.04.0028,text_unit
1.04.0029,text_unit
1.04.0030,text_unit
1.04.0031,text_unit
1.04.0032,text_unit
2.01.0033,text_unit
2.01.0034,text_unit
2.01.0035,text_unit
2.01.0036,text_unit
2.01.0037,text_unit
2.01.0038,text_unit
2.01.0039,text_unit
2.01.0040,text_unit
2.01.0041,text_unit
2.01.0042,text_unit
2.02.0043,text_unit
2.02.0044,text_unit
2.02.0045,text_unit
2.02.0046,text_unit
2.02.0047,text_unit
2.02.0048,text_unit
2.02.0049,text_unit
2.02.0050,text_unit
2.02.0051,text_unit
2.02.0052,text_unit
2.03.0053,text_unit
2.03.0054,text_unit
2.03.0055,text_unit
3.01.0056,text_unit
3.01.0057,text_unit
3.01.0058,text_unit
3.01.0059,text_unit
3.01.0060,text_unit
3.01.0061,text_unit
3.01.0062,text_unit
3.02.0063,text_unit
3.02.0064,text_unit
3.02.0065,text_unit
3.02.0066,text_unit
3.02.0067,text_unit
3.02.0068,text_unit
3.02.0069,text_unit
3.03.0070,text_unit
3.03.0071,text_unit
3.03.0072,text_unit
3.03.0073,text_unit
3.03.0074,text_unit
3.03.0075,text_unit
3.03.0076,text_unit
3.03.0077,text_unit
3.03.0078,text_unit
3.03.0079,text_unit
3.03.0080,text_unit
3.03.0081,text_unit
3.03.0082,text_unit
3.03.0083,text_unit
3.03.0084,text_unit
3.03.0085,text_unit
3.03.0086,text_unit
3.03.0087,text_unit
3.04.0088,text_unit
3.04.0089,text_unit
3.04.0090,text_unit
3.04.0091,text_unit
3.04.0092,text_unit
3.04.0093,text_unit
3.05.0094,text_unit
3.05.0095,text_unit
3.05.0096,text_unit
3.05.0097,text_unit
3.05.0098,text_unit
3.05.0099,text_unit
3.05.0100,text_unit
3.05.0101,text_unit
3.05.0102,text_unit
4.01.0103,text_unit
4.01.0104,text_unit
4.02.0105,text_unit
4.02.0106,text_unit
4.02.0107,text_unit
4.02.0108,text_unit
4.02.0109,text_unit
4.02.0110,text_unit
4.02.0111,text_unit
4.02.0112,text_unit
4.02.0113,text_unit
4.02.0114,text_unit
4.02.0115,text_unit
4.02.0116,text_unit
4.02.0117,text_unit
4.02.0118,text_unit
4.03.0119,text_unit
4.04.0120,text_unit
4.04.0121,text_unit
4.04.0122,text_unit
4.05.0123,text_unit
4.05.0124,text_unit
4.05.0125,text_unit
4.05.0126,text_unit
4.05.0127,text_unit
4.05.0128,text_unit
4.05.0129,text_unit
4.05.0130,text_unit
4.05.0131,text_unit
4.06.0132,text_unit
5.01.0133,text_unit
5.01.0134,text_unit
5.02.0135,text_unit
5.03.0136,text_unit
5.03.0137,text_unit
5.04.0138,text_unit
5.05.0139,text_unit
5.05.0140,text_unit
5.05.0141,text_unit
5.05.0142,text_unit
5.05.0143,text_unit
5.05.0144,text_unit
5.05.0145,text_unit
5.05.0146,text_unit
5.05.0147,text_unit
